"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,2.067201233E-1,-1.567240906E-1,-9.892478485E0
2.159200000E-2,2.043251038E-1,-1.640588379E-1,-9.913135529E0
4.121500000E-2,1.859133911E-1,-1.754351807E-1,-9.886790314E0
6.082500000E-2,2.115101624E-1,-1.704954529E-1,-9.896669769E0
8.043100000E-2,1.926493835E-1,-1.678010559E-1,-9.906399536E0
1.000530000E-1,1.856140137E-1,-1.806742859E-1,-9.897717590E0
1.196760000E-1,1.990859985E-1,-1.496887207E-1,-9.891430664E0
1.393000000E-1,2.173480225E-1,-1.845661926E-1,-9.914632416E0
1.589210000E-1,2.173480225E-1,-1.615141296E-1,-9.883197784E0
1.785140000E-1,2.020797729E-1,-1.594184875E-1,-9.909992065E0
1.981360000E-1,1.788780212E-1,-1.630110168E-1,-9.905052338E0
2.177600000E-1,1.860630798E-1,-1.663041687E-1,-9.879605255E0
2.373510000E-1,1.932481384E-1,-1.922003174E-1,-9.902807007E0
2.569740000E-1,2.188449097E-1,-1.725910950E-1,-9.886490936E0
2.765750000E-1,2.049238586E-1,-1.601669312E-1,-9.897118835E0
2.961900000E-1,1.850152588E-1,-1.567240906E-1,-9.889185333E0
3.158100000E-1,1.790277100E-1,-1.678010559E-1,-9.884544983E0
3.354360000E-1,1.916015625E-1,-1.631607056E-1,-9.877359924E0
3.550280000E-1,1.951940918E-1,-1.701960754E-1,-9.871072998E0
3.746430000E-1,2.011816406E-1,-1.651066589E-1,-9.852062531E0
3.942740000E-1,2.023791504E-1,-1.499880981E-1,-9.862989807E0
4.138830000E-1,2.032772827E-1,-1.582209778E-1,-9.852062531E0
4.334890000E-1,1.987866211E-1,-1.646575928E-1,-9.851763153E0
4.531120000E-1,1.992356873E-1,-1.591191101E-1,-9.847122803E0
4.727190000E-1,2.133064270E-1,-1.767823792E-1,-9.853709106E0
4.923270000E-1,2.002835083E-1,-1.736389160E-1,-9.852361908E0
5.119500000E-1,2.109114075E-1,-1.800755310E-1,-9.849667511E0
5.315420000E-1,2.186952209E-1,-1.769320679E-1,-9.824070740E0
5.511650000E-1,2.168989563E-1,-1.778302002E-1,-9.843679962E0
5.707990000E-1,1.886077881E-1,-1.516346741E-1,-9.828262024E0
5.904100000E-1,1.974394226E-1,-1.706451416E-1,-9.849817200E0
6.100030000E-1,1.992356873E-1,-1.675016785E-1,-9.822124786E0
6.296250000E-1,1.941462708E-1,-1.932481384E-1,-9.806557159E0
6.492480000E-1,2.237846375E-1,-1.797761536E-1,-9.828112335E0
6.688560000E-1,2.188449097E-1,-1.568737793E-1,-9.820029144E0
6.884630000E-1,1.995350647E-1,-1.502874756E-1,-9.824370117E0
7.080850000E-1,2.095642090E-1,-1.622625732E-1,-9.810000000E0
7.277190000E-1,2.052232361E-1,-1.630110168E-1,-9.814340973E0
7.473320000E-1,2.046244812E-1,-1.778302002E-1,-9.809251556E0
7.669400000E-1,2.185455322E-1,-1.811233521E-1,-9.791139221E0
7.865470000E-1,1.862127686E-1,-1.624122620E-1,-9.805209961E0
8.061700000E-1,2.050735474E-1,-1.740879822E-1,-9.811496887E0
8.257620000E-1,2.157014465E-1,-1.589694214E-1,-9.820178833E0
8.453850000E-1,1.898052979E-1,-1.692979431E-1,-9.792336731E0
8.650080000E-1,2.083666992E-1,-1.609153748E-1,-9.820029144E0
8.846300000E-1,2.092648315E-1,-1.904040527E-1,-9.814640350E0
9.042230000E-1,2.209405518E-1,-1.806742859E-1,-9.809550934E0
9.238440000E-1,2.019300842E-1,-1.824705505E-1,-9.809850311E0
9.434680000E-1,1.969903564E-1,-1.797761536E-1,-9.786049805E0
9.630810000E-1,2.058219910E-1,-1.594184875E-1,-9.810449066E0
9.826830000E-1,2.011816406E-1,-1.631607056E-1,-9.790241089E0
1.002306000E0,2.116598511E-1,-1.740879822E-1,-9.801467743E0
1.021929000E0,2.032772827E-1,-2.076182556E-1,-9.797575836E0
1.041552000E0,1.953437805E-1,-1.767823792E-1,-9.800120544E0
1.061175000E0,2.124082947E-1,-1.773811340E-1,-9.776320038E0
1.080797000E0,2.002835083E-1,-1.824705505E-1,-9.802365875E0
1.100390000E0,2.109114075E-1,-1.758842468E-1,-9.794132996E0
1.120026000E0,2.240840149E-1,-1.724414062E-1,-9.805659027E0
1.139634000E0,1.992356873E-1,-1.830693054E-1,-9.811047821E0
1.159258000E0,2.197430420E-1,-1.942959595E-1,-9.775870972E0
1.178880000E0,2.043251038E-1,-1.812730408E-1,-9.797725525E0
1.198502000E0,1.953437805E-1,-1.772314453E-1,-9.796528015E0
1.218097000E0,2.002835083E-1,-1.965412903E-1,-9.798024902E0
1.237719000E0,2.013313293E-1,-1.808239746E-1,-9.795480194E0
1.257347000E0,2.016307068E-1,-1.706451416E-1,-9.778715057E0
1.276946000E0,2.044747925E-1,-1.595681763E-1,-9.790839844E0
1.296584000E0,2.119592285E-1,-1.682501221E-1,-9.790091400E0
1.316190000E0,1.959425354E-1,-1.661544800E-1,-9.784403229E0
1.335802000E0,2.017803955E-1,-1.812730408E-1,-9.779912567E0
1.355425000E0,1.844165039E-1,-1.648072815E-1,-9.786049805E0
1.375048000E0,1.974394226E-1,-1.712438965E-1,-9.796228638E0
1.394671000E0,2.044747925E-1,-1.682501221E-1,-9.778565369E0
1.414293000E0,2.016307068E-1,-1.908531189E-1,-9.812694397E0
1.433886000E0,2.097138977E-1,-1.736389160E-1,-9.779164124E0
1.453508000E0,2.050735474E-1,-1.899549866E-1,-9.781858521E0
1.473131000E0,1.957928467E-1,-1.796264648E-1,-9.777218170E0
1.492753000E0,2.023791504E-1,-1.634600830E-1,-9.794582062E0
1.512346000E0,2.116598511E-1,-1.694476318E-1,-9.787546692E0
1.531968000E0,2.025288391E-1,-1.613644409E-1,-9.762848053E0
1.551592000E0,2.034269714E-1,-1.868115234E-1,-9.796977081E0
1.571209000E0,2.125579834E-1,-1.764830017E-1,-9.777966614E0
1.590807000E0,1.953437805E-1,-1.501377869E-1,-9.784103851E0
1.610430000E0,2.097138977E-1,-1.806742859E-1,-9.771829376E0
1.630052000E0,2.040257263E-1,-1.838177490E-1,-9.777367859E0
1.649674000E0,2.091151428E-1,-1.889071655E-1,-9.784852295E0
1.669297000E0,2.065704346E-1,-1.845661926E-1,-9.769134979E0
1.688918000E0,2.055226135E-1,-1.763333130E-1,-9.724078674E0
1.708543000E0,2.043251038E-1,-1.661544800E-1,-9.782008209E0
1.728154000E0,1.850152588E-1,-1.664538574E-1,-9.818532257E0
1.747773000E0,-1.805844727E0,4.296066284E-2,-9.853260040E0
1.767363000E0,-4.747228088E0,-1.921554108E0,-9.921817474E0
1.787004000E0,7.356302490E0,2.977308655E-1,-9.658814392E0
1.806614000E0,-1.975741425E0,1.260379028E-1,-1.073268127E1
1.826220000E0,-1.398990784E0,-2.799777832E0,-1.085946762E1
1.845842000E0,-3.947740631E0,1.540895691E0,-1.111049561E1
1.865458000E0,-6.521488495E0,3.210972748E0,-1.219768478E1
1.885088000E0,-6.229296112E0,-1.039737854E0,-1.414393753E1
1.904711000E0,-5.507946167E0,-3.876937866E-2,-1.377270950E1
1.924303000E0,-5.599555664E0,-7.289840698E-2,-1.577000610E1
1.943926000E0,-8.776399384E0,1.904040527E-1,-1.627041550E1
1.963545000E0,-1.104403381E1,7.259902954E-2,-1.542227921E1
1.983172000E0,-1.155596924E1,-7.505392456E-1,-1.357287506E1
2.002794000E0,-1.302022430E1,-1.714085541E0,-1.009380981E1
2.022387000E0,-1.463895813E1,-1.401236115E0,-7.596253510E0
2.042009000E0,-1.400802017E1,-9.357041931E-1,-7.131919098E0
2.061637000E0,-1.345117813E1,-1.478924561E-1,-6.279890900E0
