"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,9.402130544E-2,3.894145042E-2,-1.008618996E-2
2.175900000E-2,9.666297585E-2,3.902147710E-2,-8.006075397E-3
4.351800000E-2,9.180325270E-2,3.903864697E-2,-1.055318490E-2
6.527700000E-2,9.183280915E-2,3.780828416E-2,-1.172981039E-2
8.702100000E-2,9.417995811E-2,3.654179350E-2,-6.813692860E-3
1.087950000E-1,9.044177085E-2,4.024025425E-2,-5.796817597E-3
1.305540000E-1,9.666518122E-2,4.024780542E-2,-1.044456661E-2
1.523130000E-1,1.003229544E-1,4.146998748E-2,-1.036998257E-2
1.740720000E-1,9.170269966E-2,4.146553576E-2,-1.061074063E-2
1.958210000E-1,9.419868141E-2,3.775903210E-2,-1.286733523E-2
2.175900000E-1,9.290357679E-2,3.897643834E-2,-1.172558684E-2
2.393640000E-1,9.528817236E-2,3.894708678E-2,-1.045256481E-2
2.611090000E-1,9.395822138E-2,3.890863806E-2,-8.077739738E-3
2.828670000E-1,9.026888758E-2,3.890025616E-2,-1.059114933E-2
3.046260000E-1,9.145148098E-2,4.011379555E-2,-1.179067045E-2
3.263850000E-1,9.623177350E-2,3.882933408E-2,-9.216436185E-3
3.481750000E-1,9.245994687E-2,4.003185779E-2,-9.348701686E-3
3.699350000E-1,8.993462473E-2,3.629260138E-2,-1.174420677E-2
3.916800000E-1,9.595412761E-2,4.119132087E-2,-1.168668084E-2
4.134530000E-1,9.213042259E-2,3.991169110E-2,-1.055831369E-2
4.352110000E-1,8.837414533E-2,3.987323865E-2,-1.307253633E-2
4.569700000E-1,9.441900253E-2,3.859466314E-2,-1.407907996E-2
4.787290000E-1,9.414826334E-2,3.974344954E-2,-8.084895089E-3
5.004980000E-1,9.160256386E-2,3.845921159E-2,-1.053682342E-2
5.222480000E-1,9.397692233E-2,3.841513395E-2,-1.408471446E-2
5.440060000E-1,8.764094114E-2,3.834081441E-2,-1.305375341E-2
5.657650000E-1,9.349615127E-2,3.823497891E-2,-8.064917289E-3
5.875290000E-1,8.604671061E-2,3.819217905E-2,-1.309275068E-2
6.092830000E-1,8.953117579E-2,4.058809578E-2,-1.304866001E-2
6.310420000E-1,9.297279269E-2,3.677761182E-2,-1.045379043E-2
6.528010000E-1,9.395404905E-2,4.038303718E-2,-9.301770478E-3
6.745610000E-1,9.381803870E-2,3.783528507E-2,-1.286256406E-2
6.963210000E-1,8.857332915E-2,3.521780297E-2,-1.294766925E-2
7.181030000E-1,9.212459624E-2,3.640022501E-2,-1.287447754E-2
7.398630000E-1,8.937299997E-2,3.752015904E-2,-1.176988240E-2
7.616040000E-1,9.024084359E-2,3.861531988E-2,-1.297355536E-2
7.833760000E-1,9.120681137E-2,3.603087366E-2,-1.288618241E-2
8.051450000E-1,9.088851511E-2,3.714774549E-2,-1.171330828E-2
8.274060833E-1,8.570010960E-2,3.455969319E-2,-1.179787517E-2
8.491650833E-1,8.902290463E-2,3.566458821E-2,-9.317371994E-3
8.709240833E-1,8.383017778E-2,3.678635135E-2,-1.069172751E-2
8.926830833E-1,8.351577073E-2,3.663907945E-2,-1.069558598E-2
9.144420833E-1,9.058685601E-2,3.897573054E-2,-1.175465994E-2
9.362010833E-1,8.531836420E-2,3.882340714E-2,-1.069132052E-2
9.579610833E-1,8.494073153E-2,3.743633255E-2,-8.257558569E-3
9.797220833E-1,8.468602598E-2,3.608963266E-2,-1.184808277E-2
1.001491083E0,8.068149537E-2,3.595975786E-2,-1.316036284E-2
1.023268083E0,9.610015899E-2,3.752213717E-2,-1.308065280E-2
1.045027083E0,9.359683096E-2,3.873551264E-2,-1.438327413E-2
1.066786083E0,9.221465886E-2,3.868489340E-2,-1.080410928E-2
1.088528083E0,8.973281831E-2,3.990336508E-2,-1.331161056E-2
1.110283083E0,9.461015463E-2,3.616787866E-2,-1.429529488E-2
1.132063083E0,9.452824295E-2,3.737075999E-2,-1.432448253E-2
1.153822083E0,9.193348885E-2,3.856255859E-2,-1.201279648E-2
1.175581083E0,9.187342972E-2,3.976767883E-2,-1.324687153E-2
1.197341083E0,9.179984778E-2,3.849906102E-2,-1.321962755E-2
1.219099083E0,9.049900621E-2,3.599382564E-2,-1.319857221E-2
1.240858083E0,9.044646472E-2,3.472944349E-2,-1.437620912E-2
1.262617083E0,9.159604460E-2,3.963689506E-2,-1.566063985E-2
1.284379083E0,9.390146285E-2,3.587384149E-2,-1.189386472E-2
1.306135083E0,8.772897720E-2,4.203568771E-2,-1.582229696E-2
1.327894083E0,9.743122011E-2,3.703473881E-2,-1.302602608E-2
1.349685083E0,8.996451646E-2,3.823513165E-2,-1.326153520E-2
1.371442083E0,9.350091964E-2,4.064482823E-2,-1.321657188E-2
1.393190083E0,9.222712368E-2,4.185411334E-2,-1.568992250E-2
1.414962083E0,9.570407867E-2,3.683783114E-2,-9.451036341E-3
1.436720083E0,9.077509493E-2,3.682009503E-2,-1.320407353E-2
1.458479083E0,9.310031682E-2,3.800695762E-2,-1.195993740E-2
1.480221083E0,8.808181435E-2,3.920553625E-2,-1.212678291E-2
