"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,3.036253548E1,-1.137699127E1,4.488622665E1
2.175800000E-2,3.034938812E1,-1.134211922E1,4.490393829E1
4.351800000E-2,3.034785461E1,-1.129396629E1,4.491711426E1
6.527699999E-2,3.031397820E1,-1.119388866E1,4.496501541E1
8.703500000E-2,3.030251503E1,-1.115917778E1,4.498137283E1
1.087940000E-1,3.028036690E1,-1.111147404E1,4.500809479E1
1.305490000E-1,3.027985573E1,-1.109500122E1,4.501249313E1
1.523120000E-1,3.027057648E1,-1.106287766E1,4.502662659E1
1.740710000E-1,3.026899338E1,-1.103721142E1,4.503399277E1
1.958300000E-1,3.026087761E1,-1.100671196E1,4.504692078E1
2.176190000E-1,3.022726059E1,-1.090578461E1,4.509400940E1
2.393780000E-1,3.022259903E1,-1.087076759E1,4.510558701E1
2.611380000E-1,3.021496773E1,-1.084326077E1,4.511731339E1
2.828970000E-1,3.020497322E1,-1.082943344E1,4.512732697E1
3.046560000E-1,3.018769455E1,-1.077136230E1,4.515277863E1
3.263990000E-1,3.016967964E1,-1.069552231E1,4.518284225E1
3.481740000E-1,3.017129135E1,-1.068605232E1,4.518400192E1
3.699330000E-1,3.017152786E1,-1.068481922E1,4.518413544E1
3.916920000E-1,3.016090202E1,-1.065239334E1,4.519889450E1
4.134510000E-1,3.012732315E1,-1.055229568E1,4.524474335E1
4.352210000E-1,3.012450790E1,-1.053423119E1,4.525082016E1
4.570000000E-1,3.011521912E1,-1.050765419E1,4.526318741E1
4.787460000E-1,3.013324356E1,-1.052480125E1,4.524720001E1
5.005180000E-1,3.014174652E1,-1.051364231E1,4.524413681E1
5.222790000E-1,3.014664078E1,-1.050692940E1,4.524242783E1
5.440350000E-1,3.014728165E1,-1.049742317E1,4.524421310E1
5.657950000E-1,3.011509705E1,-1.039885044E1,4.528837585E1
5.875540000E-1,3.011767006E1,-1.039565563E1,4.528740311E1
6.093130000E-1,3.012580681E1,-1.038838863E1,4.528367233E1
6.310710000E-1,3.012861443E1,-1.037535572E1,4.528478241E1
6.528610000E-1,3.012042999E1,-1.034597683E1,4.529694748E1
6.746210000E-1,3.012224960E1,-1.033539581E1,4.529815292E1
6.963620000E-1,3.012860298E1,-1.032423496E1,4.529647827E1
7.181370000E-1,3.010390282E1,-1.024908543E1,4.532995224E1
7.398970000E-1,3.010392570E1,-1.023929882E1,4.533214188E1
7.616570000E-1,3.006660080E1,-1.013887691E1,4.537945557E1
7.834150000E-1,3.006279564E1,-1.011517811E1,4.538726807E1
8.051740000E-1,3.006085205E1,-1.009657097E1,4.539270401E1
8.269370000E-1,3.006318092E1,-1.010200882E1,4.538994980E1
8.486930000E-1,3.004756546E1,-1.005158138E1,4.541147232E1
8.704820000E-1,3.001335144E1,-9.949602127E0,4.545654297E1
8.922410000E-1,3.003688431E1,-9.982584000E0,4.543376160E1
9.140000000E-1,3.004982376E1,-9.987699509E0,4.542408371E1
9.357590000E-1,3.005933189E1,-9.991616249E0,4.541693115E1
9.575180000E-1,3.006739426E1,-9.996135712E0,4.541059113E1
9.792770000E-1,3.007261276E1,-9.993441582E0,4.540773392E1
1.001036000E0,3.005529404E1,-9.942833900E0,4.543030167E1
1.022796000E0,3.003650856E1,-9.873194695E0,4.545790100E1
1.044580000E0,3.003660583E1,-9.850618362E0,4.546273422E1
1.066345000E0,3.004774475E1,-9.856167793E0,4.545418167E1
1.088093000E0,3.004600525E1,-9.836597443E0,4.545957184E1
1.109862000E0,3.005072784E1,-9.838509560E0,4.545603180E1
1.131627000E0,3.005733299E1,-9.833299637E0,4.545278549E1
1.153380000E0,3.004243088E1,-9.780488014E0,4.547403717E1
1.175139000E0,3.003837395E1,-9.758499146E0,4.548142624E1
1.196898000E0,3.004570770E1,-9.758550644E0,4.547657013E1
1.218655000E0,3.000249672E1,-9.635044098E0,4.553140259E1
1.240438000E0,3.001472473E1,-9.653674126E0,4.551940536E1
1.262175000E0,3.002869225E1,-9.666818619E0,4.550740051E1
1.283965000E0,3.003673363E1,-9.669488907E0,4.550152969E1
1.305724000E0,3.001519394E1,-9.598950386E0,4.553066635E1
1.327479000E0,2.999798775E1,-9.540843010E0,4.555421448E1
1.349242000E0,3.001381302E1,-9.568662643E0,4.553794861E1
1.371001000E0,3.001240540E1,-9.555465698E0,4.554164124E1
1.392760000E0,3.003237915E1,-9.582324982E0,4.552283096E1
1.414519000E0,2.999718475E1,-9.482268333E0,4.556695557E1
1.436276000E0,3.001317024E1,-9.490222931E0,4.555478287E1
1.458037000E0,3.001677704E1,-9.480332375E0,4.555446243E1
1.479803000E0,3.005335808E1,-9.540016174E0,4.551787186E1
1.501586000E0,3.007216644E1,-9.561457634E0,4.550094986E1
1.523346000E0,3.008726883E1,-9.572793961E0,4.548858643E1
1.545104000E0,3.007511139E1,-9.524648666E0,4.550672531E1
1.566863000E0,3.004206657E1,-9.424531937E0,4.554936600E1
1.588623000E0,3.007097816E1,-9.472556114E0,4.552031708E1
1.610382000E0,3.008013916E1,-9.464563370E0,4.551593781E1
1.632140000E0,3.009280777E1,-9.478621483E0,4.550463867E1
1.653899000E0,3.006661415E1,-9.403656006E0,4.553748322E1
1.675683000E0,3.008835602E1,-9.423424721E0,4.551903534E1
1.697442000E0,3.009433365E1,-9.413063049E0,4.551723099E1
1.719205000E0,3.010539627E1,-9.421819687E0,4.550810242E1
1.740966000E0,3.009253883E1,-9.374261856E0,4.552642441E1
1.762724000E0,3.005601501E1,-9.277259827E0,4.557040024E1
1.784483000E0,3.008094215E1,-9.311882019E0,4.554688644E1
1.806242000E0,3.009946060E1,-9.334934235E0,4.552993011E1
1.828008000E0,3.011411095E1,-9.349333763E0,4.551728821E1
1.849761000E0,3.010305977E1,-9.300680161E0,4.553456116E1
1.871551000E0,3.009353828E1,-9.261876106E0,4.554875565E1
1.893309000E0,3.010912895E1,-9.281673431E0,4.553442001E1
1.915071000E0,3.013349724E1,-9.322682381E0,4.550991440E1
1.936827000E0,3.014818764E1,-9.333249092E0,4.549802017E1
1.958572000E0,3.015988350E1,-9.339436531E0,4.548900604E1
1.980345000E0,3.017792702E1,-9.359614372E0,4.547288132E1
2.002105000E0,3.018213654E1,-9.356435776E0,4.547074890E1
2.023857000E0,3.017357063E1,-9.305692673E0,4.548684311E1
2.045622000E0,3.017803383E1,-9.304288864E0,4.548416901E1
2.067382000E0,3.017681503E1,-9.282764435E0,4.548936844E1
2.089153000E0,3.018428993E1,-9.280737877E0,4.548483658E1
2.110930000E0,3.016198540E1,-9.210311890E0,4.551392365E1
2.132689000E0,3.016987610E1,-9.209812164E0,4.550879669E1
2.154449000E0,3.013479614E1,-9.114061356E0,4.555129623E1
2.176207000E0,3.013178062E1,-9.097650528E0,4.555658340E1
2.197967000E0,3.012229538E1,-9.057893753E0,4.557076263E1
2.219722000E0,3.013771629E1,-9.079182625E0,4.555632782E1
2.241484000E0,3.011795235E1,-9.011068344E0,4.558292389E1
2.263243000E0,3.008221436E1,-8.909604073E0,4.562644577E1
2.285033000E0,3.011014557E1,-8.947658539E0,4.560056305E1
2.306792000E0,3.013589478E1,-8.979974747E0,4.557718658E1
2.328551000E0,3.015712166E1,-9.006897926E0,4.555784607E1
2.350293000E0,3.012127113E1,-8.910642624E0,4.560046768E1
2.372069000E0,3.012625885E1,-8.909934998E0,4.559730911E1
2.393828000E0,3.014416122E1,-8.920891762E0,4.558333588E1
2.415596000E0,3.016676521E1,-8.951115608E0,4.556245422E1
2.437346000E0,3.019598198E1,-8.999689102E0,4.553352356E1
2.459105000E0,3.021447372E1,-9.018309593E0,4.551756668E1
2.480878000E0,3.024357986E1,-9.061179161E0,4.548970413E1
2.502654000E0,3.025489044E1,-9.069183350E0,4.548058701E1
2.524415000E0,3.026241875E1,-9.072307587E0,4.547496414E1
2.546173000E0,3.025276375E1,-9.024669647E0,4.549086380E1
2.567931000E0,3.024246216E1,-8.981570244E0,4.550624084E1
2.589681000E0,3.025673676E1,-8.992498398E0,4.549459076E1
2.611447000E0,3.026260948E1,-8.999895096E0,4.548921967E1
2.633208000E0,3.026816940E1,-9.002614975E0,4.548499298E1
2.654967000E0,3.023291779E1,-8.905443192E0,4.552752686E1
2.676756000E0,3.023320007E1,-8.889737129E0,4.553042221E1
2.698515000E0,3.022508621E1,-8.846887589E0,4.554415131E1
2.720279000E0,3.019188118E1,-8.750167847E0,4.558485031E1
2.742028000E0,3.023495674E1,-8.825735092E0,4.554170990E1
2.763793000E0,3.025122452E1,-8.852157593E0,4.552577591E1
2.785552000E0,3.031410980E1,-1.393189812E1,4.567524719E1
2.807311000E0,3.028160477E1,-1.383230209E1,4.572704315E1
2.829070000E0,3.029976654E1,-1.384749985E1,4.571042633E1
2.850836000E0,3.032589340E1,-1.388386631E1,4.568204880E1
2.872619000E0,3.034774208E1,-1.390986252E1,4.565962219E1
2.894377000E0,3.036804008E1,-1.393245888E1,4.563924408E1
2.916125000E0,3.039442444E1,-1.397123146E1,4.560980606E1
2.937895000E0,3.040278435E1,-1.394883823E1,4.561109924E1
2.959654000E0,3.037113762E1,-1.384962368E1,4.566238403E1
2.981413000E0,3.038747787E1,-1.387192345E1,4.564474106E1
3.003173000E0,3.040523148E1,-1.388460732E1,4.562905502E1
3.024931000E0,3.042066574E1,-1.389965248E1,4.561419296E1
3.046721000E0,3.039538193E1,-1.382532120E1,4.565362167E1
3.068480000E0,3.041412354E1,-1.384060955E1,4.563648987E1
