"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,3.531405794E-2,-7.186380784E-4,-6.325214112E-2
2.175900000E-2,1.716579433E-2,2.904090917E-2,-5.120889142E-2
4.351800000E-2,1.421708944E-3,5.410705016E-2,-1.261953574E-1
6.527700000E-2,-1.771459663E-2,6.008716662E-2,-1.257291516E-1
8.704700000E-2,-2.954731687E-2,6.855294360E-2,-1.288535290E-1
1.088250000E-1,-1.115929801E-2,7.644949414E-2,-8.410465973E-2
1.305840000E-1,-2.915610388E-2,8.302753866E-2,-1.054942679E-1
1.523430000E-1,-2.401834507E-2,9.476982577E-2,-5.100752336E-2
1.740970000E-1,-2.670038751E-2,1.112442828E-1,-8.439664593E-2
1.958620000E-1,-4.478944806E-2,1.187854825E-1,-8.664128238E-2
2.176210000E-1,-3.675005187E-2,1.349295535E-1,-8.502287359E-2
2.393810000E-1,-5.670117652E-2,1.485495278E-1,-7.933312163E-2
2.611400000E-1,-5.082454206E-2,1.499754992E-1,-4.222185344E-2
2.829020000E-1,-5.188826479E-2,1.532838630E-1,-6.217110058E-2
3.046570000E-1,-6.688030188E-2,1.629612972E-1,-5.532965727E-2
3.264100000E-1,-7.017796249E-2,1.865453289E-1,-6.359012845E-2
3.481740000E-1,-7.841930232E-2,1.872325595E-1,-6.594591682E-2
3.699340000E-1,-5.588191308E-2,1.908490807E-1,-4.985982000E-2
3.917060000E-1,-5.488476181E-2,2.179415331E-1,-4.480252664E-2
4.134520000E-1,-8.257913031E-2,2.193805877E-1,-4.858345962E-2
4.352410000E-1,-7.291366913E-2,2.159671659E-1,-4.018057675E-2
4.569870000E-1,-8.140622453E-2,2.231600452E-1,-3.543105250E-2
4.787600000E-1,-9.536699094E-2,2.465037015E-1,-3.724598484E-2
5.005190000E-1,-7.348833166E-2,2.474243456E-1,-4.252388497E-2
5.222780000E-1,-9.822095294E-2,2.432824704E-1,-2.850188039E-2
5.440380000E-1,-8.942245569E-2,2.509051931E-1,-5.221389075E-2
5.657970000E-1,-1.170391841E-1,2.667474199E-1,-4.369504572E-2
5.875510000E-1,-1.135675826E-1,2.765441374E-1,-3.322452801E-2
6.093140000E-1,-1.016285732E-1,2.880527186E-1,-2.544176521E-2
6.310730000E-1,-1.084446359E-1,2.840589607E-1,-4.222938630E-2
6.528320000E-1,-1.129601482E-1,2.978770641E-1,-2.377669061E-2
6.745910000E-1,-1.092659139E-1,3.009338058E-1,-2.543760592E-2
6.963500000E-1,-1.269036197E-1,3.258800925E-1,-9.958697901E-3
7.181020000E-1,-1.217255722E-1,3.101850694E-1,-1.114334379E-2
7.398680000E-1,-1.121679144E-1,3.249736645E-1,-3.536667831E-2
7.616270000E-1,-1.171557904E-1,3.038952378E-1,-3.341747414E-3
7.833990000E-1,-1.473596742E-1,3.131521293E-1,-1.117194833E-2
8.051750000E-1,-1.255982105E-1,3.210724022E-1,-6.637535941E-3
8.269300000E-1,-1.321672923E-1,3.409503407E-1,-1.091372637E-2
8.486940000E-1,-1.393138507E-1,3.390319058E-1,1.112886380E-3
8.704530000E-1,-1.255589154E-1,3.468198123E-1,-1.035438081E-2
8.922130000E-1,-1.213054954E-1,3.450065177E-1,-2.704382692E-2
9.139710000E-1,-1.361493193E-1,3.458588955E-1,-7.988492291E-3
9.357300000E-1,-1.304647019E-1,3.453510648E-1,-2.108020143E-2
9.574980000E-1,-1.334532047E-1,3.626203777E-1,-1.443242087E-2
9.792650000E-1,-1.395598083E-1,3.476827883E-1,-9.138590503E-3
1.001007000E0,-1.400355889E-1,3.531072868E-1,-2.074555340E-2
1.022766000E0,-1.549329605E-1,3.675684743E-1,-3.525739990E-3
1.044525000E0,-1.535999415E-1,3.667607546E-1,-1.083556212E-2
1.066285000E0,-1.435432605E-1,3.650572414E-1,-2.743541278E-3
1.088052000E0,-1.461653073E-1,3.731399207E-1,-5.096432592E-3
1.109828000E0,-1.485724690E-1,3.795204755E-1,-6.700991364E-3
1.131592000E0,-1.668388418E-1,3.986556349E-1,-2.749171222E-2
1.153351000E0,-1.616054558E-1,4.043560854E-1,-3.278377072E-3
1.175111000E0,-1.677490157E-1,4.002131139E-1,-5.863551311E-3
1.196869000E0,-1.591913780E-1,4.148748975E-1,3.823831501E-3
1.218628000E0,-1.565509947E-1,4.087403643E-1,-1.832585222E-2
1.240387000E0,-1.630046397E-1,4.300004749E-1,-1.993132805E-3
1.262146000E0,-1.759882542E-1,4.202807945E-1,-1.718847856E-2
1.283895000E0,-1.698675533E-1,4.240517370E-1,9.477291040E-3
1.305664000E0,-1.605109850E-1,4.250839898E-1,-1.741116811E-3
1.327423000E0,-1.648546805E-1,4.278143472E-1,-1.893989209E-2
1.349182000E0,-1.844951855E-1,4.266303957E-1,-2.037684705E-3
1.370941000E0,-1.799446447E-1,4.330608711E-1,1.833679177E-2
1.392714000E0,-1.595695467E-1,4.513019912E-1,-5.722101797E-3
1.414489000E0,-1.972989250E-1,4.394509641E-1,-2.479344375E-2
1.436249000E0,-1.920890741E-1,4.299649531E-1,-1.204416675E-2
1.458008000E0,-1.862824052E-1,4.417936876E-1,3.616283610E-3
1.479748000E0,-1.701054253E-1,4.549773317E-1,-1.757105320E-2
1.501526000E0,-1.967800577E-1,4.471145443E-1,1.392197265E-2
1.523285000E0,-1.867445180E-1,4.365423033E-1,-7.428317040E-3
1.545045000E0,-1.892123719E-1,4.452980336E-1,-1.037265679E-2
1.566804000E0,-1.838680168E-1,4.567523636E-1,1.613817701E-2
1.588568000E0,-1.819210219E-1,4.655248316E-1,-2.894037360E-2
1.610321000E0,-1.838294435E-1,4.633011721E-1,-3.068596391E-2
1.632080000E0,-1.798666210E-1,4.521470600E-1,-2.001638505E-2
1.653840000E0,-1.896074244E-1,4.409461337E-1,-4.154751416E-2
1.675598000E0,-1.764566161E-1,4.464000510E-1,4.376331425E-3
1.697358000E0,-1.976825754E-1,4.508565795E-1,-2.302345274E-2
1.719146000E0,-1.883466551E-1,4.614860136E-1,-3.019403948E-2
1.740906000E0,-1.871269624E-1,4.683902962E-1,-1.757167903E-2
1.762665000E0,-1.892960236E-1,4.731589198E-1,2.253668375E-3
1.784407000E0,-1.937019372E-1,4.679793466E-1,-3.063968411E-2
1.806183000E0,-2.042517943E-1,4.795408634E-1,-1.720641763E-2
1.828441875E0,-2.130480532E-1,4.788553139E-1,-3.430333016E-2
1.850195875E0,-1.791123667E-1,4.797594761E-1,-3.231181191E-2
1.871954875E0,-1.893503297E-1,4.565025048E-1,-3.644019284E-2
1.893713875E0,-1.990231044E-1,4.822737423E-1,-2.211318745E-2
1.915472875E0,-1.903703216E-1,4.578882218E-1,-5.801060108E-2
1.937231875E0,-1.834839644E-1,4.661577562E-1,-5.438674806E-2
1.958994875E0,-2.012221509E-1,4.786003387E-1,-2.839943078E-2
1.980753875E0,-1.842557786E-1,4.687519830E-1,-2.882034580E-2
2.002508875E0,-1.958099132E-1,4.715451249E-1,-3.255518856E-2
2.024298875E0,-1.970952226E-1,4.675432539E-1,-4.839176231E-2
2.046056875E0,-1.775178675E-1,4.851159277E-1,-4.156977926E-2
2.067815875E0,-2.060749927E-1,4.811319273E-1,-4.127537195E-2
2.089559875E0,-1.957213827E-1,5.107986895E-1,-3.785181348E-2
2.111334875E0,-2.014489497E-1,4.809203312E-1,-3.504447160E-2
2.133093875E0,-2.258459271E-1,4.848865706E-1,-4.696406867E-2
2.154852875E0,-2.061470413E-1,4.857008685E-1,-3.078102456E-2
2.176625875E0,-2.113908426E-1,4.897402713E-1,-5.334389715E-2
2.198370875E0,-2.040735456E-1,5.134482457E-1,-6.093002449E-2
2.220129875E0,-1.887161991E-1,4.869400031E-1,-4.497639908E-2
2.241888875E0,-1.822764230E-1,4.946357429E-1,-4.721771906E-2
2.263648875E0,-1.957214924E-1,4.844304878E-1,-5.405576368E-2
2.285426875E0,-1.834732018E-1,5.032064820E-1,-3.623238371E-2
2.307196875E0,-2.106941651E-1,4.805662457E-1,-3.504096327E-2
2.328954875E0,-2.127635861E-1,4.904172692E-1,-4.662863493E-2
2.350713875E0,-2.013777416E-1,4.883479396E-1,-4.812290916E-2
2.372472875E0,-1.987867125E-1,4.900621605E-1,-2.786409306E-2
2.394231875E0,-2.359810339E-1,4.923403453E-1,-3.661622601E-2
2.415991875E0,-2.116484855E-1,4.930867424E-1,-3.864773374E-2
2.437750875E0,-2.141297698E-1,4.910718650E-1,-6.752038014E-2
2.459509875E0,-1.998683012E-1,4.943006975E-1,-5.562712980E-2
2.481263875E0,-2.065678581E-1,4.822258317E-1,-6.316182448E-2
2.503027875E0,-2.196110959E-1,4.920463035E-1,-3.368040755E-2
2.524786875E0,-2.187165267E-1,5.029145232E-1,-3.964020723E-2
2.546545875E0,-2.204014567E-1,5.003796091E-1,-4.788438387E-2
2.568304875E0,-2.150783161E-1,4.998231734E-1,-4.109188815E-2
2.590093875E0,-2.079965522E-1,5.162461749E-1,-3.277474922E-2
2.611829875E0,-2.009676325E-1,4.985421215E-1,-3.772367038E-2
2.633611875E0,-2.111671135E-1,4.868076003E-1,-5.064222313E-2
2.655370875E0,-2.043868102E-1,5.003346586E-1,-5.872924215E-2
2.677134875E0,-1.994398647E-1,5.062552568E-1,-4.767559716E-2
2.698884875E0,-1.943388451E-1,4.784618328E-1,-5.046142083E-2
2.720648875E0,-2.164842791E-1,5.010711885E-1,-4.104227818E-2
2.742407875E0,-2.088797558E-1,5.025309824E-1,-4.356284840E-2
2.764167875E0,-2.136208062E-1,5.007119502E-1,-2.536452943E-2
2.785935875E0,-2.118149119E-1,4.951618462E-1,-3.599583643E-2
2.807684875E0,-1.906905480E-1,5.068286494E-1,-6.627926293E-2
2.829447875E0,-2.035445187E-1,5.121426721E-1,-3.608764913E-2
2.851202875E0,-2.049014565E-1,4.996861658E-1,-4.709203590E-2
2.872965875E0,-2.199561365E-1,4.994672972E-1,-3.904271772E-2
2.894750875E0,-2.016658449E-1,5.025132580E-1,-4.920351116E-2
2.916509875E0,-1.838729869E-1,5.073744504E-1,-5.045258149E-2
2.938268875E0,-1.986204688E-1,4.723014988E-1,-4.024063862E-2
2.960020875E0,-1.921803638E-1,4.917442217E-1,-7.627219103E-2
2.981793875E0,-2.118328190E-1,4.796357710E-1,-5.866321886E-2
3.003545875E0,-2.063618169E-1,4.980305633E-1,-5.350254856E-2
3.025304875E0,-2.071444484E-1,4.862031809E-1,-4.920020839E-2
3.047064875E0,-1.842347651E-1,4.989495628E-1,-5.826571784E-2
3.068823875E0,-1.955912274E-1,4.991953286E-1,-6.205376341E-2
3.090595875E0,-1.818888257E-1,4.959424495E-1,-5.135117519E-2
3.112341875E0,-2.048345242E-1,5.120149104E-1,-1.490984260E-2
3.134100875E0,-2.188715693E-1,4.962874717E-1,-3.210794737E-2
3.155889875E0,-2.084539324E-1,4.824603781E-1,-5.550330587E-2
3.177628875E0,-2.061648936E-1,4.922255206E-1,-5.138756040E-2
3.199408875E0,-2.037826101E-1,5.077782737E-1,-3.786305567E-2
3.221151875E0,-2.107456755E-1,5.044568725E-1,-3.850571949E-2
3.242925875E0,-1.930966773E-1,4.844498202E-1,-2.232979024E-2
3.264684875E0,-2.078241507E-1,4.874221061E-1,-2.478251448E-2
3.286446875E0,-2.068503152E-1,5.075753754E-1,-5.538569004E-2
3.308197875E0,-2.240769982E-1,4.984060276E-1,-3.833838862E-2
3.329961875E0,-2.117899516E-1,5.153349229E-1,-3.945587832E-2
3.351716875E0,-1.994675842E-1,5.039166629E-1,-3.785469598E-2
3.373487875E0,-1.927960756E-1,4.911623872E-1,-4.916946483E-2
3.395240875E0,-1.802103824E-1,4.734994836E-1,-1.578997190E-2
3.416999875E0,-1.993573093E-1,4.785474580E-1,-5.126852845E-2
3.438787875E0,-1.872959835E-1,4.830187142E-1,-3.885462467E-2
3.460546875E0,-2.080332435E-1,4.975444769E-1,-3.596485304E-2
3.482307875E0,-2.061805166E-1,4.917772950E-1,-2.056909311E-2
3.504064875E0,-2.092074375E-1,4.800269863E-1,-5.563346123E-2
3.525823875E0,-2.082019722E-1,5.035186502E-1,-5.327853167E-2
3.547582875E0,-2.255257190E-1,5.048889818E-1,-4.944521586E-2
3.569342875E0,-2.068504614E-1,5.023873602E-1,-6.716232497E-2
3.591100875E0,-2.052986286E-1,4.903906644E-1,-4.617722074E-2
3.612859875E0,-2.187037908E-1,4.961434475E-1,-6.227404355E-2
3.634618875E0,-2.280934141E-1,4.997736548E-1,-2.904158982E-2
3.656378875E0,-1.835186091E-1,4.896929088E-1,-4.303375761E-2
3.678160875E0,-2.083710115E-1,5.030880759E-1,-7.810943644E-2
3.699926875E0,-2.205546355E-1,4.877620486E-1,-6.575982005E-2
3.721685875E0,-2.061409383E-1,5.081972998E-1,-2.692157215E-2
3.743444875E0,-2.167694405E-1,5.044120317E-1,-3.030162596E-2
3.765203875E0,-1.986110036E-1,5.221722549E-1,-4.044422222E-2
3.786963875E0,-2.119692967E-1,5.376566321E-1,-5.656329186E-2
3.808722875E0,-1.993510236E-1,5.181031775E-1,-6.400439455E-2
3.830480875E0,-1.812103111E-1,4.297117687E-1,-5.030289277E-2
3.852250875E0,-2.948336980E-1,3.187381206E-1,-5.370263753E-2
3.874006875E0,-1.269371461E0,-4.569364413E-1,-9.776676133E-2
3.895757875E0,-3.577735841E-1,1.683434436E0,-2.144766010E-1
3.917516875E0,-1.135768650E0,6.210932200E-1,-1.180608937E-1
3.939275875E0,1.802267108E0,1.270691616E0,-1.993200699E-1
3.961038875E0,5.022792506E-2,6.375307665E-1,-6.168933843E-1
3.982814875E0,-1.652056377E0,1.797266532E-1,-3.423690214E-1
4.004583875E0,-2.670846435E0,9.561935677E-1,-1.982007008E0
4.026342875E0,-2.300931253E0,9.715419971E-1,-2.054639952E0
4.048102875E0,-1.530951477E0,8.250500223E-1,-4.126273082E0
4.069844875E0,-4.568852051E-1,2.416975643E-1,-4.575099801E0
