"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,3.833218509E-2,4.242301707E-3,-1.013771155E-1
2.175700000E-2,2.168770658E-2,2.307594521E-2,-8.973675267E-2
4.352200000E-2,-8.259467910E-3,4.608244560E-2,-8.800260555E-2
6.527500000E-2,-2.572094463E-2,5.991529503E-2,-9.181835230E-2
8.755425000E-2,-1.114675162E-2,7.634708107E-2,-8.373256668E-2
1.093412500E-1,-6.859430352E-3,8.417358379E-2,-8.708735185E-2
1.311032500E-1,-1.256210329E-2,8.429791021E-2,-7.147711331E-2
1.528622500E-1,-3.050581713E-2,9.511186961E-2,-7.859130182E-2
1.746212500E-1,-3.002011222E-2,9.550643790E-2,-7.912037434E-2
1.963802500E-1,-4.729987701E-2,1.211271644E-1,-7.885726791E-2
2.181392500E-1,-5.479250828E-2,1.310153360E-1,-5.821799451E-2
2.398822500E-1,-4.133360200E-2,1.532299955E-1,-7.193505993E-2
2.616572500E-1,-3.577250477E-2,1.470210656E-1,-6.212489844E-2
2.834172500E-1,-5.266530036E-2,1.433088237E-1,-6.476328091E-2
3.051672500E-1,-5.223319570E-2,1.538871494E-1,-4.809386037E-2
3.269342500E-1,-7.960821485E-2,1.831417743E-1,-6.057762468E-2
3.487122500E-1,-9.163685108E-2,1.779442392E-1,-4.160109384E-2
3.704602500E-1,-8.005099526E-2,1.892573955E-1,-5.072566016E-2
3.922112500E-1,-8.202278601E-2,1.862009097E-1,-4.918938191E-2
4.139702500E-1,-6.159331345E-2,1.980286392E-1,-3.375460095E-2
4.357552500E-1,-9.230908901E-2,2.095154213E-1,-2.482365513E-2
4.575192500E-1,-7.475791749E-2,2.346579735E-1,-3.611380400E-2
4.792712500E-1,-1.164832966E-1,2.200370838E-1,-4.275663156E-2
5.010262500E-1,-1.127175801E-1,2.455795856E-1,-2.644716196E-2
5.227962500E-1,-1.156506349E-1,2.377289494E-1,-4.280443712E-2
5.445552500E-1,-9.656947084E-2,2.513385814E-1,-3.344880985E-2
5.663142500E-1,-1.008865524E-1,2.589351561E-1,-2.752482665E-2
5.880732500E-1,-8.417886456E-2,2.893162836E-1,-3.005003124E-2
6.098372500E-1,-1.226655395E-1,2.971017782E-1,-1.531367849E-2
6.315922500E-1,-1.162553740E-1,2.884089602E-1,-3.918652268E-2
6.533502500E-1,-1.203755231E-1,2.814335608E-1,-2.631707512E-2
6.751092500E-1,-1.120147448E-1,3.077483519E-1,-2.041113149E-2
6.968702500E-1,-1.086670403E-1,3.036610750E-1,-4.304327760E-2
7.186272500E-1,-1.315806704E-1,3.117670701E-1,-1.921755033E-2
7.404062500E-1,-1.209897275E-1,3.193148388E-1,-2.455265267E-2
7.621762500E-1,-1.270414769E-1,3.334303097E-1,-3.539429498E-2
7.839352500E-1,-1.315076076E-1,3.230653160E-1,-2.392270426E-2
8.056912500E-1,-1.419608121E-1,3.208861318E-1,-2.169797347E-2
8.274532500E-1,-1.414418626E-1,3.230411232E-1,1.016829374E-3
8.492032500E-1,-1.309124433E-1,3.315668387E-1,1.699267249E-3
8.709712500E-1,-1.381348967E-1,3.479440126E-1,-3.426765301E-2
8.927162500E-1,-1.268849360E-1,3.324423130E-1,-7.845712307E-3
9.144892500E-1,-1.525614486E-1,3.426233022E-1,-1.730610124E-2
9.362482500E-1,-1.621433997E-1,3.260967319E-1,-1.662567263E-2
9.580072500E-1,-1.453487437E-1,3.591553543E-1,-2.247770881E-2
9.797642500E-1,-1.318121745E-1,3.566808126E-1,-2.371237352E-2
1.001528250E0,-1.412848009E-1,3.530490704E-1,-2.180141065E-3
1.023316250E0,-1.361456099E-1,3.591222079E-1,-1.067109205E-2
1.045074250E0,-1.455810426E-1,3.568345578E-1,-1.398899978E-2
1.066833250E0,-1.672311168E-1,3.626274675E-1,-3.239641267E-3
1.088593250E0,-1.755842298E-1,3.678424895E-1,-3.147554758E-3
1.110338250E0,-1.471594802E-1,3.636864348E-1,-1.209320799E-2
1.132110250E0,-1.595209417E-1,3.947769575E-1,1.203399237E-2
1.153869250E0,-1.582957856E-1,4.031601471E-1,7.658944016E-3
1.175628250E0,-1.569628945E-1,3.918738149E-1,-2.177919495E-2
1.197401250E0,-1.769756662E-1,3.914077187E-1,-2.284455764E-2
1.219146250E0,-1.851051780E-1,3.950411054E-1,-2.386459413E-3
