"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.440758228E1,-2.408964539E1,3.713076019E1
2.176300000E-2,-1.436842823E1,-2.414084435E1,3.711267853E1
4.352200000E-2,-1.433838940E1,-2.417382050E1,3.710283279E1
6.528100000E-2,-1.436129475E1,-2.410283279E1,3.714014053E1
8.703900000E-2,-1.436904430E1,-2.407153320E1,3.715743637E1
1.087880000E-1,-1.435905647E1,-2.409605408E1,3.714540100E1
1.305720000E-1,-1.433175564E1,-2.414767647E1,3.712241364E1
1.523180000E-1,-1.431342316E1,-2.415900230E1,3.712212372E1
1.740760000E-1,-1.430343723E1,-2.415190887E1,3.713058472E1
1.958330000E-1,-1.431398201E1,-2.411378479E1,3.715129089E1
2.175900000E-1,-1.433670139E1,-2.404562569E1,3.718669128E1
2.393800000E-1,-1.436074924E1,-2.397518921E1,3.722286987E1
2.611440000E-1,-1.434524155E1,-2.400641251E1,3.720872879E1
2.828930000E-1,-1.432587528E1,-2.402487183E1,3.720427704E1
3.046620000E-1,-1.435118389E1,-2.395545387E1,3.723926926E1
3.264210000E-1,-1.434791660E1,-2.394274139E1,3.724869919E1
3.481790000E-1,-1.435186768E1,-2.391504097E1,3.726496506E1
3.699520000E-1,-1.437535477E1,-2.384567451E1,3.730035019E1
3.917050000E-1,-1.440295219E1,-2.375930786E1,3.734479141E1
4.134560000E-1,-1.442569828E1,-2.369297409E1,3.737814331E1
4.352150000E-1,-1.444930458E1,-2.362466812E1,3.741224289E1
4.569740000E-1,-1.442760849E1,-2.366525841E1,3.739495468E1
4.787650000E-1,-1.438435936E1,-2.376115799E1,3.735078049E1
5.005230000E-1,-1.436021709E1,-2.382346344E1,3.732036591E1
5.222770000E-1,-1.438370895E1,-2.375184822E1,3.735694885E1
5.440410000E-1,-1.436693096E1,-2.377319336E1,3.734982681E1
5.658000000E-1,-1.434449005E1,-2.380937576E1,3.733541107E1
5.875540000E-1,-1.433873177E1,-2.379707336E1,3.734545517E1
6.093110000E-1,-1.435965347E1,-2.373020554E1,3.737994766E1
6.310770000E-1,-1.438036537E1,-2.366271973E1,3.741475296E1
6.528360000E-1,-1.434086609E1,-2.375010490E1,3.737452698E1
6.745950000E-1,-1.431687832E1,-2.381414986E1,3.734295273E1
6.963850000E-1,-1.430746841E1,-2.381720543E1,3.734461212E1
7.181440000E-1,-1.428361797E1,-2.384122658E1,3.733841705E1
7.398850000E-1,-1.427266407E1,-2.384680557E1,3.733904266E1
7.616620000E-1,-1.425603390E1,-2.387556076E1,3.732701874E1
7.834130000E-1,-1.424559689E1,-2.389398575E1,3.731921005E1
8.051810000E-1,-1.426816368E1,-2.382285118E1,3.735604477E1
8.269390000E-1,-1.429148006E1,-2.375622177E1,3.738955688E1
8.486980000E-1,-1.426797771E1,-2.379379654E1,3.737463379E1
8.704570000E-1,-1.425731087E1,-2.379469490E1,3.737812805E1
8.922170000E-1,-1.426280022E1,-2.376992798E1,3.739179230E1
9.140060000E-1,-1.428808212E1,-2.369847870E1,3.742747498E1
9.357650000E-1,-1.430766392E1,-2.364614105E1,3.745308685E1
9.575250000E-1,-1.433172798E1,-2.357653236E1,3.748775482E1
9.792700000E-1,-1.431943703E1,-2.358176994E1,3.748915482E1
1.001023000E0,-1.427751446E1,-2.364908218E1,3.746274185E1
1.022801000E0,-1.424720287E1,-2.370667648E1,3.743786621E1
1.044560000E0,-1.424370766E1,-2.369674110E1,3.744548416E1
1.066319000E0,-1.426538372E1,-2.362735176E1,3.748106384E1
1.088099000E0,-1.426988411E1,-2.361610031E1,3.748644638E1
1.109838000E0,-1.425401783E1,-2.364551544E1,3.747393417E1
1.131619000E0,-1.421927071E1,-2.371602821E1,3.744256210E1
1.153387000E0,-1.420720577E1,-2.373925781E1,3.743241882E1
1.175145000E0,-1.421839142E1,-2.370502090E1,3.744986725E1
1.196908000E0,-1.420392799E1,-2.373045540E1,3.743924332E1
1.218664000E0,-1.420031738E1,-2.372695923E1,3.744283295E1
1.240410000E0,-1.420560837E1,-2.370494461E1,3.745476532E1
1.262180000E0,-1.421208191E1,-2.367236137E1,3.747291183E1
1.283946000E0,-1.421585274E1,-2.365818024E1,3.748044205E1
1.305699000E0,-1.423845100E1,-2.359006119E1,3.751478195E1
1.327458000E0,-1.426125050E1,-2.352098083E1,3.754948044E1
1.349248000E0,-1.422044563E1,-2.360178566E1,3.751423264E1
1.370984000E0,-1.419766140E1,-2.363269424E1,3.750340271E1
1.392746000E0,-1.421923351E1,-2.356307411E1,3.753902817E1
1.414525000E0,-1.424264908E1,-2.349323273E1,3.757390213E1
1.436284000E0,-1.422783279E1,-2.352245331E1,3.756123734E1
1.458043000E0,-1.419092464E1,-2.360128593E1,3.752572250E1
1.479803000E0,-1.419070911E1,-2.357827759E1,3.754026794E1
1.501570000E0,-1.421436214E1,-2.350881004E1,3.757486725E1
1.523320000E0,-1.423419666E1,-2.344028854E1,3.761014938E1
1.545080000E0,-1.418624592E1,-2.356034470E1,3.755321503E1
1.566868000E0,-1.415426159E1,-2.363012314E1,3.752142334E1
1.588627000E0,-1.414715290E1,-2.363237190E1,3.752269363E1
1.610363000E0,-1.417074776E1,-2.356237221E1,3.755778885E1
1.632145000E0,-1.415510654E1,-2.358532333E1,3.754928589E1
1.653904000E0,-1.412263012E1,-2.363085365E1,3.753288269E1
1.675646000E0,-1.409840679E1,-2.369265366E1,3.750301743E1
1.697422000E0,-1.408979607E1,-2.370383263E1,3.749918365E1
1.719181000E0,-1.406053734E1,-2.375094414E1,3.748035049E1
1.740962000E0,-1.406786060E1,-2.371275139E1,3.750177765E1
1.762701000E0,-1.404665565E1,-2.374406815E1,3.748991394E1
1.784474000E0,-1.404813194E1,-2.372276306E1,3.750285339E1
1.806248000E0,-1.407233715E1,-2.365180206E1,3.753857422E1
1.828007000E0,-1.407259846E1,-2.364617157E1,3.754202652E1
1.849766000E0,-1.404920959E1,-2.369178963E1,3.752201462E1
1.871529000E0,-1.402507401E1,-2.372713661E1,3.750871277E1
1.893285000E0,-1.404646015E1,-2.366096115E1,3.754249954E1
1.915044000E0,-1.406870556E1,-2.359175491E1,3.757770538E1
1.936802000E0,-1.405682850E1,-2.361173439E1,3.756960297E1
1.958562000E0,-1.403191662E1,-2.367675209E1,3.753797913E1
1.980328000E0,-1.401091576E1,-2.372472763E1,3.751552582E1
2.002110000E0,-1.402019310E1,-2.369294930E1,3.753213501E1
2.023869000E0,-1.404304504E1,-2.362555885E1,3.756606674E1
2.045628000E0,-1.400470734E1,-2.369267273E1,3.753809357E1
2.067388000E0,-1.397810078E1,-2.374052429E1,3.751777649E1
2.089141000E0,-1.395876884E1,-2.377881241E1,3.750072098E1
2.110905000E0,-1.397068977E1,-2.374110794E1,3.752016449E1
2.132664000E0,-1.396694660E1,-2.374248505E1,3.752069092E1
2.154423000E0,-1.395079231E1,-2.375426292E1,3.751924515E1
2.176204000E0,-1.395203400E1,-2.373274994E1,3.753239441E1
2.197972000E0,-1.396890640E1,-2.368147659E1,3.755849075E1
2.219731000E0,-1.394490528E1,-2.372237587E1,3.754159546E1
2.241489000E0,-1.396521187E1,-2.365637970E1,3.757567978E1
2.263239000E0,-1.396755409E1,-2.363120079E1,3.759065628E1
2.285008000E0,-1.398875999E1,-2.356325722E1,3.762540054E1
2.306768000E0,-1.401194477E1,-2.349265099E1,3.766090775E1
2.328526000E0,-1.399433613E1,-2.352799225E1,3.764538956E1
2.350285000E0,-1.396056271E1,-2.360361099E1,3.761058044E1
2.372057000E0,-1.395273304E1,-2.360822105E1,3.761059189E1
2.393834000E0,-1.397656441E1,-2.353738785E1,3.764611053E1
2.415593000E0,-1.399785900E1,-2.346809578E1,3.768144608E1
2.437352000E0,-1.394586468E1,-2.358710480E1,3.762638474E1
2.459111000E0,-1.390668869E1,-2.366954803E1,3.758908844E1
2.480870000E0,-1.387378407E1,-2.373134995E1,3.756226730E1
