"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.459465027E-1,-1.312770081E-1,-9.908195801E0
2.545000000E-2,1.372645569E-1,-1.133143616E-1,-9.913883972E0
4.504300000E-2,1.386117554E-1,-1.224453735E-1,-9.904902649E0
6.466500000E-2,1.448986816E-1,-1.260379028E-1,-9.898615723E0
8.427500000E-2,1.534309387E-1,-1.261875916E-1,-9.903405762E0
1.039120000E-1,1.616638184E-1,-1.101708984E-1,-9.919123077E0
1.235350000E-1,1.475930786E-1,-1.190025330E-1,-9.904603271E0
1.431260000E-1,1.486408997E-1,-1.291813660E-1,-9.923014984E0
1.627500000E-1,1.305285645E-1,-1.074765015E-1,-9.897418213E0
1.823710000E-1,1.425036621E-1,-1.170565796E-1,-9.921218719E0
2.019650000E-1,1.576222229E-1,-1.194515991E-1,-9.917626190E0
2.215880000E-1,1.493893433E-1,-1.151106262E-1,-9.926607513E0
2.412070000E-1,1.471440125E-1,-1.106199646E-1,-9.901010742E0
2.608330000E-1,1.558259583E-1,-1.023870850E-1,-9.911788330E0
2.804560000E-1,1.498384094E-1,-1.029858398E-1,-9.906249847E0
3.000480000E-1,1.477427673E-1,-1.233435059E-1,-9.912087708E0
3.196710000E-1,1.456471252E-1,-1.365161133E-1,-9.902807007E0
3.392930000E-1,1.460961914E-1,-1.269360352E-1,-9.885742493E0
3.588870000E-1,1.549278259E-1,-1.040336609E-1,-9.911788330E0
3.785080000E-1,1.522334290E-1,-1.131646729E-1,-9.889035645E0
3.981150000E-1,1.622625732E-1,-1.230441284E-1,-9.887838135E0
4.177310000E-1,1.365161133E-1,-1.184037781E-1,-9.861343231E0
4.373460000E-1,1.489402771E-1,-1.341210938E-1,-9.889185333E0
4.569700000E-1,1.428030396E-1,-1.152603149E-1,-9.869875488E0
4.765920000E-1,1.790277100E-1,-1.237925720E-1,-9.852062531E0
4.962070000E-1,1.365161133E-1,-1.264869690E-1,-9.884544983E0
5.158380000E-1,1.646575928E-1,-1.306782532E-1,-9.868378601E0
5.354300000E-1,1.466949463E-1,-1.209484863E-1,-9.866582336E0
5.550520000E-1,1.381626892E-1,-1.184037781E-1,-9.861043854E0
