"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,8.904825151E-2,3.297780827E-2,-1.047483832E-2
2.175900000E-2,8.684260398E-2,3.678609803E-2,-1.223127451E-2
4.352000000E-2,9.050968289E-2,3.430617973E-2,-1.086701918E-2
6.530700000E-2,9.162255377E-2,3.551423550E-2,-6.041692570E-3
8.706600000E-2,9.289900213E-2,3.676086292E-2,-8.445194922E-3
1.088340000E-1,9.054841846E-2,3.555314615E-2,-1.330512296E-2
1.305700000E-1,8.929353207E-2,3.554781899E-2,-1.213466283E-2
1.523430000E-1,9.054308385E-2,3.678805381E-2,-1.333335135E-2
1.741020000E-1,9.051618725E-2,3.678166121E-2,-1.212853845E-2
1.958610000E-1,9.043983370E-2,3.799566254E-2,-1.095252112E-2
2.176210000E-1,8.920343220E-2,3.675591201E-2,-1.216389984E-2
2.393790000E-1,8.659753203E-2,3.548533842E-2,-6.180542056E-3
2.611690000E-1,8.795468509E-2,3.675113991E-2,-1.219848823E-2
2.829280000E-1,9.034281969E-2,3.673762828E-2,-1.213075314E-2
3.046870000E-1,9.023127705E-2,3.422904387E-2,-9.665361606E-3
3.264410000E-1,8.778789639E-2,3.422233835E-2,-1.334918011E-2
3.482050000E-1,8.767872304E-2,3.666265309E-2,-1.220160257E-2
3.699650000E-1,9.000057727E-2,3.661517054E-2,-1.092918683E-2
3.917230000E-1,8.757366240E-2,3.290697932E-2,-1.452836022E-2
4.134820000E-1,9.232290089E-2,3.409339488E-2,-1.080556493E-2
4.352590000E-1,8.745943010E-2,3.534534946E-2,-1.338084135E-2
4.570310000E-1,8.742721379E-2,3.657386452E-2,-1.220425684E-2
4.787900000E-1,9.089605510E-2,3.526044637E-2,-7.254864555E-3
5.005490000E-1,9.084045887E-2,3.893783316E-2,-1.095521078E-2
5.223030000E-1,8.954295516E-2,3.520480916E-2,-9.700652212E-3
5.440680000E-1,8.963963389E-2,3.151926026E-2,-1.323040575E-2
5.658200000E-1,8.577939123E-2,3.517673165E-2,-9.804579429E-3
5.875850000E-1,8.712028712E-2,3.396632522E-2,-1.456125174E-2
6.093440000E-1,8.321050555E-2,3.638820350E-2,-5.082261283E-3
6.311110000E-1,8.683435619E-2,3.633742779E-2,-1.221034769E-2
6.528940000E-1,8.793018013E-2,3.629005700E-2,-1.097224187E-2
6.746520000E-1,8.792184293E-2,3.256446868E-2,-1.450306643E-2
6.964110000E-1,9.031336010E-2,3.501937166E-2,-1.208118815E-2
7.181700000E-1,8.903157711E-2,3.500765190E-2,-9.705915116E-3
7.399140000E-1,8.865600824E-2,3.361531347E-2,-9.681521915E-3
7.616880000E-1,8.594405651E-2,3.350994363E-2,-8.547576144E-3
7.834470000E-1,8.831963688E-2,3.222702071E-2,-1.447682921E-2
8.052070000E-1,8.304736763E-2,3.459414840E-2,-8.648740128E-3
8.269710000E-1,8.673664182E-2,3.335604444E-2,-8.517447859E-3
8.487390000E-1,8.556246012E-2,3.336989507E-2,-1.096143015E-2
8.705130000E-1,8.159934729E-2,3.452681378E-2,-5.070158280E-3
8.922720000E-1,8.030192554E-2,3.446684033E-2,-1.354079321E-2
9.140310000E-1,8.494369686E-2,3.685116768E-2,-7.437014487E-3
9.357910000E-1,8.596556634E-2,3.181478381E-2,-8.497098461E-3
9.575500000E-1,8.693765104E-2,3.666111827E-2,-8.578002453E-3
9.793090000E-1,8.823540807E-2,3.296811506E-2,-1.086858846E-2
1.001068000E0,8.328592777E-2,3.543579951E-2,-9.857652709E-3
1.022827000E0,8.822015673E-2,3.562115505E-2,-1.244057715E-2
1.044616000E0,8.699904382E-2,3.438288346E-2,-1.365179010E-2
1.066375000E0,9.057267755E-2,3.557940573E-2,-1.116788480E-2
1.088134000E0,9.058333188E-2,3.310958669E-2,-1.111142430E-2
1.109886000E0,8.938968182E-2,3.682329878E-2,-1.484525762E-2
1.131649000E0,8.689589798E-2,3.310792148E-2,-1.241965033E-2
1.153411000E0,8.817234635E-2,3.435454518E-2,-1.482315361E-2
1.175171000E0,8.314217627E-2,3.926517442E-2,-1.386943739E-2
1.196954000E0,9.285902977E-2,3.674894571E-2,-1.112917252E-2
1.218713000E0,8.792801946E-2,3.426999226E-2,-1.121047325E-2
1.240472000E0,9.166576713E-2,3.427958116E-2,-1.351703703E-2
1.262237000E0,8.666007966E-2,3.549289703E-2,-1.127345581E-2
1.283996000E0,9.396188706E-2,3.546379879E-2,-1.106794924E-2
1.305756000E0,8.789638430E-2,3.547836095E-2,-1.726441458E-2
1.327529000E0,8.770142496E-2,3.665791824E-2,-1.126923505E-2
1.349273000E0,9.129774570E-2,3.785856813E-2,-9.990285151E-3
1.371032000E0,8.259923011E-2,3.659460694E-2,-7.793565281E-3
1.392791000E0,8.388322592E-2,3.660038114E-2,-1.257891394E-2
1.414582000E0,8.633001149E-2,3.288486972E-2,-1.242571697E-2
1.436340000E0,8.385191858E-2,3.782215342E-2,-1.381246466E-2
1.458099000E0,8.866896480E-2,3.407867625E-2,-1.118129957E-2
1.479858000E0,8.370856196E-2,3.283524886E-2,-8.880862035E-3
1.501617000E0,9.122187644E-2,3.657192737E-2,-1.598830707E-2
1.523389000E0,9.001201391E-2,3.532702103E-2,-1.960977353E-2
1.545136000E0,8.364562690E-2,3.650997579E-2,-1.137639396E-2
1.566895000E0,8.608084917E-2,3.402478620E-2,-1.125159021E-2
1.588684000E0,8.741110563E-2,3.528419510E-2,-1.606472023E-2
1.610441000E0,8.738419414E-2,3.527780622E-2,-1.485990826E-2
1.632183000E0,8.968942612E-2,3.768905625E-2,-1.364421379E-2
1.653961000E0,9.210373461E-2,3.148415685E-2,-1.343506668E-2
1.675720000E0,8.472774178E-2,3.889912739E-2,-1.622058079E-2
1.697480000E0,8.833632618E-2,3.764184937E-2,-1.247484609E-2
1.719239000E0,8.705572039E-2,3.391152620E-2,-1.242515352E-2
1.741007000E0,9.067859501E-2,3.388818726E-2,-1.111761015E-2
1.762786000E0,8.331602067E-2,3.634658828E-2,-1.620071381E-2
1.784545000E0,8.691744506E-2,3.631143644E-2,-1.489352621E-2
1.806304000E0,8.556404710E-2,3.379724175E-2,-1.125771180E-2
1.828064000E0,8.680267632E-2,3.132636100E-2,-1.116689853E-2
1.849836000E0,9.171488881E-2,3.750303015E-2,-1.237544045E-2
1.871583000E0,8.555500954E-2,3.254804015E-2,-1.363964379E-2
1.893341000E0,9.042124450E-2,3.499396890E-2,-1.476405747E-2
1.915107000E0,8.786520362E-2,3.867378831E-2,-1.250821818E-2
1.936859000E0,8.782947809E-2,3.865377977E-2,-1.371358987E-2
1.958648000E0,8.786039054E-2,3.617655858E-2,-1.727218926E-2
1.980383000E0,8.655703068E-2,3.492354229E-2,-1.366387215E-2
2.002166000E0,8.404195309E-2,3.614779562E-2,-1.135118399E-2
2.023926000E0,8.770666271E-2,3.414772823E-2,-1.497545000E-2
2.045684000E0,8.884504437E-2,3.411735967E-2,-1.253189240E-2
2.067443000E0,8.752422035E-2,3.903781250E-2,-1.026968192E-2
2.089202000E0,8.507357538E-2,3.780503571E-2,-1.031016279E-2
2.110966000E0,8.997991681E-2,3.285475448E-2,-8.855010383E-3
2.132745000E0,8.631033450E-2,3.656581789E-2,-1.145262178E-2
2.154510000E0,9.247104079E-2,3.408733755E-2,-1.363422815E-2
2.176270000E0,8.376793563E-2,3.530171141E-2,-1.028868929E-2
2.198028000E0,9.002077579E-2,3.408704326E-2,-1.490794308E-2
2.219787000E0,8.991640806E-2,3.528768569E-2,-1.252717432E-2
2.241549000E0,8.495689183E-2,3.650866076E-2,-1.269321144E-2
2.263305000E0,9.230810404E-2,3.772892430E-2,-1.372028887E-2
2.285064000E0,8.730620891E-2,3.770623356E-2,-1.144828647E-2
2.306854000E0,8.733209968E-2,3.400074318E-2,-1.256857347E-2
2.328613000E0,8.729986846E-2,3.522925824E-2,-1.139198896E-2
