"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.583706665E-1,-1.251397705E-1,-9.910890198E0
2.162300000E-2,9.235794067E-2,-6.990463257E-2,-9.882149963E0
4.121600000E-2,9.385482788E-2,-5.089416504E-2,-9.916129303E0
6.083900000E-2,1.454974365E-1,-1.124162292E-1,-9.892777863E0
8.043100000E-2,1.954934692E-1,-1.592687988E-1,-9.911788330E0
1.000530000E-1,2.167492676E-1,-1.082249451E-1,-9.908345490E0
1.196450000E-1,2.079176331E-1,-7.214996338E-2,-9.879305878E0
1.392690000E-1,1.643582153E-1,-7.439529419E-2,-9.904154205E0
1.588610000E-1,1.188528442E-1,-1.152603149E-1,-9.902208252E0
1.784840000E-1,8.427474976E-2,-1.393601990E-1,-9.909842377E0
1.980890000E-1,1.121168518E-1,-9.056167603E-2,-9.919572144E0
2.176990000E-1,1.832189941E-1,-8.936416626E-2,-9.889933777E0
2.372850000E-1,2.228865051E-1,-1.085243225E-1,-9.904453583E0
2.569130000E-1,1.865121460E-1,-1.399589539E-1,-9.890831909E0
2.765060000E-1,1.529818726E-1,-1.287322998E-1,-9.897418213E0
2.961280000E-1,1.073268127E-1,-6.915618896E-2,-9.889634399E0
3.157520000E-1,8.652008057E-2,-6.765930176E-2,-9.892328796E0
3.353440000E-1,1.080752563E-1,-1.480421448E-1,-9.884544983E0
3.549570000E-1,1.610650635E-1,-1.637594604E-1,-9.891430664E0
3.745590000E-1,2.107617188E-1,-9.954299927E-2,-9.879904633E0
3.941600000E-1,1.975891113E-1,-7.664062500E-2,-9.900861053E0
4.137760000E-1,1.859133911E-1,-8.382568359E-2,-9.877808990E0
4.333970000E-1,1.279838562E-1,-1.302291870E-1,-9.868228912E0
4.529890000E-1,1.008901978E-1,-1.297801208E-1,-9.873018951E0
4.726120000E-1,1.107696533E-1,-9.430389404E-2,-9.868079224E0
4.922040000E-1,1.511856079E-1,-8.666976929E-2,-9.844727783E0
5.118270000E-1,1.975891113E-1,-1.239422607E-1,-9.831854553E0
5.314200000E-1,2.164498901E-1,-1.434017944E-1,-9.842632141E0
5.510430000E-1,1.948947144E-1,-1.059796143E-1,-9.859397278E0
5.706340000E-1,1.420545959E-1,-7.574249268E-2,-9.838291168E0
5.902570000E-1,1.230441284E-1,-9.804611206E-2,-9.851463776E0
6.098490000E-1,1.204994202E-1,-1.269360352E-1,-9.844578094E0
6.294730000E-1,1.335223389E-1,-1.260379028E-1,-9.826316071E0
6.490640000E-1,1.889071655E-1,-1.008901978E-1,-9.822573853E0
6.686880000E-1,2.131567383E-1,-6.002517700E-2,-9.824819183E0
6.882790000E-1,1.860630798E-1,-9.924362183E-2,-9.825417938E0
7.079030000E-1,1.637594604E-1,-1.407073975E-1,-9.842332764E0
7.274940000E-1,1.097218323E-1,-1.410067749E-1,-9.814490662E0
7.471170000E-1,8.876541138E-2,-7.918533325E-2,-9.824070740E0
7.667100000E-1,1.317260742E-1,-7.723937988E-2,-9.819280701E0
7.863030000E-1,1.658551025E-1,-1.278341675E-1,-9.817334747E0
8.059270000E-1,2.049238586E-1,-1.396595764E-1,-9.815089417E0
8.255180000E-1,2.088157654E-1,-1.017883301E-1,-9.821526031E0
8.451250000E-1,1.700463867E-1,-7.723937988E-2,-9.819430389E0
8.647340000E-1,1.202000427E-1,-1.005908203E-1,-9.804012451E0
8.843500000E-1,1.073268127E-1,-1.258882141E-1,-9.800719299E0
9.039470000E-1,1.314266968E-1,-1.390608215E-1,-9.792935486E0
9.235700000E-1,1.712438965E-1,-9.131011963E-2,-9.808353424E0
9.431620000E-1,2.098635864E-1,-6.945556641E-2,-9.793833618E0
9.627860000E-1,1.992356873E-1,-1.025367737E-1,-9.820927277E0
9.823920000E-1,1.815724182E-1,-1.681004333E-1,-9.798773346E0
1.002001000E0,1.365161133E-1,-1.338217163E-1,-9.810748444E0
1.021593000E0,1.089733887E-1,-8.936416626E-2,-9.790390778E0
1.041209000E0,1.149609375E-1,-6.406677246E-2,-9.813592529E0
1.060807000E0,1.559756470E-1,-1.097218323E-1,-9.810598755E0
1.080439000E0,1.709445190E-1,-1.237925720E-1,-9.814340973E0
1.100023000E0,1.913021851E-1,-8.622070312E-2,-9.802216187E0
1.119646000E0,1.963916016E-1,-8.442443848E-2,-9.791139221E0
1.139260000E0,1.591191101E-1,-9.999206543E-2,-9.812245331E0
1.158861000E0,1.058299255E-1,-1.345701599E-1,-9.786798248E0
1.178484000E0,1.104702759E-1,-1.172062683E-1,-9.806856537E0
1.198076000E0,1.618135071E-1,-9.160949707E-2,-9.780062256E0
1.217699000E0,1.716929626E-1,-8.307723999E-2,-9.792336731E0
1.237306000E0,2.128573608E-1,-9.879455566E-2,-9.792935486E0
1.256914000E0,2.130070496E-1,-1.514849854E-1,-9.781110077E0
1.276507000E0,1.661544800E-1,-1.225950623E-1,-9.787097626E0
1.296098000E0,1.281335449E-1,-9.265731812E-2,-9.793534241E0
1.315722000E0,1.142124939E-1,-7.319778442E-2,-9.810598755E0
1.335316000E0,1.290316772E-1,-1.001417542E-1,-9.814640350E0
1.354928000E0,1.760339355E-1,-1.468446350E-1,-9.798623657E0
1.374552000E0,1.987866211E-1,-1.113684082E-1,-9.778265991E0
1.394152000E0,2.031275940E-1,-9.056167603E-2,-9.793683929E0
1.413775000E0,1.833686829E-1,-1.043330383E-1,-9.784103851E0
1.433378000E0,1.366658020E-1,-1.278341675E-1,-9.783654785E0
1.452990000E0,1.115180969E-1,-1.131646729E-1,-9.781110077E0
1.472581000E0,1.203497314E-1,-8.442443848E-2,-9.790540466E0
1.492204000E0,1.607656860E-1,-7.694000244E-2,-9.793833618E0
1.511828000E0,2.133064270E-1,-1.413061523E-1,-9.766739960E0
1.531419000E0,1.938468933E-1,-1.410067749E-1,-9.780511322E0
1.551043000E0,1.806742859E-1,-1.204994202E-1,-9.775870972E0
1.570635000E0,1.276844788E-1,-8.652008057E-2,-9.800868988E0
1.590258000E0,1.270857239E-1,-8.562194824E-2,-9.795929260E0
1.609881000E0,1.225950623E-1,-1.134640503E-1,-9.803713074E0
1.629473000E0,1.469943237E-1,-1.411564636E-1,-9.784852295E0
1.649090000E0,1.953437805E-1,-1.202000427E-1,-9.789043579E0
1.668681000E0,1.953437805E-1,-8.831634521E-2,-9.799072723E0
1.688311000E0,1.826202393E-1,-9.235794067E-2,-9.802216187E0
1.707903000E0,1.490899658E-1,-1.378633118E-1,-9.810149689E0
1.727526000E0,1.143621826E-1,-1.254391479E-1,-9.797426147E0
1.747152000E0,1.212478638E-1,-1.068777466E-1,-9.811796265E0
1.766741000E0,1.487905884E-1,-1.017883301E-1,-9.797426147E0
1.786345000E0,1.871109009E-1,-1.300794983E-1,-9.810449066E0
1.805953000E0,1.968406677E-1,-1.221459961E-1,-9.806257782E0
1.825570000E0,1.898052979E-1,-1.154100037E-1,-9.796078949E0
1.845202000E0,1.658551025E-1,-1.017883301E-1,-9.800569611E0
1.864794000E0,1.294807434E-1,-1.055305481E-1,-9.792037354E0
1.884408000E0,9.939331055E-2,-1.264869690E-1,-9.810000000E0
1.904009000E0,1.215472412E-1,-1.300794983E-1,-9.810149689E0
1.923632000E0,1.761836243E-1,-1.011895752E-1,-9.810299377E0
1.943255000E0,1.936972046E-1,-9.445358276E-2,-9.799222412E0
1.962846000E0,1.939965820E-1,-1.134640503E-1,-9.806557159E0
1.982471000E0,1.534309387E-1,-1.309776306E-1,-9.831405487E0
2.002062000E0,1.327738953E-1,-1.308279419E-1,-9.795929260E0
2.021685000E0,1.225950623E-1,-9.849517822E-2,-9.818382568E0
2.041276000E0,1.405577087E-1,-8.801696777E-2,-9.808802490E0
2.060900000E0,1.511856079E-1,-1.300794983E-1,-9.801916809E0
2.080515000E0,1.848655701E-1,-1.225950623E-1,-9.816885681E0
2.100114000E0,2.065704346E-1,-1.020877075E-1,-9.820777588E0
2.119707000E0,1.604663086E-1,-9.969268799E-2,-9.799372101E0
2.139329000E0,1.318757629E-1,-1.242416382E-1,-9.815688171E0
2.158922000E0,1.182540894E-1,-1.465452576E-1,-9.827812958E0
2.178525000E0,1.200503540E-1,-1.335223389E-1,-9.830507355E0
2.198136000E0,1.516346741E-1,-1.041833496E-1,-9.824968872E0
2.217760000E0,1.905537415E-1,-8.741821289E-2,-9.832004242E0
2.237351000E0,2.010319519E-1,-1.240919495E-1,-9.836045837E0
2.256974000E0,1.739382935E-1,-1.507365417E-1,-9.811197510E0
2.276568000E0,1.658551025E-1,-1.193019104E-1,-9.802964630E0
2.296190000E0,1.127156067E-1,-1.047821045E-1,-9.816436615E0
2.315782000E0,1.296304321E-1,-9.310638428E-2,-9.820328522E0
2.335401000E0,1.456471252E-1,-1.115180969E-1,-9.826615448E0
2.354997000E0,1.856140137E-1,-1.330732727E-1,-9.822124786E0
2.374603000E0,2.020797729E-1,-1.070274353E-1,-9.814041595E0
2.394213000E0,1.942959595E-1,-1.011895752E-1,-9.814191284E0
2.413836000E0,1.871109009E-1,-1.098715210E-1,-9.812544708E0
2.433428000E0,1.386117554E-1,-1.329235840E-1,-9.823471985E0
2.453051000E0,1.170565796E-1,-1.115180969E-1,-9.811197510E0
2.472642000E0,1.278341675E-1,-8.307723999E-2,-9.813293152E0
2.492265000E0,1.731898499E-1,-9.939331055E-2,-9.825268250E0
2.511857000E0,1.788780212E-1,-1.200503540E-1,-9.806108093E0
2.531481000E0,2.221380615E-1,-1.514849854E-1,-9.928403778E0
2.551597375E0,1.914518738E-1,-1.191522217E-1,-9.861043854E0
2.571190375E0,1.228944397E-1,-1.077758789E-1,-9.771380310E0
2.590811375E0,9.714797974E-2,-1.187031555E-1,-9.748477936E0
2.610435375E0,1.219963074E-1,-1.178050232E-1,-9.855505371E0
2.630026375E0,1.371148682E-1,-1.134640503E-1,-9.804012451E0
2.649620375E0,1.782792664E-1,-9.205856323E-2,-9.794132996E0
2.669241375E0,1.951940918E-1,-9.190887451E-2,-9.770482178E0
2.688835375E0,1.053808594E-1,-1.050814819E-1,-9.822274475E0
2.708456375E0,2.133064270E-1,-9.280700684E-2,-9.823921051E0
2.728050375E0,2.023941193E0,4.984634399E-1,-9.776170349E0
2.747661375E0,1.704505463E0,-5.316943359E-1,-9.891730042E0
2.767265375E0,-1.325643311E0,-4.715194702E-1,-1.109013794E1
2.786894375E0,2.368524628E0,-2.848875732E0,-1.139220978E1
2.806510375E0,1.748813324E0,1.789828033E0,-1.292681854E1
2.826105375E0,-8.611592102E-1,3.305126953E-1,-1.402179153E1
2.845726375E0,8.812174988E-1,-1.938319244E0,-1.243015137E1
2.865318375E0,4.993316345E0,-2.964884491E0,-1.226040436E1
2.884940375E0,6.033952332E0,-4.630171509E0,-1.491767853E1
2.904533375E0,8.992250519E0,-6.825206909E0,-1.620021149E1
2.924151375E0,6.401887207E0,-8.898994446E0,-1.353320755E1
2.943747375E0,6.188880157E0,-7.905061340E0,-9.630074158E0
2.963371375E0,1.053449341E1,-7.153623962E0,-4.822820892E0
2.982962375E0,1.564561478E1,-6.792574768E0,-9.698032837E0
3.002586375E0,1.510778320E1,-6.897356873E0,-9.389225006E0
3.022193375E0,1.131991013E1,-1.049347870E1,-6.685247955E0
3.041801375E0,9.102870483E0,-9.534423065E0,-1.919308777E0
3.061393375E0,8.234226837E0,-6.913373566E0,-2.616558838E-1
3.081016375E0,9.232800293E0,-4.836891632E0,1.904489594E0
3.100608375E0,7.838300171E0,-3.886068878E0,2.349663849E0
3.120240375E0,4.984335022E0,-2.913690948E0,2.470612335E0
3.139823375E0,3.428919525E0,-1.846110992E0,5.171745300E0
3.159445375E0,3.966302032E0,-1.570983124E0,6.288572845E0
3.179039375E0,4.020639038E0,-1.158291321E0,5.867498474E0
3.198661375E0,2.037263489E0,4.616400146E-1,4.999004517E0
3.218271375E0,9.321116638E-1,2.318977661E0,4.302203522E0
3.237875375E0,2.086960144E0,1.355431366E0,5.393434296E0
3.257482375E0,1.978435822E0,1.539099426E0,5.535788269E0
3.277108375E0,8.643026733E-1,2.657124481E0,5.634732513E0
3.296703375E0,-1.745370483E-1,2.074535980E0,4.690795441E0
3.316307375E0,8.653504944E-1,2.552492065E0,5.377866669E0
3.335929375E0,1.772164764E0,2.658771057E0,5.657784576E0
3.355522375E0,1.545236664E0,3.509152679E0,5.394182739E0
3.375145375E0,1.490151215E0,3.729195099E0,5.764812012E0
3.394737375E0,1.012195129E0,3.389551392E0,7.827672272E0
3.414359375E0,5.146298218E-1,1.983824615E0,8.158933411E0
3.433981375E0,1.655407562E0,2.180515594E0,7.602241058E0
3.453575375E0,1.424737244E0,3.771557007E0,7.032525787E0
3.473198375E0,3.429368591E-1,4.006568298E0,7.572453003E0
3.492790375E0,5.617817688E-1,2.579286346E0,8.502019958E0
3.512412375E0,7.614665222E-1,2.630330200E0,8.403674469E0
3.532005375E0,6.990463257E-1,3.554358673E0,8.058492279E0
3.551627375E0,6.894662476E-1,4.364324341E0,7.374414825E0
3.571219375E0,1.162033539E0,3.857328644E0,7.706873474E0
3.590843375E0,8.738827515E-1,3.352727966E0,8.930728455E0
3.610435375E0,-1.094224548E-1,3.011287994E0,9.597142639E0
3.630058375E0,5.138813782E-1,2.446063385E0,8.885821838E0
3.649650375E0,1.561552734E0,2.686613159E0,8.358318787E0
3.669280375E0,7.574249268E-1,4.104913788E0,9.218280487E0
3.688863375E0,8.785231018E-1,2.974913635E0,9.557175751E0
3.708488375E0,2.463876343E-1,3.037333832E0,9.405990143E0
3.728111375E0,1.808239746E-1,3.249143372E0,9.098978577E0
