"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.149507508E-2,-3.036534371E-1,-9.016552716E-2
2.177400000E-2,-2.509211085E-1,-3.490289635E-1,-7.871422126E-2
4.351700000E-2,-4.657802453E-1,-3.027836455E-1,-8.511302121E-2
6.527600000E-2,2.127716443E-1,-4.556505655E-1,-7.998491258E-2
8.703500000E-2,3.358199206E-1,-6.091890199E-1,-3.694992843E-2
1.088080000E-1,1.281470301E-1,6.241070943E-1,-7.592156366E-2
1.305830000E-1,-2.638261327E-1,-2.428632433E-1,-7.683107064E-2
1.523420000E-1,1.899681976E-1,-2.806938150E-1,-1.055408447E-1
1.741010000E-1,5.300029923E-1,-2.801704161E-1,9.033165890E-3
1.958600000E-1,1.428763198E0,-5.862324858E-1,-1.899333701E-2
2.176100000E-1,-3.138245080E0,3.871609225E-1,-1.213647624E-1
2.393870000E-1,1.121575448E-1,-1.793643451E-1,-6.033578749E-2
2.611380000E-1,2.322901207E-2,-1.318370251E-1,-1.401759175E-2
2.828980000E-1,-1.840472888E-1,-1.076955893E-1,-2.653080912E-2
3.046560000E-1,-3.105051313E-1,8.514394521E-3,-4.193629461E-2
3.264150000E-1,-6.526944970E-1,2.104523280E-1,-5.710605509E-2
3.481740000E-1,-4.187146544E-1,5.676383309E-2,-3.656037139E-2
3.699330000E-1,-5.995907948E-3,4.934867742E-2,-3.370725678E-2
3.916920000E-1,1.131414302E-1,-1.191606819E-1,-3.271414146E-2
4.134500000E-1,-1.259123156E-1,5.947695485E-2,-4.778010700E-2
4.352400000E-1,-2.315661669E-1,1.155650006E-1,-3.489580157E-2
4.569990000E-1,-4.816311699E-1,1.313083546E-1,-2.356181685E-2
4.787580000E-1,-3.738755370E-1,9.882003673E-2,-2.894992786E-2
5.005180000E-1,-3.867551258E-1,1.107865554E-1,-1.563818069E-2
5.222760000E-1,-6.701339913E-2,1.252678519E-1,-1.148890282E-2
5.440350000E-1,-4.237409118E-2,1.351733733E-1,-4.418258645E-3
5.657950000E-1,-4.062131611E-1,2.369738546E-2,-7.425278087E-3
5.875540000E-1,-7.225389764E-1,-1.192175278E-1,-3.589665988E-2
6.093020000E-1,7.188242585E-2,3.035085541E-1,-3.283248819E-2
6.310860000E-1,1.551182076E-1,5.672619986E-1,9.536208590E-3
6.528260000E-1,3.330906596E-1,5.392679786E-1,-1.007145095E-2
6.745900000E-1,-2.250237538E-1,2.148727499E-1,-1.024337850E-2
6.963490000E-1,-6.034113495E-1,1.177901493E-1,-4.187274269E-2
7.181360000E-1,-3.529221767E-2,2.989496993E-1,1.295912352E-2
7.398870000E-1,5.502176573E-1,6.663987625E-1,3.513320767E-2
7.616570000E-1,-4.129341701E-1,3.812232943E-1,-2.358433777E-2
7.834150000E-1,-2.311090790E-1,3.360852015E-1,2.096942439E-3
8.051600000E-1,-1.798974833E-1,2.944397419E-1,-2.093211841E-2
8.269330000E-1,-1.677702849E-1,3.107256445E-1,-2.255337087E-2
8.486880000E-1,-6.678617359E-1,4.220992421E-1,-2.797577031E-2
8.704520000E-1,9.691911606E-2,3.088957949E-1,-1.729907202E-2
8.922110000E-1,-3.801912242E-1,4.051007649E-1,-2.590158933E-2
9.139640000E-1,-3.266218118E-1,4.203602801E-1,2.656029188E-3
9.357290000E-1,-2.229477730E-1,3.508086001E-1,-2.306952241E-2
9.574890000E-1,-1.528680529E-1,2.887937435E-1,5.836269254E-3
9.792610000E-1,-1.706375950E-1,2.358174581E-1,-3.232451019E-3
1.001007000E0,-2.223292837E-1,2.740515607E-1,-1.412498723E-3
1.022765000E0,-2.930705250E-1,4.149465624E-1,9.454489754E-3
1.044554000E0,-2.814272751E-1,4.388911298E-1,-1.676344879E-2
1.066313000E0,-1.571106098E-1,2.846576973E-1,2.825238016E-2
1.088072000E0,-1.039827627E-1,1.961645469E-1,1.677087544E-2
1.109829000E0,-9.031387285E-2,1.960183848E-1,2.040344103E-2
1.131591000E0,-1.406257831E-1,3.328161328E-1,2.003637979E-2
1.153349000E0,-2.900832739E-1,3.957126582E-1,1.170989217E-2
1.175108000E0,-2.633143917E-1,3.589025353E-1,2.104263078E-2
1.196868000E0,-2.151982388E-1,2.993914016E-1,1.795600784E-2
1.218627000E0,-1.111598727E-1,2.641136330E-1,2.814908544E-2
1.240386000E0,-7.617114383E-2,2.362208977E-1,2.151257790E-2
1.262145000E0,-1.036048498E-1,2.817556328E-1,4.705677559E-3
1.283905000E0,-1.953960035E-1,3.809528971E-1,4.449107846E-3
1.305662000E0,-2.453171553E-1,4.434224296E-1,-2.747935541E-3
1.327422000E0,-2.158105885E-1,3.508932751E-1,2.236670079E-2
1.349211000E0,-1.688868290E-1,1.959757914E-1,4.996628044E-2
1.370970000E0,-9.333894814E-2,1.581457862E-1,-3.086429256E-2
1.392729000E0,-6.099813085E-2,2.607493826E-1,2.717929046E-2
1.414469000E0,-1.418076333E-1,4.269453048E-1,-2.732691382E-3
1.436247000E0,-2.050011698E-1,4.013374238E-1,-2.595546366E-2
1.458006000E0,-2.602330370E-1,3.099358318E-1,1.592354880E-2
1.479753000E0,-2.337034521E-1,2.656599292E-1,4.086492539E-3
1.501511000E0,-1.185471902E-1,2.618879452E-1,-6.913591329E-3
