"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,8.655771613E-2,3.368753195E-2,5.009569228E-2
2.175900000E-2,8.443644643E-2,3.506612778E-2,2.549264431E-1
4.351800000E-2,8.181393147E-2,3.805553913E-2,1.523234248E-1
6.527700000E-2,8.418539912E-2,3.734398633E-2,4.632781819E-2
8.703100000E-2,9.184006602E-2,3.711269796E-2,8.873677254E-2
1.087950000E-1,8.635677397E-2,4.098244384E-2,5.835994706E-2
1.305540000E-1,8.708724380E-2,3.517036512E-2,6.542907655E-2
1.523090000E-1,8.903630078E-2,3.657668456E-2,3.290520608E-2
1.740670000E-1,8.759200573E-2,3.929138184E-2,-1.300290786E-2
1.958410000E-1,9.141603112E-2,3.808507696E-2,-1.889569871E-2
2.175900000E-1,8.776445687E-2,3.685966134E-2,-2.017535828E-2
2.393610000E-1,9.026914835E-2,3.810505942E-2,-2.254451998E-2
2.611390000E-1,8.746370673E-2,3.802397102E-2,-6.950659212E-3
2.828800000E-1,8.854066581E-2,3.521336615E-2,5.461982638E-2
3.046570000E-1,8.546574414E-2,3.875966370E-2,8.097225428E-2
3.264160000E-1,8.439853042E-2,3.752677888E-2,7.373735309E-2
3.481750000E-1,8.636760712E-2,3.524442762E-2,4.009307176E-2
3.699450000E-1,8.452074975E-2,3.606541827E-2,1.219919547E-1
3.916930000E-1,7.840020955E-2,3.495553881E-2,5.606190562E-1
4.134520000E-1,7.419783622E-2,4.002026469E-2,5.278390646E-1
4.352110000E-1,8.738995343E-2,3.791733831E-2,-6.951077376E-3
4.569700000E-1,8.847805858E-2,3.293816373E-2,4.250683705E-4
4.787290000E-1,9.406425059E-2,3.650959954E-2,2.460842207E-2
5.005100000E-1,9.040744603E-2,3.651902825E-2,2.330052853E-2
5.222480000E-1,8.847872168E-2,3.293775022E-2,4.250294005E-4
5.440060000E-1,8.745014668E-2,3.669454157E-2,-9.332538582E-3
5.657650000E-1,8.748253435E-2,3.546592966E-2,-1.050913241E-2
5.875450000E-1,9.241622686E-2,3.670284152E-2,-1.160476916E-2
6.093140000E-1,8.878094703E-2,3.795360029E-2,-1.414570212E-2
6.310730000E-1,8.931379765E-2,3.931621090E-2,-3.827022389E-2
6.528320000E-1,8.940534294E-2,3.686544299E-2,-4.182822257E-2
6.745910000E-1,9.076738358E-2,3.566077724E-2,-5.020000413E-2
6.963330000E-1,8.672961593E-2,3.434420750E-2,-4.304805398E-2
7.181090000E-1,9.137766808E-2,3.797727078E-2,-3.456218541E-2
7.398780000E-1,9.091624618E-2,3.787029535E-2,-1.890085265E-2
7.616400000E-1,8.780453354E-2,3.770516440E-2,3.920302261E-3
7.833810000E-1,9.019713104E-2,3.645484522E-2,4.016425461E-3
8.051450000E-1,8.839965612E-2,4.031231627E-2,-2.987268008E-2
8.269040000E-1,9.139819443E-2,3.794689476E-2,-5.866429955E-2
8.486700000E-1,8.597420156E-2,3.656938672E-2,-4.070255905E-2
8.704220000E-1,9.014727920E-2,3.512324393E-2,-1.162248012E-2
8.921950000E-1,9.174295515E-2,3.485993296E-2,2.217982337E-2
9.139710000E-1,8.613364398E-2,3.620831668E-2,-6.936657242E-3
9.357300000E-1,8.606743068E-2,3.619421646E-2,-8.142183535E-3
9.574890000E-1,8.474290371E-2,3.738294542E-2,-8.205733262E-3
9.792320000E-1,8.806771785E-2,3.451154754E-2,5.945687369E-2
1.001007000E0,8.662118763E-2,3.569502011E-2,6.421273947E-2
1.022766000E0,8.553883433E-2,3.503505886E-2,5.774087459E-2
1.044525000E0,8.558997512E-2,3.533919528E-2,-1.329745399E-3
1.066284000E0,8.600275964E-2,3.791278228E-2,-2.186833695E-2
1.088053000E0,8.558728546E-2,3.781357035E-2,-5.001369398E-3
1.109794000E0,9.185346216E-2,3.657658771E-2,-1.203105412E-2
1.131562000E0,8.691128343E-2,3.284613788E-2,-1.208448503E-2
1.153320000E0,8.802352846E-2,3.774856776E-2,-9.753964841E-3
1.175086000E0,9.066534787E-2,3.684104979E-2,-7.475176454E-2
1.196839000E0,8.512985706E-2,3.421809897E-2,-4.832723737E-2
1.218628000E0,8.807507902E-2,3.402480483E-2,-1.689954847E-2
1.240387000E0,8.404434472E-2,3.517271578E-2,-4.983335733E-3
1.262146000E0,8.905472606E-2,3.766146302E-2,-1.213165931E-2
1.283905000E0,8.407171071E-2,3.517013788E-2,-1.100831665E-2
1.305664000E0,9.018768370E-2,3.515186161E-2,-1.204187609E-2
1.327423000E0,8.394930512E-2,3.512436524E-2,-9.804556146E-3
1.349182000E0,9.132368118E-2,3.510868549E-2,-1.200863440E-2
1.370941000E0,8.913744986E-2,3.516537696E-2,-2.653568424E-2
1.392696000E0,8.786623925E-2,3.762023523E-2,-2.783188969E-2
1.414459000E0,8.767095208E-2,3.384691104E-2,-2.172411047E-2
1.436218000E0,8.871600032E-2,3.626680747E-2,-1.692752540E-2
1.457978000E0,8.733263612E-2,3.746137023E-2,-1.217125636E-2
1.479747000E0,8.426044881E-2,3.730570897E-2,1.306049898E-2
1.501495000E0,8.327559382E-2,3.611389920E-2,-1.993390615E-4
1.523285000E0,8.861500770E-2,3.494270146E-2,-2.172164805E-2
1.545044000E0,8.879383653E-2,3.498695046E-2,-3.256508708E-2
1.566803000E0,8.856788278E-2,3.617798910E-2,-2.536436357E-2
1.588563000E0,8.687336743E-2,3.728727996E-2,-7.355633657E-3
1.610321000E0,8.666184545E-2,3.473496810E-2,-7.162126713E-5
1.632080000E0,9.120549262E-2,3.586561605E-2,1.328985300E-2
1.653840000E0,8.362922072E-2,3.212715685E-2,2.039766498E-2
1.675592000E0,8.861588687E-2,3.459488228E-2,1.324872300E-2
1.697357000E0,8.271841705E-2,3.217479587E-2,-1.201961932E-4
1.719117000E0,8.908306062E-2,3.468389437E-2,-1.325851027E-2
1.740866000E0,8.912812918E-2,3.468599543E-2,-1.807832532E-2
1.762634000E0,8.882322162E-2,3.955226764E-2,-9.758101776E-3
1.784396000E0,8.274421841E-2,3.585579619E-2,-1.466501597E-2
1.806152000E0,8.641647547E-2,3.460331261E-2,-1.694408618E-2
1.827942000E0,8.868494630E-2,3.578577936E-2,-1.208494697E-2
1.849689000E0,8.741138875E-2,3.576157615E-2,-1.332509238E-2
1.871435000E0,8.604671061E-2,3.942076489E-2,-1.103562769E-2
1.893219000E0,8.108109981E-2,3.633805737E-2,9.858918935E-2
1.914978000E0,8.750297874E-2,3.391211107E-2,8.315387368E-2
1.936737000E0,8.459511399E-2,3.186751157E-2,-9.700753726E-3
1.958496000E0,8.457525820E-2,3.680628911E-2,-1.342788432E-2
1.980253000E0,8.692106605E-2,3.430785984E-2,-1.089292392E-2
2.002014000E0,8.808805794E-2,3.675030172E-2,-1.212068088E-2
2.023768000E0,8.951187134E-2,3.360644728E-2,-1.814871840E-2
2.045532000E0,8.690069616E-2,3.974320367E-2,-1.474468131E-2
2.067301000E0,8.308871835E-2,3.352574632E-2,-9.887888096E-3
2.089050000E0,8.560296148E-2,3.970979899E-2,-1.598488167E-2
2.110824000E0,8.312131464E-2,3.351511434E-2,-1.591301337E-2
2.132599000E0,8.662629873E-2,3.840565309E-2,-1.110408735E-2
2.154359000E0,8.421155810E-2,3.593693301E-2,-1.473124884E-2
2.176115000E0,8.408593386E-2,3.466202691E-2,-1.108909026E-2
2.197876000E0,8.890362829E-2,3.833793849E-2,-9.831842966E-3
2.219635000E0,8.639744669E-2,3.831918910E-2,-9.901094250E-3
2.241383000E0,8.264047652E-2,3.829076514E-2,-1.000504196E-2
2.263153000E0,8.765228838E-2,3.459213302E-2,-1.580758020E-2
2.284912000E0,8.875611424E-2,3.208067641E-2,-1.210280228E-2
2.306671000E0,8.499627560E-2,3.700342774E-2,-1.231914945E-2
2.328430000E0,8.868876100E-2,3.575811535E-2,-1.459795143E-2
2.350189000E0,8.368849009E-2,3.820478171E-2,-1.358757168E-2
2.371970000E0,8.856590092E-2,3.323911875E-2,-1.333772764E-2
2.393707000E0,8.356003463E-2,3.568495438E-2,-1.232728828E-2
2.415497000E0,8.468804508E-2,3.441288322E-2,-9.855837561E-3
2.437256000E0,8.604796231E-2,3.567021713E-2,-1.828398183E-2
2.459015000E0,8.717458695E-2,4.058054462E-2,-1.715829968E-2
2.480774000E0,8.340271562E-2,3.561037406E-2,-1.473923773E-2
2.502534000E0,8.698923886E-2,3.310358524E-2,-1.217055321E-2
2.524292000E0,8.447390795E-2,3.431762382E-2,-1.226817165E-2
2.546051000E0,8.189711720E-2,3.675193340E-2,-9.984496981E-3
2.567817000E0,8.684382588E-2,3.427330405E-2,-1.340572536E-2
2.589569000E0,8.804459870E-2,3.425642103E-2,-1.457676198E-2
2.611333000E0,8.670708537E-2,3.545837104E-2,-1.223030966E-2
2.633100000E0,8.306591213E-2,3.175029531E-2,-1.706867665E-2
2.654841000E0,7.925686985E-2,3.542842343E-2,-1.364217140E-2
2.676630000E0,8.283519000E-2,3.415405378E-2,-1.110187452E-2
2.698395000E0,8.157179505E-2,3.660809249E-2,-1.239828952E-2
2.720154000E0,8.648944646E-2,3.535830230E-2,-1.464299206E-2
2.741895000E0,8.521702141E-2,3.286648914E-2,-1.462149806E-2
2.763667000E0,8.502477407E-2,3.280954063E-2,-9.802726097E-3
2.785431000E0,8.621420711E-2,3.526208922E-2,-1.103024278E-2
2.807190000E0,7.888309658E-2,3.279315680E-2,-1.479521953E-2
2.828949000E0,8.855962008E-2,3.521656618E-2,-9.757932276E-3
2.850708000E0,8.609416336E-2,3.644236550E-2,-1.226512156E-2
2.872467000E0,8.601845801E-2,3.517858312E-2,-1.103267446E-2
2.894226000E0,8.350308239E-2,3.639407828E-2,-1.113008149E-2
2.915985000E0,8.586416394E-2,3.265312314E-2,-8.567374200E-3
2.937744000E0,8.468087763E-2,3.389183804E-2,-1.344972849E-2
2.959504000E0,8.341292292E-2,3.634293005E-2,-1.474638097E-2
2.981293000E0,8.457643539E-2,3.260591999E-2,-1.342346147E-2
