"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.439325523E1,-2.287066460E1,3.309855652E1
2.175700000E-2,-1.440267944E1,-2.284580231E1,3.311162186E1
4.351700000E-2,-1.441567135E1,-2.280647087E1,3.313307953E1
6.527600000E-2,-1.442320633E1,-2.278512573E1,3.314448166E1
8.703600000E-2,-1.442951298E1,-2.276226234E1,3.315744019E1
1.087950000E-1,-1.443050575E1,-2.275892067E1,3.315930176E1
1.305530000E-1,-1.443830776E1,-2.273272705E1,3.317387390E1
1.523040000E-1,-1.444482708E1,-2.271062660E1,3.318616867E1
1.740710000E-1,-1.444726944E1,-2.269359398E1,3.319675446E1
1.958300000E-1,-1.445359802E1,-2.267364502E1,3.320762634E1
2.176060000E-1,-1.445930767E1,-2.265256691E1,3.321952820E1
2.393480000E-1,-1.446514702E1,-2.263479996E1,3.322908783E1
2.611010000E-1,-1.447069454E1,-2.261686707E1,3.323889160E1
2.828800000E-1,-1.446922684E1,-2.261696625E1,3.323945999E1
3.046250000E-1,-1.448226738E1,-2.258690071E1,3.325422287E1
3.263870000E-1,-1.448608780E1,-2.257227325E1,3.326248932E1
3.481440000E-1,-1.449157333E1,-2.255218697E1,3.327372360E1
3.699020000E-1,-1.449124622E1,-2.255108643E1,3.327460861E1
3.916570000E-1,-1.449543953E1,-2.253680420E1,3.328246307E1
4.134190000E-1,-1.450332642E1,-2.250659752E1,3.329946136E1
4.351790000E-1,-1.450435352E1,-2.249980354E1,3.330360413E1
4.569380000E-1,-1.450709820E1,-2.249013329E1,3.330893707E1
4.787280000E-1,-1.450343513E1,-2.249377060E1,3.330807877E1
5.004870000E-1,-1.450444889E1,-2.248027611E1,3.331674194E1
5.222210000E-1,-1.451014996E1,-2.247322655E1,3.331901550E1
5.445134167E-1,-1.451886845E1,-2.244661522E1,3.333315659E1
5.662724167E-1,-1.451817608E1,-2.243856430E1,3.333887482E1
5.880314167E-1,-1.451370144E1,-2.244436836E1,3.333692169E1
6.097904167E-1,-1.451476383E1,-2.242852592E1,3.334712219E1
6.315494167E-1,-1.451637650E1,-2.241379356E1,3.335632324E1
6.533084167E-1,-1.451894379E1,-2.239743614E1,3.336619186E1
6.750684167E-1,-1.452134418E1,-2.238223267E1,3.337534332E1
6.968264167E-1,-1.452246761E1,-2.236733437E1,3.338484192E1
7.185664167E-1,-1.452278900E1,-2.235461426E1,3.339321899E1
7.403444167E-1,-1.452305317E1,-2.234004974E1,3.340285110E1
7.621034167E-1,-1.452118778E1,-2.232740974E1,3.341211319E1
7.838714167E-1,-1.451826286E1,-2.232313919E1,3.341624451E1
8.056224167E-1,-1.451889610E1,-2.231053162E1,3.342438126E1
8.273804167E-1,-1.451857471E1,-2.229813957E1,3.343278885E1
8.491394167E-1,-1.452018738E1,-2.228712654E1,3.343943405E1
8.708994167E-1,-1.452042770E1,-2.227280807E1,3.344887161E1
8.926534167E-1,-1.451961708E1,-2.226339149E1,3.345548248E1
9.144234167E-1,-1.451951694E1,-2.225375175E1,3.346194458E1
9.361764167E-1,-1.451794815E1,-2.224538231E1,3.346819305E1
9.579364167E-1,-1.451863861E1,-2.223594475E1,3.347415924E1
9.796944167E-1,-1.451775837E1,-2.222613525E1,3.348105621E1
1.001453417E0,-1.451848507E1,-2.221821785E1,3.348599243E1
1.023216417E0,-1.451803303E1,-2.221406364E1,3.348894501E1
1.044971417E0,-1.451514816E1,-2.220675850E1,3.349504089E1
1.066730417E0,-1.451453686E1,-2.219914246E1,3.350035477E1
1.088489417E0,-1.451172543E1,-2.219511795E1,3.350424194E1
1.110258417E0,-1.450632763E1,-2.220533180E1,3.349981308E1
1.132007417E0,-1.450277138E1,-2.220084572E1,3.350432205E1
1.153762417E0,-1.450045681E1,-2.219627953E1,3.350835037E1
1.175525417E0,-1.449888611E1,-2.218899727E1,3.351385498E1
1.197285417E0,-1.449504662E1,-2.218440819E1,3.351854324E1
1.219068417E0,-1.449157429E1,-2.218070221E1,3.352250290E1
1.240833417E0,-1.448820210E1,-2.217529106E1,3.352753448E1
1.262593417E0,-1.448403168E1,-2.217161942E1,3.353176880E1
1.284349417E0,-1.447728920E1,-2.218376160E1,3.352664948E1
1.306099417E0,-1.447374153E1,-2.217837906E1,3.353173828E1
1.327869417E0,-1.446889687E1,-2.217542839E1,3.353578568E1
1.349628417E0,-1.446326733E1,-2.217005730E1,3.354176331E1
1.371388417E0,-1.446043587E1,-2.216800499E1,3.354434204E1
1.393146417E0,-1.445785522E1,-2.216751480E1,3.354577255E1
1.414905417E0,-1.445370865E1,-2.216466141E1,3.354944992E1
1.436664417E0,-1.444962788E1,-2.216283226E1,3.355241013E1
1.458423417E0,-1.444221973E1,-2.217612457E1,3.354681778E1
1.480183417E0,-1.443884850E1,-2.216912651E1,3.355289841E1
1.501942417E0,-1.443484306E1,-2.216705132E1,3.355598831E1
1.523706417E0,-1.443681908E1,-2.214766693E1,3.356793594E1
1.545460417E0,-1.443304348E1,-2.214745903E1,3.356969833E1
1.567218417E0,-1.442550850E1,-2.214588547E1,3.357397842E1
1.588977417E0,-1.441467381E1,-2.215938187E1,3.356972504E1
1.610740417E0,-1.441248131E1,-2.215643120E1,3.357262039E1
1.632495417E0,-1.441006279E1,-2.215240288E1,3.357630920E1
1.654254417E0,-1.440228176E1,-2.216497803E1,3.357135010E1
1.676013417E0,-1.439895248E1,-2.216157722E1,3.357502747E1
1.697773417E0,-1.439265919E1,-2.215716553E1,3.358062744E1
1.719532417E0,-1.438676453E1,-2.215678787E1,3.358341217E1
1.741290417E0,-1.438336468E1,-2.215599632E1,3.358538437E1
1.763049417E0,-1.437987137E1,-2.215355682E1,3.358849335E1
1.784808417E0,-1.437632942E1,-2.215216064E1,3.359092712E1
1.806576417E0,-1.437267399E1,-2.215007782E1,3.359386444E1
1.828351417E0,-1.436861610E1,-2.214731598E1,3.359742355E1
1.850085417E0,-1.435891914E1,-2.216097641E1,3.359255600E1
1.871844417E0,-1.435535049E1,-2.215905571E1,3.359535217E1
1.893626417E0,-1.434988880E1,-2.216000366E1,3.359706116E1
1.915376417E0,-1.433777905E1,-2.217219734E1,3.359419250E1
1.937152417E0,-1.433622932E1,-2.217085838E1,3.359573364E1
1.958911417E0,-1.433453941E1,-2.215679550E1,3.360572815E1
1.980670417E0,-1.432764721E1,-2.215784454E1,3.360797119E1
2.002411417E0,-1.431291389E1,-2.217134094E1,3.360535431E1
2.024169417E0,-1.431543827E1,-2.215587616E1,3.361447906E1
2.045947417E0,-1.430959702E1,-2.215829277E1,3.361536407E1
2.067706417E0,-1.430332184E1,-2.216216278E1,3.361548996E1
2.089466417E0,-1.429440784E1,-2.216329193E1,3.361853409E1
2.111207417E0,-1.428151035E1,-2.217654991E1,3.361526871E1
2.132983417E0,-1.428428268E1,-2.216411018E1,3.362229538E1
2.154734417E0,-1.426946163E1,-2.218277550E1,3.361628342E1
2.176501417E0,-1.426284695E1,-2.218615723E1,3.361685562E1
2.198266417E0,-1.425745392E1,-2.218642044E1,3.361897278E1
2.220021417E0,-1.424706554E1,-2.220327950E1,3.361223984E1
2.241780417E0,-1.424046803E1,-2.220502853E1,3.361388397E1
2.263546417E0,-1.423411560E1,-2.220507812E1,3.361654282E1
2.285286417E0,-1.422056866E1,-2.222080231E1,3.361188507E1
2.307056417E0,-1.421324539E1,-2.222402382E1,3.361285019E1
2.328816417E0,-1.403040695E1,-2.232323074E1,3.362392807E1
2.350574417E0,-1.377752018E1,-2.244666290E1,3.364632034E1
2.372333417E0,-1.376373005E1,-2.240890694E1,3.367711258E1
2.394097417E0,-1.367742157E1,-2.240070724E1,3.371770859E1
2.415867417E0,-1.349058437E1,-2.222422600E1,3.390922165E1
2.437610417E0,-1.382826328E1,-2.145188904E1,3.426868820E1
2.459394417E0,-1.469754887E1,-2.064613724E1,3.440154648E1
2.481128417E0,-1.730448723E1,-1.922598648E1,3.400976181E1
2.502900417E0,-2.151120186E1,-1.794712448E1,3.226323700E1
2.524676417E0,-2.699657249E1,-1.628955650E1,2.883717537E1
2.546437417E0,-3.315058899E1,-1.405478001E1,2.300541687E1
2.568195417E0,-3.704496002E1,-1.233948708E1,1.735383987E1
2.589954417E0,-4.047902298E1,-1.066061783E1,8.575960159E0
2.611713417E0,-4.146099091E1,-1.015029812E1,-1.924869537E0
2.633472417E0,-3.947438049E1,-1.061866188E1,-1.244045544E1
2.655231417E0,-3.500177002E1,-1.212033176E1,-2.130073357E1
2.676990417E0,-2.894388580E1,-1.479400826E1,-2.773330688E1
2.698755417E0,-2.169861221E1,-1.753752708E1,-3.236282730E1
