"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675941975E1,1.203270906E1,1.053453125E3,-1.000000000E0,-1.000000000E0,1.859185992E2,1.859185992E2
6.761908531E-2,4.675941974E1,1.203270909E1,1.053453125E3,-1.000000000E0,-1.000000000E0,1.859252645E2,1.859252645E2
3.773430586E-1,4.675941352E1,1.203274279E1,1.053317627E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
4.985730648E-1,4.675941107E1,1.203275602E1,1.053204712E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
2.195676088E0,4.675950800E1,1.203267836E1,1.052744385E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.488897085E0,4.675949428E1,1.203267874E1,1.052516235E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.428480625E0,4.675945841E1,1.203226903E1,1.057424160E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
7.428459525E0,4.675945841E1,1.203226903E1,1.057442104E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
8.428450108E0,4.675945841E1,1.203226903E1,1.057490322E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
9.428447127E0,4.675945841E1,1.203226903E1,1.057538784E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
1.042846215E1,4.675945841E1,1.203226903E1,1.057596523E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.142846549E1,4.675945841E1,1.203226903E1,1.057754604E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.242846692E1,4.675945841E1,1.203226903E1,1.057957119E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.342845070E1,4.675945841E1,1.203226903E1,1.058147427E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.442843735E1,4.675945841E1,1.203226903E1,1.058381069E3,0.000000000E0,0.000000000E0,1.000000000E1,1.000000000E1
