"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.431024170E-1,-4.864883423E-2,-9.897268524E0
2.142500000E-2,1.375639343E-1,-5.493576050E-2,-9.915081482E0
4.101700000E-2,1.628613281E-1,-8.592132568E-2,-9.917326813E0
6.064000000E-2,1.682501221E-1,-1.381626892E-1,-9.921518097E0
8.027200000E-2,1.535806274E-1,-1.362167358E-1,-9.911339264E0
9.988000000E-2,1.628613281E-1,-1.034349060E-1,-9.898166656E0
1.194850000E-1,1.534309387E-1,-3.607498169E-2,-9.920320587E0
1.391010000E-1,1.417552185E-1,-2.754272461E-2,-9.894424438E0
1.587230000E-1,1.447489929E-1,-5.538482666E-2,-9.890981598E0
1.783370000E-1,1.502874756E-1,-1.206491089E-1,-9.923613739E0
1.979390000E-1,1.570234680E-1,-1.249900818E-1,-9.899813232E0
2.175610000E-1,1.733395386E-1,-9.969268799E-2,-9.902357941E0
2.371850000E-1,1.522334290E-1,-6.646179199E-2,-9.902058563E0
2.567760000E-1,1.426533508E-1,-2.844085693E-2,-9.930050354E0
2.763870000E-1,1.444496155E-1,-6.646179199E-2,-9.902208252E0
2.960220000E-1,1.574725342E-1,-8.187973022E-2,-9.898466034E0
3.156150000E-1,1.528321838E-1,-1.196012878E-1,-9.906549225E0
3.352380000E-1,1.555265808E-1,-1.285826111E-1,-9.869276733E0
3.548600000E-1,1.817221069E-1,-1.207987976E-1,-9.877359924E0
3.744610000E-1,1.689985657E-1,-7.155120850E-2,-9.885143738E0
3.940760000E-1,1.535806274E-1,-5.508544922E-2,-9.858648834E0
4.136970000E-1,1.519340515E-1,-1.058299255E-1,-9.873617706E0
4.332910000E-1,1.538800049E-1,-1.315763855E-1,-9.875413971E0
4.529120000E-1,1.489402771E-1,-1.281335449E-1,-9.870923309E0
4.725100000E-1,1.622625732E-1,-7.768844604E-2,-9.838291168E0
4.921280000E-1,1.477427673E-1,-4.385879517E-2,-9.847422180E0
5.117380000E-1,1.600172424E-1,-1.004411316E-1,-9.866133270E0
5.313770000E-1,1.498384094E-1,-1.248403931E-1,-9.857900391E0
5.509650000E-1,1.580712891E-1,-1.445993042E-1,-9.857601013E0
5.705940000E-1,1.761836243E-1,-1.020877075E-1,-9.837243347E0
5.902120000E-1,1.663041687E-1,-4.909790039E-2,-9.840835876E0
6.098040000E-1,1.582209778E-1,-8.187973022E-2,-9.839638367E0
6.294260000E-1,1.561253357E-1,-1.245410156E-1,-9.846973114E0
6.490500000E-1,1.630110168E-1,-1.360670471E-1,-9.825867004E0
6.686410000E-1,1.618135071E-1,-1.187031555E-1,-9.825268250E0
6.882650000E-1,1.573228455E-1,-7.125183105E-2,-9.827214203E0
7.078870000E-1,1.326242065E-1,-8.652008057E-2,-9.825867004E0
7.275110000E-1,1.589694214E-1,-9.086105347E-2,-9.827363892E0
7.471030000E-1,1.496887207E-1,-1.206491089E-1,-9.837393036E0
7.667230000E-1,1.526824951E-1,-1.215472412E-1,-9.830058289E0
7.863480000E-1,1.618135071E-1,-7.364685059E-2,-9.837093658E0
8.059410000E-1,1.516346741E-1,-8.292755127E-2,-9.821975098E0
8.255630000E-1,1.672023010E-1,-7.319778442E-2,-9.824220428E0
8.451860000E-1,1.793270874E-1,-9.280700684E-2,-9.820927277E0
8.647780000E-1,1.622625732E-1,-1.234931946E-1,-9.819879456E0
8.844010000E-1,1.508862305E-1,-8.891510010E-2,-9.817185059E0
9.040240000E-1,1.643582153E-1,-8.187973022E-2,-9.799072723E0
9.236320000E-1,1.523831177E-1,-6.721023560E-2,-9.821076965E0
9.432340000E-1,1.523831177E-1,-1.130149841E-1,-9.812993774E0
9.628610000E-1,1.722917175E-1,-1.151106262E-1,-9.803563385E0
9.824570000E-1,1.692979431E-1,-1.181044006E-1,-9.815987549E0
1.002067000E0,1.580712891E-1,-1.179547119E-1,-9.802964630E0
1.021683000E0,1.504371643E-1,-7.484436035E-2,-9.804611206E0
1.041306000E0,1.565744019E-1,-1.034349060E-1,-9.814340973E0
1.060898000E0,1.529818726E-1,-1.278341675E-1,-9.805958405E0
1.080538000E0,1.589694214E-1,-1.240919495E-1,-9.820328522E0
1.100129000E0,1.722917175E-1,-9.639953613E-2,-9.802216187E0
1.119764000E0,1.592687988E-1,-9.969268799E-2,-9.810748444E0
1.139375000E0,1.585203552E-1,-9.610015869E-2,-9.803114319E0
1.158967000E0,1.450483704E-1,-1.058299255E-1,-9.806557159E0
1.178591000E0,1.582209778E-1,-1.166075134E-1,-9.796078949E0
1.198214000E0,1.645079041E-1,-1.100212097E-1,-9.797426147E0
1.217812000E0,1.516346741E-1,-9.789642334E-2,-9.811347198E0
1.237429000E0,1.595681763E-1,-9.041198730E-2,-9.798324280E0
1.257052000E0,1.586700439E-1,-8.681945801E-2,-9.795480194E0
1.276674000E0,1.582209778E-1,-1.176553345E-1,-9.794881439E0
1.296267000E0,1.607656860E-1,-1.115180969E-1,-9.802066498E0
1.315894000E0,1.550775146E-1,-1.173559570E-1,-9.806407471E0
1.335512000E0,1.592687988E-1,-8.367599487E-2,-9.793833618E0
1.355104000E0,1.553768921E-1,-1.016386414E-1,-9.816735992E0
1.374727000E0,1.541793823E-1,-1.077758789E-1,-9.775870972E0
1.394349000E0,1.811233521E-1,-1.152603149E-1,-9.807155914E0
1.413973000E0,1.721420288E-1,-1.190025330E-1,-9.777517548E0
1.433565000E0,1.681004333E-1,-9.340576172E-2,-9.799521790E0
1.453196000E0,1.630110168E-1,-9.400451660E-2,-9.786349182E0
1.472811000E0,1.492396545E-1,-9.639953613E-2,-9.791588287E0
1.492398000E0,1.657054138E-1,-1.128652954E-1,-9.798024902E0
1.512034000E0,1.788780212E-1,-1.592687988E-1,-9.809401245E0
1.531649000E0,1.862127686E-1,-1.481918335E-1,-9.784552917E0
1.551240000E0,1.601669312E-1,-1.029858398E-1,-9.788594513E0
1.570863000E0,1.504371643E-1,-6.271957397E-2,-9.768536224E0
1.590487000E0,1.493893433E-1,-7.544311523E-2,-9.772128754E0
1.610091000E0,1.670526123E-1,-1.122665405E-1,-9.798024902E0
1.629702000E0,1.802252197E-1,-1.094224548E-1,-9.794432373E0
1.649324000E0,1.794767761E-1,-9.116043091E-2,-9.794132996E0
1.668929000E0,1.686991882E-1,-6.152206421E-2,-9.777367859E0
1.688539000E0,1.565744019E-1,-6.960525513E-2,-9.786648560E0
