"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.727412605E1,-2.092150116E1,4.235918808E1
2.175000000E-2,-1.727100563E1,-2.092659950E1,4.235794067E1
4.351800000E-2,-1.727361870E1,-2.095522118E1,4.234272003E1
6.527800000E-2,-1.730263901E1,-2.087475777E1,4.237060928E1
8.703600000E-2,-1.733070374E1,-2.079526520E1,4.239822006E1
1.087950000E-1,-1.735955811E1,-2.071053696E1,4.242787933E1
1.305490000E-1,-1.734508896E1,-2.070129395E1,4.243830872E1
1.523140000E-1,-1.733163071E1,-2.073118591E1,4.242921066E1
1.740890000E-1,-1.736037064E1,-2.064820290E1,4.245791626E1
1.958320000E-1,-1.736496735E1,-2.063518524E1,4.246236038E1
2.175930000E-1,-1.739279938E1,-2.055320358E1,4.249073029E1
2.393800000E-1,-1.742149162E1,-2.047514343E1,4.251664734E1
2.611390000E-1,-1.745031738E1,-2.039540672E1,4.254314804E1
2.828980000E-1,-1.738809395E1,-2.053765869E1,4.250016403E1
3.046550000E-1,-1.739303780E1,-2.053117943E1,4.250127411E1
3.264180000E-1,-1.742227173E1,-2.045100212E1,4.252795410E1
3.481760000E-1,-1.745162201E1,-2.036804962E1,4.255571365E1
3.699340000E-1,-1.742144203E1,-2.040178299E1,4.255191803E1
3.916930000E-1,-1.735835266E1,-2.047982216E1,4.254021454E1
4.134520000E-1,-1.731733894E1,-2.056241608E1,4.251708603E1
4.352060000E-1,-1.729172897E1,-2.062437630E1,4.249749374E1
4.569710000E-1,-1.732068062E1,-2.054356003E1,4.252484131E1
4.787300000E-1,-1.731072617E1,-2.059259033E1,4.250516891E1
5.004890000E-1,-1.731181717E1,-2.058197212E1,4.250986862E1
5.222420000E-1,-1.728145027E1,-2.061643410E1,4.250552368E1
5.440070000E-1,-1.726291275E1,-2.063517189E1,4.250395966E1
5.657660000E-1,-1.729029655E1,-2.055687332E1,4.253076172E1
5.875250000E-1,-1.726801300E1,-2.062285423E1,4.250786591E1
6.092840000E-1,-1.728683662E1,-2.057005310E1,4.252579498E1
6.310430000E-1,-1.730901146E1,-2.051037407E1,4.254560471E1
6.528020000E-1,-1.731505013E1,-2.048543167E1,4.255516052E1
6.745640000E-1,-1.734529305E1,-2.040212059E1,4.258285522E1
6.963360000E-1,-1.738095856E1,-2.029881096E1,4.261767578E1
7.180930000E-1,-1.741233063E1,-2.021876526E1,4.264291382E1
7.398380000E-1,-1.744078255E1,-2.013679123E1,4.267006302E1
7.616280000E-1,-1.747053909E1,-2.005272865E1,4.269746399E1
7.833870000E-1,-1.737713242E1,-2.027041626E1,4.263274384E1
8.051200000E-1,-1.735996628E1,-2.029351044E1,4.262874603E1
8.268840000E-1,-1.738942909E1,-2.021460152E1,4.265422821E1
8.486640000E-1,-1.741891861E1,-2.013181496E1,4.268133545E1
8.704230000E-1,-1.738579750E1,-2.020712090E1,4.265924835E1
8.921820000E-1,-1.732855225E1,-2.036619759E1,4.260686111E1
9.139430000E-1,-1.729239273E1,-2.046858025E1,4.257247925E1
9.356940000E-1,-1.732093430E1,-2.038826180E1,4.259940720E1
9.574600000E-1,-1.735113335E1,-2.030457306E1,4.262707520E1
9.792180000E-1,-1.726504898E1,-2.046297073E1,4.258627701E1
1.000978000E0,-1.723574257E1,-2.046625900E1,4.259655762E1
1.022751000E0,-1.713506889E1,-2.057438278E1,4.258508682E1
1.044495000E0,-1.693996429E1,-2.086078262E1,4.252377319E1
1.066248000E0,-1.672306633E1,-2.095763206E1,4.256198502E1
1.088013000E0,-1.653153419E1,-2.105702209E1,4.258773804E1
1.109773000E0,-1.675652695E1,-2.106441116E1,4.249605942E1
1.131531000E0,-1.734141159E1,-2.101290321E1,4.228639221E1
1.153291000E0,-1.749750137E1,-2.092260742E1,4.226686096E1
1.175049000E0,-1.805017662E1,-2.063522339E1,4.217563629E1
