"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,9.203314155E-3,2.169719232E-2,-6.477939273E-2
2.176000000E-2,1.622745555E-2,2.775740193E-2,-9.580361350E-2
4.351900000E-2,-1.372745680E-2,1.916059936E-2,-8.545986160E-2
6.530800000E-2,-2.250630307E-2,3.617925171E-2,-1.043702230E-1
8.706700000E-2,-2.528981526E-2,5.451604919E-2,-7.804782140E-2
1.088260000E-1,-2.577249606E-2,8.180691412E-2,-8.915856354E-2
1.305750000E-1,-3.150555853E-2,1.160375104E-1,-6.905554833E-2
1.523440000E-1,-2.423689389E-2,1.326499891E-1,-7.505287754E-2
1.741030000E-1,-2.779686664E-3,1.434934039E-1,-5.953654164E-2
1.958620000E-1,-6.140027310E-2,1.005512237E-1,-4.557490271E-2
2.176220000E-1,-6.417277609E-2,1.256654261E-1,-5.587042878E-2
2.393680000E-1,-7.632144012E-2,1.753201550E-1,-5.973026263E-2
2.611390000E-1,-5.967075808E-2,1.998050964E-1,-5.945265693E-2
2.828980000E-1,-4.019843817E-2,1.750552213E-1,-3.266667623E-2
3.046570000E-1,-6.187800889E-2,1.575771811E-1,-5.931427892E-2
3.264060000E-1,-5.702457322E-2,1.659976832E-1,-4.426698564E-2
3.481760000E-1,-7.606853433E-2,1.820382220E-1,-4.744175878E-2
3.699330000E-1,-5.989878121E-2,1.673246906E-1,-3.274738151E-2
3.916940000E-1,-5.402096361E-2,1.832991924E-1,-2.097522792E-2
4.134530000E-1,-8.118954864E-2,1.872627092E-1,-3.657399130E-2
4.352060000E-1,-5.580570285E-2,1.973755783E-1,-2.823770502E-2
4.569650000E-1,-7.658157269E-2,2.161826907E-1,-3.492258228E-2
4.787310000E-1,-1.051294931E-1,2.212652367E-1,-1.590580387E-2
5.004890000E-1,-9.125299964E-2,2.539474994E-1,-2.640172499E-2
5.222480000E-1,-7.289540115E-2,2.602740405E-1,-2.760781600E-2
5.440080000E-1,-9.646126080E-2,2.407241126E-1,-5.051718865E-2
5.657660000E-1,-8.809950488E-2,2.299362920E-1,1.253909701E-3
5.875260000E-1,-9.593215174E-2,2.675957230E-1,-1.724547977E-2
6.092840000E-1,-1.238623275E-1,3.159055832E-1,-2.397733233E-2
6.310460000E-1,-1.112978122E-1,3.064392334E-1,-7.790827280E-3
6.528020000E-1,-1.226137368E-1,2.923737744E-1,5.813671250E-3
6.745920000E-1,-1.084198035E-1,2.755712155E-1,-1.164522561E-2
6.963510000E-1,-1.033735833E-1,2.878242204E-1,-3.079681375E-3
7.181110000E-1,-1.262407829E-1,3.250669276E-1,-4.114956888E-3
7.398640000E-1,-1.190323538E-1,2.881363338E-1,-1.544050255E-2
