"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,9.522587061E-2,3.623104095E-2,-4.776726943E-3
2.176600000E-2,9.279163182E-2,3.747344017E-2,-6.078470033E-3
4.351200000E-2,9.282892942E-2,3.500878438E-2,-7.226818241E-3
6.527100000E-2,9.295127541E-2,3.750647977E-2,-1.330732647E-2
8.703000000E-2,8.788763732E-2,3.994613141E-2,-7.477215491E-3
1.087890000E-1,9.159699082E-2,3.747939691E-2,-8.522717282E-3
1.305480000E-1,8.788945526E-2,3.871608898E-2,-8.654316887E-3
1.523070000E-1,9.852124751E-2,3.702617064E-2,-1.516802609E-2
1.740960000E-1,9.596642107E-2,3.947327286E-2,-1.167879812E-2
1.958380000E-1,9.478879720E-2,3.824640438E-2,-1.409461256E-2
2.176150000E-1,9.597953409E-2,3.823275864E-2,-1.285552699E-2
2.393580000E-1,9.591188282E-2,3.698075190E-2,-1.041792240E-2
2.611330000E-1,9.960053861E-2,3.821547329E-2,-1.154814288E-2
2.828920000E-1,9.343779087E-2,3.945082426E-2,-1.174838096E-2
3.046530000E-1,9.220584482E-2,3.573570400E-2,-1.169823669E-2
3.264100000E-1,9.339788556E-2,3.942555189E-2,-1.174872275E-2
3.481690000E-1,9.708252549E-2,3.941834345E-2,-1.285077073E-2
3.699180000E-1,9.220081568E-2,3.819193691E-2,-1.536996011E-2
3.916710000E-1,9.326384217E-2,3.815183043E-2,-9.311961941E-3
4.134460000E-1,9.334718436E-2,3.693315759E-2,-1.410338096E-2
4.352050000E-1,9.451846778E-2,4.185713083E-2,-1.418237016E-2
4.569650000E-1,9.327241778E-2,3.689876199E-2,-1.410423312E-2
4.787230000E-1,9.439726174E-2,3.809861094E-2,-1.168896258E-2
5.004650000E-1,9.550812840E-2,3.682383895E-2,-9.217591025E-3
5.222420000E-1,9.308737516E-2,4.177933186E-2,-1.301400177E-2
5.440000000E-1,9.313392639E-2,3.807792440E-2,-1.654441841E-2
5.657590000E-1,9.418617189E-2,4.173710570E-2,-1.177617162E-2
5.875040000E-1,9.423344582E-2,3.679073229E-2,-1.527833380E-2
6.092770000E-1,9.286724031E-2,3.550389409E-2,-1.167069189E-2
6.310270000E-1,9.776600450E-2,4.042051733E-2,-1.646659710E-2
6.527950000E-1,9.268743545E-2,3.914370388E-2,-1.175735053E-2
6.745540000E-1,9.388999641E-2,3.665804863E-2,-1.287215482E-2
6.963090000E-1,9.626140445E-2,3.909774497E-2,-1.286083087E-2
7.180720000E-1,9.369049221E-2,4.153209180E-2,-1.178214233E-2
7.398310000E-1,9.726924449E-2,4.025060311E-2,-1.044704393E-2
7.615910000E-1,8.870451152E-2,3.900936246E-2,-1.547950506E-2
7.833490000E-1,8.982416987E-2,3.773631155E-2,-1.421318576E-2
8.051090000E-1,9.100390971E-2,3.400245309E-2,-1.530008949E-2
8.268670000E-1,9.199652076E-2,3.640366718E-2,-9.299241938E-3
8.486160000E-1,9.193077683E-2,3.513540328E-2,-1.047703438E-2
8.703870000E-1,9.438415617E-2,3.758405149E-2,-1.528524607E-2
8.921460000E-1,9.542171657E-2,3.752182052E-2,-1.163779944E-2
9.139040000E-1,9.288887680E-2,3.748941794E-2,-1.291260123E-2
9.356630000E-1,9.275350720E-2,3.867364675E-2,-1.173728518E-2
9.574230000E-1,9.754753113E-2,3.491788730E-2,-1.031168085E-2
9.791850000E-1,9.013200551E-2,3.860352933E-2,-1.421833038E-2
1.000934000E0,8.870817721E-2,3.728842735E-2,-1.302179787E-2
1.022699000E0,9.103231877E-2,3.475833312E-2,-1.169324014E-2
1.044458000E0,9.202382714E-2,3.888539970E-2,-8.772215806E-3
1.066217000E0,9.206369519E-2,3.641354293E-2,-1.233082172E-2
1.087991000E0,9.075454623E-2,3.638832644E-2,-1.116101071E-2
1.109748000E0,9.184601158E-2,3.634602949E-2,-7.512893993E-3
1.131494000E0,9.438357502E-2,3.511257842E-2,-1.464588009E-2
1.153253000E0,9.432571381E-2,3.508819267E-2,-1.464659255E-2
1.175043000E0,9.415947646E-2,3.503950685E-2,-9.828045033E-3
1.196775000E0,8.917868137E-2,3.748818487E-2,-1.002265327E-2
1.218561000E0,9.287440032E-2,3.376976401E-2,-1.224522572E-2
1.240312000E0,9.403605759E-2,3.497843072E-2,-1.223984268E-2
1.262079000E0,9.517233074E-2,4.112678394E-2,-1.234740764E-2
1.283825000E0,9.264567494E-2,3.615631536E-2,-1.109918021E-2
