"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,9.517923743E-2,3.173751011E-2,-9.076049551E-3
2.175600000E-2,8.972904086E-2,3.573262319E-2,-8.174347691E-3
4.353300000E-2,9.102069587E-2,3.450895473E-2,-1.052134763E-2
6.529100000E-2,9.090204537E-2,3.818607330E-2,-5.786736961E-3
8.705000000E-2,8.736601472E-2,3.575128689E-2,-1.185740530E-2
1.088200000E-1,9.344381839E-2,3.819938749E-2,-9.332452901E-3
1.305680000E-1,9.470278770E-2,3.819799051E-2,-1.050284225E-2
1.523580000E-1,9.485507756E-2,3.574981913E-2,-1.647029817E-2
1.741120000E-1,8.980349451E-2,3.695270047E-2,-1.061186008E-2
1.958710000E-1,9.471062571E-2,3.569000587E-2,-1.044618618E-2
2.176350000E-1,8.979574591E-2,3.816133365E-2,-1.184512209E-2
2.393940000E-1,8.978526294E-2,3.691826388E-2,-1.181708276E-2
2.611530000E-1,9.212402999E-2,3.686517850E-2,-8.134207688E-3
2.829130000E-1,9.349213541E-2,3.810694441E-2,-1.535689738E-2
3.046850000E-1,9.711632133E-2,3.806725889E-2,-1.404918265E-2
3.264300000E-1,9.091550112E-2,3.433652595E-2,-1.293191034E-2
3.481890000E-1,9.451141208E-2,3.554251790E-2,-1.165288780E-2
3.699640000E-1,9.081024677E-2,3.306990489E-2,-1.290501468E-2
3.917320000E-1,8.822045475E-2,3.797914460E-2,-1.067771111E-2
4.134970000E-1,9.187082201E-2,3.795537353E-2,-1.178009529E-2
4.352560000E-1,9.066507220E-2,3.546019271E-2,-1.537297666E-2
4.570160000E-1,9.297107905E-2,3.416195512E-2,-1.166223455E-2
4.787740000E-1,8.676432073E-2,3.537001461E-2,-1.306793187E-2
5.005460000E-1,8.908169717E-2,3.657177091E-2,-1.182396524E-2
5.222920000E-1,8.774323761E-2,3.531190753E-2,-1.183159836E-2
5.440510000E-1,9.015429020E-2,3.528171033E-2,-1.417362038E-2
5.658400000E-1,8.499893546E-2,3.518570215E-2,-8.287872188E-3
5.876000000E-1,8.623006940E-2,3.637334332E-2,-1.430680975E-2
6.093580000E-1,8.962985128E-2,3.624618426E-2,-1.179620065E-2
6.311170000E-1,8.947315067E-2,3.372598439E-2,-1.174160279E-2
6.528760000E-1,8.801911771E-2,3.736789897E-2,-9.452754632E-3
6.746350000E-1,8.546290547E-2,3.854896128E-2,-1.196079236E-2
6.963870000E-1,9.151159227E-2,3.477598727E-2,-1.411551703E-2
7.181540000E-1,8.880206943E-2,3.467255086E-2,-1.057138480E-2
7.399130000E-1,9.109643102E-2,3.582863882E-2,-1.173745468E-2
7.616720000E-1,8.966520429E-2,3.575675562E-2,-1.177387591E-2
7.834610000E-1,9.065024555E-2,3.321912512E-2,-1.048079319E-2
8.052040000E-1,8.921834826E-2,3.439648449E-2,-1.175074838E-2
8.269790000E-1,8.658303320E-2,3.432406113E-2,-1.302652527E-2
8.487390000E-1,8.391641080E-2,3.546224535E-2,-1.312560029E-2
8.704950000E-1,8.368705958E-2,3.288742900E-2,-1.307163388E-2
8.922620000E-1,8.215181530E-2,3.648118302E-2,-1.198863052E-2
9.140150000E-1,8.559598029E-2,3.638887033E-2,-1.309322380E-2
9.357750000E-1,9.022634476E-2,3.381922469E-2,-1.049228478E-2
9.575330000E-1,8.513519913E-2,3.374782950E-2,-1.304186136E-2
9.793230000E-1,8.605371416E-2,3.608760983E-2,-1.065698266E-2
1.001081000E0,8.336924762E-2,3.475663438E-2,-1.190504432E-2
1.022842000E0,8.679576218E-2,3.216249496E-2,-1.174838748E-2
1.044600000E0,9.264179319E-2,3.659902140E-2,-1.487096399E-2
1.066359000E0,8.882117271E-2,3.408658132E-2,-1.130384021E-2
1.088114000E0,8.996915072E-2,3.652906790E-2,-1.132668834E-2
1.109877000E0,8.870691061E-2,3.650684282E-2,-1.256653946E-2
1.131636000E0,8.621247858E-2,3.648657724E-2,-1.384076755E-2
1.153395000E0,8.491554111E-2,3.522086143E-2,-1.384767704E-2
1.175185000E0,8.729239553E-2,3.518759459E-2,-1.377978176E-2
1.196932000E0,8.835519850E-2,3.760744259E-2,-1.018821448E-2
1.218703000E0,8.833922446E-2,3.758807480E-2,-1.259860210E-2
1.240462000E0,8.701241016E-2,3.631578758E-2,-1.140070613E-2
1.262234000E0,8.569306880E-2,3.503608704E-2,-1.261291653E-2
1.283980000E0,8.801256865E-2,3.498527780E-2,-1.013544109E-2
1.305739000E0,8.553732932E-2,3.373167664E-2,-1.258635614E-2
1.327498000E0,8.540786803E-2,3.368963674E-2,-1.017745677E-2
1.349257000E0,8.666086197E-2,3.368248791E-2,-1.496315468E-2
1.371032000E0,8.535574377E-2,3.736219555E-2,-1.628785022E-2
1.392792000E0,8.635272086E-2,3.604779392E-2,-1.140733995E-2
1.414560000E0,8.510002494E-2,3.478969261E-2,-1.382401120E-2
1.436324000E0,8.982065320E-2,3.348606825E-2,-8.840055205E-3
1.458083000E0,8.865417540E-2,3.349560127E-2,-1.369409729E-2
1.479842000E0,8.849016577E-2,3.714990243E-2,-1.137009356E-2
1.501608000E0,8.471782506E-2,3.340126947E-2,-1.259460114E-2
1.523360000E0,8.707838506E-2,3.460090980E-2,-1.255494263E-2
1.545119000E0,8.822261542E-2,3.209294006E-2,-1.246505976E-2
1.566908000E0,8.817140758E-2,3.453573957E-2,-1.493216306E-2
1.588660000E0,8.805136383E-2,3.572024405E-2,-1.375670452E-2
1.610427000E0,8.672209084E-2,3.320493177E-2,-1.253077667E-2
1.632183000E0,9.029132128E-2,3.315949440E-2,-1.122372970E-2
1.653945000E0,8.902533352E-2,3.067570366E-2,-1.361178234E-2
1.675704000E0,8.762431890E-2,3.433454782E-2,-1.132200751E-2
1.697483000E0,8.499897271E-2,3.551530465E-2,-7.805501577E-3
1.719222000E0,8.875904232E-2,3.426766396E-2,-1.490441989E-2
1.741011000E0,9.236363322E-2,3.421626613E-2,-1.600761898E-2
1.762749000E0,8.479730785E-2,3.415204585E-2,-1.260049921E-2
1.784511000E0,8.468668908E-2,3.287233412E-2,-1.257319283E-2
1.806288000E0,8.344849944E-2,3.039190546E-2,-1.616599597E-2
1.828047000E0,8.452922851E-2,3.406008705E-2,-1.501193084E-2
1.849806000E0,8.439739794E-2,3.401838243E-2,-1.380786858E-2
1.871566000E0,8.675431460E-2,3.396015242E-2,-1.615075581E-2
1.893320000E0,8.165370673E-2,3.636330739E-2,-1.273181383E-2
1.915083000E0,8.286316693E-2,3.386519477E-2,-1.625657827E-2
1.936873000E0,8.763368428E-2,3.134344146E-2,-1.485854853E-2
1.958632000E0,8.748340607E-2,3.377531469E-2,-1.371050347E-2
1.980391000E0,8.863396943E-2,3.497980535E-2,-1.491001248E-2
2.002148000E0,8.981446922E-2,3.247376159E-2,-1.602537185E-2
2.023909000E0,8.968512714E-2,3.342208266E-2,-1.736720093E-2
2.045668000E0,8.581714332E-2,3.583913669E-2,-1.270833425E-2
2.067427000E0,8.705163747E-2,3.088526241E-2,-1.497121528E-2
2.089188000E0,8.817253262E-2,3.456167132E-2,-1.381701790E-2
