"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.438508606E-1,-1.139131165E-1,-9.929900665E0
2.362300000E-2,1.463955688E-1,-1.245410156E-1,-9.935439148E0
4.321600000E-2,1.197509766E-1,-1.401086426E-1,-9.909992065E0
6.283700000E-2,1.630110168E-1,-1.516346741E-1,-9.897567902E0
8.246000000E-2,1.646575928E-1,-1.851649475E-1,-9.929601288E0
1.020840000E-1,1.384620667E-1,-1.598675537E-1,-9.902058563E0
1.217070000E-1,1.451980591E-1,-1.440005493E-1,-9.925709381E0
1.413290000E-1,1.434017944E-1,-9.879455566E-2,-9.922416229E0
1.609510000E-1,1.282832336E-1,-6.616241455E-2,-9.925559692E0
1.805740000E-1,1.239422607E-1,-5.538482666E-2,-9.913135529E0
2.001980000E-1,1.323248291E-1,-5.403762817E-2,-9.922565918E0
2.198210000E-1,1.462458801E-1,-8.726852417E-2,-9.907447357E0
2.394430000E-1,1.495390320E-1,-1.351689148E-1,-9.924212494E0
2.590650000E-1,1.597178650E-1,-1.327738953E-1,-9.914632416E0
2.786670000E-1,1.404080200E-1,-1.022373962E-1,-9.902807007E0
2.983120000E-1,1.351689148E-1,-7.948471069E-2,-9.933193817E0
3.179100000E-1,1.345701599E-1,-9.250762939E-2,-9.917326813E0
3.375580000E-1,1.565744019E-1,-1.311273193E-1,-9.916129303E0
3.571800000E-1,1.457968140E-1,-1.257385254E-1,-9.895472260E0
3.767960000E-1,1.354682922E-1,-1.119671631E-1,-9.897418213E0
3.964250000E-1,1.342707825E-1,-8.801696777E-2,-9.902208252E0
4.160310000E-1,1.317260742E-1,-8.936416626E-2,-9.884095917E0
4.356400000E-1,1.475930786E-1,-1.228944397E-1,-9.884694672E0
4.552630000E-1,1.601669312E-1,-1.353186035E-1,-9.884544983E0
4.749040000E-1,1.333726501E-1,-6.496490479E-2,-9.879156189E0
4.945100000E-1,1.333726501E-1,-8.307723999E-2,-9.865684204E0
5.141310000E-1,1.306782532E-1,-8.397537231E-2,-9.880204010E0
5.337540000E-1,1.538800049E-1,-1.029858398E-1,-9.852960663E0
