"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-8.107979344E-3,7.691294993E-2,-1.091484762E-1
2.175900000E-2,-3.420559487E-2,5.077293581E-2,-1.067083509E-1
4.351800000E-2,2.372003400E-3,-6.420197676E-3,-9.969875447E-2
6.527700000E-2,9.427916329E-3,2.085866048E-2,-9.615287500E-2
8.751658333E-2,-1.794176896E-2,7.397603512E-2,-1.145060698E-1
1.092785833E-1,-4.966720906E-2,1.328697987E-1,-8.718438822E-2
1.310435833E-1,-3.512517231E-2,1.317939659E-1,-9.241466780E-2
1.528245833E-1,-3.052942069E-2,9.328372850E-2,-8.947204739E-2
1.745835833E-1,-1.727049147E-2,1.192372438E-1,-8.687799412E-2
1.963435833E-1,-4.730151697E-2,1.528462902E-1,-9.732911551E-2
2.181025833E-1,-4.753736990E-2,1.554954627E-1,-8.654098436E-2
2.398475833E-1,-4.334960318E-2,1.356286430E-1,-8.319830476E-2
2.616195833E-1,-5.356824294E-2,1.552406337E-1,-7.361385036E-2
2.833785833E-1,-8.379980053E-2,1.761359329E-1,-6.101527506E-2
3.051375833E-1,-7.312923496E-2,2.229713263E-1,-7.598195900E-2
3.269065833E-1,-6.888413355E-2,2.422265363E-1,-6.475944368E-2
3.486865833E-1,-7.789995080E-2,1.825275243E-1,-7.263522746E-2
3.704435833E-1,-4.336095500E-2,1.025779235E-1,-6.372598486E-2
3.922045833E-1,-4.589252529E-2,1.047706293E-1,-4.811431192E-2
4.139645833E-1,-7.013026200E-2,1.560937973E-1,-5.407672686E-2
4.357225833E-1,-5.985107159E-2,1.793478816E-1,-4.929414300E-2
4.574815833E-1,-8.745837595E-2,1.817237149E-1,-4.456491498E-2
4.792405833E-1,-4.664066740E-2,1.728140018E-1,-3.965982738E-2
5.010135833E-1,-3.060270732E-2,2.252637820E-1,-3.546318934E-2
5.227855833E-1,-7.480536673E-2,2.324788624E-1,-4.583732392E-2
5.445485833E-1,-1.327145460E-1,2.605032149E-1,-3.608587898E-2
5.663075833E-1,-1.568851083E-1,2.706793435E-1,-4.384755755E-2
5.880665833E-1,-1.594940628E-1,2.658967231E-1,-3.879979332E-2
6.098255833E-1,-1.133102685E-1,2.556499345E-1,-6.179162085E-2
6.315765833E-1,-1.090695114E-1,2.267330594E-1,-3.459424513E-2
6.533575833E-1,-6.731544893E-2,2.416055255E-1,-1.863493239E-2
6.751035833E-1,-9.789515340E-2,2.564294597E-1,-3.224788997E-2
6.968615833E-1,-1.426349412E-1,2.760075092E-1,-4.552011247E-2
7.186505833E-1,-1.362431305E-1,3.461302063E-1,-4.495337110E-2
7.404105833E-1,-1.292841034E-1,3.006740615E-1,-4.379578228E-2
7.621605833E-1,-1.057770905E-1,2.913902362E-1,-2.780050459E-2
7.839285833E-1,-1.252833105E-1,2.853659047E-1,-3.420055164E-2
8.056875833E-1,-1.197324756E-1,2.919700973E-1,-3.745676097E-2
8.274375833E-1,-1.171053033E-1,3.451802531E-1,-1.688798649E-2
8.491995833E-1,-1.335498299E-1,3.455468369E-1,-2.390382187E-2
8.709645833E-1,-1.164478570E-1,3.392907547E-1,-3.274760535E-2
