"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675933483E1,1.203323108E1,1.052593872E3,-1.000000000E0,-1.000000000E0,5.412421635E2,5.412421635E2
9.823107719E-2,4.675933466E1,1.203323208E1,1.052593872E3,-1.000000000E0,-1.000000000E0,5.412521498E2,5.412521498E2
4.972090721E-1,4.675937483E1,1.203295025E1,1.052731934E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.437249660E-1,4.675937475E1,1.203295071E1,1.052786133E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.563750982E0,4.675937995E1,1.203292289E1,1.052777832E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.062600255E0,4.675937392E1,1.203293639E1,1.053893032E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
5.062597036E0,4.675937392E1,1.203293639E1,1.053894253E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
6.062593818E0,4.675937392E1,1.203293639E1,1.053894253E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
7.062591791E0,4.675937392E1,1.203293639E1,1.053894497E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
8.062589288E0,4.675937392E1,1.203293639E1,1.053894497E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
9.062583089E0,4.675937392E1,1.203293639E1,1.053894741E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.006256795E1,4.675937392E1,1.203293639E1,1.053894741E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.106257045E1,4.675937392E1,1.203293639E1,1.053895229E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.206257129E1,4.675937392E1,1.203293639E1,1.053889248E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.306256890E1,4.675937392E1,1.203293639E1,1.053889126E3,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
