"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.754031372E1,-2.391010857E1,4.197359085E1
2.175500000E-2,-1.736721611E1,-2.388062096E1,4.206226730E1
4.354300000E-2,-1.708071136E1,-2.389960480E1,4.216866684E1
6.530000000E-2,-1.687594604E1,-2.390959549E1,4.224538422E1
8.706100000E-2,-1.672801018E1,-2.391827583E1,4.229926682E1
1.088200000E-1,-1.661302757E1,-2.388461113E1,4.236355972E1
1.305760000E-1,-1.651242828E1,-2.385692406E1,4.241845703E1
1.523380000E-1,-1.642889023E1,-2.383347511E1,4.246404648E1
1.740970000E-1,-1.639865685E1,-2.378729630E1,4.250161362E1
1.958560000E-1,-1.633467293E1,-2.377478600E1,4.253323746E1
2.176460000E-1,-1.628582191E1,-2.375551033E1,4.256272888E1
2.394050000E-1,-1.624563980E1,-2.373817635E1,4.258775330E1
2.611390000E-1,-1.624789429E1,-2.366886902E1,4.262545395E1
2.829270000E-1,-1.620667267E1,-2.364648438E1,4.265356445E1
3.046820000E-1,-1.618635368E1,-2.363389206E1,4.266825104E1
3.264410000E-1,-1.615381050E1,-2.358685303E1,4.270658875E1
3.482000000E-1,-1.611959648E1,-2.356365204E1,4.273231888E1
3.699670000E-1,-1.611926651E1,-2.351057053E1,4.276167297E1
3.917250000E-1,-1.608414459E1,-2.350049591E1,4.278043747E1
4.135080000E-1,-1.607278061E1,-2.347930336E1,4.279633331E1
4.352670000E-1,-1.605326080E1,-2.346043396E1,4.281401443E1
4.570240000E-1,-1.603261566E1,-2.344495201E1,4.283021927E1
4.787860000E-1,-1.601095772E1,-2.342271042E1,4.285048676E1
5.005440000E-1,-1.599295521E1,-2.339945030E1,4.286990738E1
5.223030000E-1,-1.597974014E1,-2.337881470E1,4.288609695E1
5.440920000E-1,-1.596810150E1,-2.337208748E1,4.289409637E1
5.658490000E-1,-1.595639706E1,-2.336962128E1,4.289979553E1
5.876110000E-1,-1.594349957E1,-2.335301399E1,4.291363525E1
