,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
19,413446000.0,0.09462999552,0.03644088283,-0.01221934892
20,435205000.0,0.09340144694,0.03767185286,-0.01469226554
21,456964000.0,0.09342230111,0.03890579566,-0.01833571866
22,478723000.0,0.09442950785,0.03884317726,-0.01107331272
23,500472000.0,0.09566741437,0.04131099954,-0.01350549981
24,522241000.0,0.09073416144,0.03758608177,-0.01476383861
25,544000000.0,0.09425276518,0.04124105722,-0.01113197021
26,565760000.0,0.09057353437,0.04122974351,-0.01485047303
27,587518000.0,0.09665929526,0.03873243183,-0.01341793872
28,609286000.0,0.09170529991,0.03994500637,-0.01599441655
29,631025000.0,0.08785719424,0.03988335654,-0.01489449479
30,652795000.0,0.0963107422,0.03982197493,-0.01224550884
31,674555000.0,0.08884875476,0.03978938237,-0.01245290227
32,696323000.0,0.09498275071,0.03728841618,-0.01584035158
33,718073000.0,0.09363938123,0.03971375525,-0.01593253948
34,739829000.0,0.09481583536,0.0384522453,-0.01587068848
35,761591000.0,0.09472199529,0.03964317963,-0.01710523665
36,783350000.0,0.09207248688,0.03834088147,-0.0135328332
37,805107000.0,0.09190267324,0.03827867657,-0.01112472825
38,826868000.0,0.0942517221,0.04069784284,-0.01231888495
39,848642000.0,0.09305352718,0.03698316216,-0.01588384993
40,870386000.0,0.08925069124,0.0394057408,-0.01724996418
41,892145000.0,0.09025262296,0.04056127742,-0.01363123115
42,913904000.0,0.09134913981,0.03802352026,-0.01354222186
43,935663000.0,0.09122850001,0.04044144973,-0.01480527036
44,957452000.0,0.09232043475,0.03914324194,-0.01474451087
45,979203000.0,0.08971549571,0.03907883912,-0.01481513493
46,1000948000.0,0.09208663553,0.04027858749,-0.01477568503
47,1022730000.0,0.09176596254,0.03872599825,-0.01529135462
48,1044489000.0,0.09906993806,0.03992908075,-0.01511421148
49,1066248000.0,0.09415153414,0.03991963342,-0.01766203716
50,1088007000.0,0.08907440305,0.03987954929,-0.01177578326
51,1109766000.0,0.09655106068,0.03741374984,-0.01874289662
52,1131526000.0,0.09268409014,0.03983169794,-0.01408399735
53,1153284000.0,0.09013964981,0.03856439143,-0.0129205212
54,1175044000.0,0.0925752148,0.03978128359,-0.01529055275
55,1196786000.0,0.09505086392,0.03977761418,-0.01763190702
56,1218562000.0,0.08998877555,0.03973237425,-0.01415578835
57,1240315000.0,0.09110349417,0.04215470701,-0.01417922974
58,1262079000.0,0.09349416196,0.04088837653,-0.01408318523
59,1283838000.0,0.09225927293,0.03840361163,-0.01647160947
60,1305607000.0,0.09343729913,0.03961390629,-0.01767121814
61,1327351000.0,0.09454128146,0.03957168385,-0.01522813179
62,1349110000.0,0.0944205299,0.03829200193,-0.01279123686
63,1370874000.0,0.08835797757,0.04077278078,-0.02024933696
64,1392643000.0,0.0918553099,0.04194633663,-0.01535621658
65,1414392000.0,0.09675798565,0.0394525528,-0.01757293381
66,1436151000.0,0.09169682115,0.03817084432,-0.01406863704
67,1457910000.0,0.09400407225,0.03688275814,-0.01035820413
68,1479669000.0,0.09152016789,0.03810123354,-0.01286571473
69,1501456000.0,0.08343746513,0.03710769862,0.4003905654
70,1523218000.0,0.07715454698,0.04299674928,0.678532064
71,1544977000.0,0.1193842292,-0.2281350046,0.112097688
72,1566737000.0,-0.1211979166,-0.5431601405,1.103390932
73,1588496000.0,-0.306309551,-0.4121833146,1.110908031
74,1610245000.0,-0.3610689044,-1.815495968,1.005074501
75,1632013000.0,-0.7791751027,-3.702649355,0.2178169787
76,1653772000.0,-0.3778155446,-4.96061945,-0.8103599548
77,1675531000.0,-0.1939192712,-6.131538391,-1.693507671
78,1697292000.0,-1.057523131,-7.793780804,-2.223498106
79,1719049000.0,-1.934006691,-9.423334122,-1.469613791
80,1740821000.0,-1.760438442,-9.259527206,-0.254627496
