,Time (s),X (µT),Y (µT),Z (µT)
126,2742028000.0,30.23495674,-8.825735092,45.5417099
127,2763793000.0,30.25122452,-8.852157593,45.52577591
128,2785552000.0,30.3141098,-13.93189812,45.67524719
129,2807311000.0,30.28160477,-13.83230209,45.72704315
130,2829070000.0,30.29976654,-13.84749985,45.71042633
131,2850836000.0,30.3258934,-13.88386631,45.6820488
132,2872619000.0,30.34774208,-13.90986252,45.65962219
133,2894377000.0,30.36804008,-13.93245888,45.63924408
134,2916125000.0,30.39442444,-13.97123146,45.60980606
135,2937895000.0,30.40278435,-13.94883823,45.61109924
136,2959654000.0,30.37113762,-13.84962368,45.66238403
137,2981413000.0,30.38747787,-13.87192345,45.64474106
138,3003173000.0,30.40523148,-13.88460732,45.62905502
139,3024931000.0,30.42066574,-13.89965248,45.61419296
140,3046721000.0,30.39538193,-13.8253212,45.65362167
141,3068480000.0,30.41412354,-13.84060955,45.63648987
142,3090243000.0,30.40718079,-13.7994442,45.6535759
143,3111978000.0,30.39320564,-13.73920918,45.68105316
144,3133757000.0,30.41104698,-13.76332188,45.66191101
145,3155516000.0,30.37742996,-13.66552734,45.71362686
146,3177275000.0,30.40365982,-13.70035172,45.68576813
147,3199034000.0,30.43569946,-13.75275326,45.64866638
148,3220811000.0,30.44514656,-13.74297714,45.64532089
149,3242578000.0,30.4366188,-13.70260525,45.6631279
150,3264342000.0,30.43171883,-13.66535282,45.67756271
151,3286101000.0,30.44956589,-13.68970108,45.65837479
152,3307861000.0,30.47382355,-13.73196411,45.62948608
153,3329619000.0,30.48818016,-13.74165916,45.61698151
154,3351378000.0,30.49902916,-13.74657059,45.60825348
155,3373137000.0,30.51271057,-13.74483109,45.59962845
156,3394896000.0,30.49879456,-13.69512749,45.62387848
157,3416657000.0,30.48383713,-13.6323967,45.65265274
158,3438445000.0,30.49173546,-13.63972664,45.64519501
159,3460204000.0,30.49803543,-13.62776279,45.64455414
160,3481957000.0,30.50644875,-13.61703205,45.64213943
161,3503722000.0,30.52252007,-13.62346268,45.62947083
162,3525481000.0,30.53704453,-13.63307476,45.61688232
163,3547240000.0,30.5026474,-13.53633595,45.66866684
164,3568999000.0,30.50525856,-13.52646255,45.66984558
165,3590763000.0,30.51634598,-13.52630234,45.66249466
166,3612529000.0,30.53508186,-13.54102898,45.64559174
167,3634306000.0,30.52958679,-13.49593639,45.66262436
168,3656575417.0,30.49767303,-13.3957901,45.71341705
169,3678335417.0,30.50362015,-13.39140987,45.71072388
170,3700094417.0,30.50583649,-13.3647337,45.71705246
171,3721838417.0,30.52764702,-13.38022995,45.6979599
172,3743612417.0,30.49443054,-13.28224564,45.74869919
173,3765371417.0,30.50480652,-13.28752995,45.74023438
174,3787131417.0,30.5340786,-13.34244728,45.70471191
175,3808909417.0,30.57188416,-13.34900665,45.67751312
176,3830678417.0,30.47003937,-13.29688835,45.7606926
177,3852437417.0,30.41036606,-13.25861931,45.81147003
178,3874191417.0,30.03779221,-13.89907074,45.86740112
179,3895955417.0,29.67392159,-14.55342197,45.90128708
180,3917706417.0,29.07947159,-15.48798656,45.97583771
181,3939473417.0,28.80410385,-16.12855911,45.92890167
182,3961232417.0,31.29425812,-15.97505379,44.3253746
183,3982997417.0,36.77312469,-14.3141489,40.52299881
184,4004782417.0,41.38164139,-12.89852142,36.33811188
185,4026540417.0,45.30911255,-12.04874802,31.64148331
186,4048299417.0,47.94559479,-11.88669777,27.55356216
187,4070058417.0,51.20153809,-12.14334774,20.74158287
188,4091813417.0,53.63735962,-13.15632534,12.21541595
189,4113574417.0,54.44194031,-15.31366158,0.9154491425
190,4135335417.0,53.31254578,-17.49092865,-7.149152756
191,4157094417.0,52.35969162,-18.51244736,-10.72490883
192,4178853417.0,48.33692932,-20.39242172,-21.14146233
193,4200637417.0,44.23237228,-20.66799545,-28.55875778
194,4222394417.0,38.6537323,-20.32250404,-35.94657135
195,4244161417.0,31.9145546,-19.5558815,-42.40636444
196,4265920417.0,27.13495636,-19.05871964,-45.82281494
197,4287679417.0,20.21388626,-18.83433533,-49.35522079
198,4309439417.0,16.32673454,-18.8237381,-50.77770996
199,4331198417.0,10.35622215,-18.65983391,-52.38158798
200,4352952417.0,4.047748566,-18.45817947,-53.31212616
201,4374746417.0,-1.495923996,-19.02679634,-53.24485397
202,4396506417.0,-5.922424316,-20.98499298,-52.19028854
203,4418246417.0,-11.56594849,-25.18670654,-49.30648804
204,4440023417.0,-14.83582401,-28.42938614,-46.59334564
205,4461782417.0,-18.46056938,-33.17641449,-41.92617798
206,4483555417.0,-20.68609619,-37.38632584,-37.06236267
207,4505292417.0,-20.49763489,-37.68687057,-36.8621521
208,4527059417.0,-22.02728653,-37.56784821,-36.09330368
209,4548818417.0,-23.46792603,-37.66306305,-35.07165909
210,4570607417.0,-24.78510666,-37.79386139,-34.00872803
211,4592340417.0,-25.43898773,-38.23103714,-33.02297211
212,4614128417.0,-25.61231804,-38.81862259,-32.19308472
213,4635886417.0,-26.0444355,-39.07888794,-31.52458
214,4657644417.0,-26.02331543,-39.29589462,-31.27124786
215,4679404417.0,-25.96644783,-39.4841156,-31.08085632
216,4701162417.0,-25.92062759,-39.77817535,-30.74230385
217,4722921417.0,-26.24538612,-40.12208557,-30.01115227
218,4744710417.0,-26.57825089,-40.43562317,-29.28870392
219,4766469417.0,-26.70466614,-40.74276733,-28.74298859
220,4788228417.0,-26.77422333,-41.13016129,-28.11977386
221,4809969417.0,-26.83155823,-41.25280762,-27.88448715
222,4831746417.0,-27.020895,-41.08453369,-27.95001984
223,4853505417.0,-27.27979279,-40.93510437,-27.91775894
224,4875265417.0,-27.65173149,-40.95922089,-27.51354027
225,4897023417.0,-27.82508087,-40.97856903,-27.30921936
226,4918784417.0,-28.11191177,-41.07981491,-26.85964584
227,4940573417.0,-28.12583542,-41.1374588,-26.75663757
228,4962331417.0,-28.37950706,-41.20726776,-26.37870026
229,4984090417.0,-28.31592369,-41.28488541,-26.32561493
230,5005836417.0,-28.21821022,-41.38742447,-26.26947403
231,5027608417.0,-28.47417831,-41.36776352,-26.02308273
232,5049367417.0,-28.35505867,-41.51218414,-25.92296982
233,5071126417.0,-28.55722427,-41.47595215,-25.75852013
234,5092885417.0,-28.47344589,-41.54733658,-25.73622513
235,5114657417.0,-28.32628059,-41.62302017,-25.77628136
236,5136434417.0,-28.4563179,-41.57678223,-25.7075901
237,5158193417.0,-28.33753967,-41.74160004,-25.57136154
238,5179952417.0,-28.24481583,-41.88564301,-25.43805504
239,5201698417.0,-28.17657661,-42.00202179,-25.32156372
240,5223479417.0,-28.19103241,-42.09201813,-25.15548325
241,5245230417.0,-28.29556847,-42.13327789,-24.96835518
242,5266988417.0,-28.26438904,-42.24803162,-24.80925369
243,5288747417.0,-28.34292603,-42.32804871,-24.58222961
244,5310533417.0,-28.1971302,-42.49059296,-24.4692173
245,5332296417.0,-28.1438961,-42.60347748,-24.33384895
246,5354055417.0,-28.03057671,-42.7026062,-24.29085732
247,5375814417.0,-28.08684731,-42.73137665,-24.1749897
248,5397573417.0,-28.00001526,-42.86821365,-24.03303146
249,5419348417.0,-28.08467293,-42.90876389,-23.86127853
250,5441085417.0,-28.06803131,-42.96583176,-23.77801514
251,5462850417.0,-28.01622581,-43.04464722,-23.69643021
252,5484623417.0,-25.67694855,-26.85309219,-33.36751938
253,5506399417.0,-25.72831154,-26.83306122,-33.34405899
