,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
392,8531558917.0,-0.2146202781,0.4992960104,-0.06337022746
393,8553317917.0,-0.2221821349,0.4964682238,-0.04518539592
394,8575068917.0,-0.2189517493,0.5073897263,-0.04999982884
395,8596836917.0,-0.2219054337,0.4999683305,-0.060055313
396,8618596917.0,-0.2133800836,0.4988282697,-0.0592296359
397,8640384917.0,-0.2328694016,0.4910500476,-0.03910752588
398,8662143917.0,-0.2182152559,0.4970005031,-0.0453087676
399,8683885917.0,-0.209908811,0.5095083552,-0.04655014519
400,8705661917.0,-0.2177324403,0.5163517172,-0.03140764508
401,8727420917.0,-0.2175655572,0.5047256252,-0.03844187063
402,8749179917.0,-0.2012780649,0.4724574002,-0.03372692489
403,8770934917.0,-0.2389103245,0.512354122,-0.02268397619
404,8792697917.0,-0.2073092303,0.5012176247,-0.03885643365
405,8814482917.0,-0.2104474309,0.5058971148,-0.04849720405
406,8836246917.0,-0.226990812,0.5050941459,-0.06409243169
407,8858005917.0,-0.2210717852,0.5031254981,-0.03764962088
408,8879760917.0,-0.2270627145,0.5085642126,-0.02775652714
409,8901523917.0,-0.2191655929,0.5009786198,-0.04777351061
410,8923295917.0,-0.2125463986,0.5103806867,-0.04009111435
411,8945041917.0,-0.2283275037,0.5013528781,-0.04072838777
412,8966823917.0,-0.2227372001,0.5047541304,-0.02899384137
413,8988590917.0,-0.2186697125,0.511111479,-0.035308213
414,9010349917.0,-0.2028343379,0.5117414434,-0.02541926713
415,9032120917.0,-0.2126837534,0.5171522741,-0.02861065688
416,9053867917.0,-0.1981455287,0.5160196684,-0.03962812908
417,9075626917.0,-0.2349485618,0.5014446428,-0.03011106384
418,9097385917.0,-0.2190905658,0.506477853,-0.0313606024
419,9119175917.0,-0.2207938415,0.503440663,-0.0456878362
420,9140933917.0,-0.2131909628,0.5122191609,-0.04907497748
421,9162681917.0,-0.2267399299,0.5078553839,-0.04017969967
422,9184452917.0,-0.1973715035,0.4924042993,-0.04500228214
423,9206211917.0,-0.2130588522,0.5177528562,-0.04707787924
424,9227970917.0,-0.2197851054,0.4852840717,-0.03216689004
425,9249729917.0,-0.2222473131,0.5119818736,-0.0371420186
426,9271508917.0,-0.2313696639,0.5080352223,-0.03003235255
427,9293276917.0,-0.2143842881,0.5096258112,-0.04594654351
428,9315036917.0,-0.2108102872,0.5100042357,-0.03342500072
429,9336795917.0,-0.213747234,0.505267991,-0.03890080854
