,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
142,2788262875.0,0.1523831177,-0.1231938171,-9.840536499
143,2807881875.0,0.1550775146,-0.110919342,-9.852661285
144,2827477875.0,0.1489402771,-0.107177124,-9.816436615
145,2847100875.0,0.1454974365,-0.1107696533,-9.859397278
146,2866722875.0,0.1416055298,-0.1164578247,-9.839937744
147,2886345875.0,0.1434017944,-0.1118174744,-9.86149292
148,2905951875.0,0.1501377869,-0.1058299255,-9.841883698
149,2925585875.0,0.1510359192,-0.1240919495,-9.827812958
150,2945207875.0,0.1445993042,-0.113613739,-9.836794281
151,2964806875.0,0.1357676697,-0.1113684082,-9.825567627
152,2984428875.0,0.1425036621,-0.1076261902,-9.828262024
153,3004051875.0,0.1369651794,-0.1085243225,-9.810149689
154,3023673875.0,0.1375639343,-0.1124162292,-9.820927277
155,3043297875.0,0.1618135071,-0.1092727661,-9.850565643
156,3062920875.0,0.1526824951,-0.09984237671,-9.830657043
157,3082543875.0,0.143102417,-0.1067280579,-9.839488678
158,3102165875.0,0.160765686,-0.1199006653,-9.798773346
159,3121787875.0,0.1573228455,-0.1067280579,-9.826914825
160,3141411875.0,0.1429527283,-0.1175056458,-9.84038681
161,3161014875.0,0.1565744019,-0.1112187195,-9.830207977
162,3180657875.0,0.1267863464,-0.1152603149,-9.83335144
163,3200252875.0,0.1405577087,-0.1193019104,-9.808952179
164,3219899875.0,0.1357676697,-0.122744751,-9.84397934
165,3239506875.0,0.1405577087,-0.1035845947,-9.838889923
166,3259126875.0,0.1555265808,-0.1113684082,-9.816436615
167,3278771875.0,0.1425036621,-0.1197509766,-9.824220428
168,3298394875.0,0.1463955688,-0.1046324158,-9.828561401
169,3318016875.0,0.1550775146,-0.09475296021,-9.815538483
170,3337639875.0,0.15328125,-0.1101708984,-9.818831635
171,3357258875.0,0.1407073975,-0.1131646729,-9.847122803
172,3376885875.0,0.1333726501,-0.1169068909,-9.816586304
173,3396508875.0,0.1435514832,-0.129181366,-9.840087433
174,3416129875.0,0.145796814,-0.1182540894,-9.836045837
175,3435753875.0,0.1480421448,-0.1019380188,-9.822573853
176,3455371875.0,0.1402583313,-0.1040336609,-9.823322296
177,3474998875.0,0.1580712891,-0.123792572,-9.807155914
178,3494622875.0,0.1472937012,-0.1290316772,-9.808952179
179,3514243875.0,0.145796814,-0.1110690308,-9.83335144
180,3533867875.0,0.1553768921,-0.1157093811,-9.832752686
181,3553490875.0,0.1600172424,-0.1387614441,-9.823172607
182,3573112875.0,0.1448986816,-0.1053808594,-9.842931519
183,3592736875.0,0.1498384094,-0.09744735718,-9.823172607
184,3612328875.0,0.1561253357,-0.1094224548,-9.83454895
185,3631951875.0,0.1689985657,-0.1269360352,-9.801168365
186,3651577875.0,0.1484912109,-0.1032852173,-9.822573853
187,3671214875.0,0.1448986816,-0.1064286804,-9.830657043
188,3690810875.0,0.1437011719,-0.1281335449,-9.830657043
189,3710456875.0,0.1471440125,-0.1085243225,-9.837393036
190,3730064875.0,0.1478924561,-0.113613739,-9.796228638
191,3749689875.0,0.1526824951,-0.109871521,-9.834099884
192,3769310875.0,0.1444496155,-0.1056802368,-9.837991791
193,3788932875.0,0.1255888367,-0.1037342834,-9.834249573
194,3808546875.0,0.1438508606,-0.1049317932,-9.852062531
195,3828179875.0,0.1448986816,-0.1167572021,-9.83110611
196,3847784875.0,0.1351689148,-0.1197509766,-9.846524048
197,3867423875.0,0.1390608215,-0.109871521,-9.832453308
