,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
219,4766435333.0,-0.2072232945,0.5023388648,-0.05450279245
220,4788212333.0,-0.2065271469,0.4967332123,-0.04800081199
221,4809966333.0,-0.1919121593,0.49449234,-0.06409100186
222,4831725333.0,-0.2186181291,0.4930254197,-0.0610552417
223,4853484333.0,-0.1986570504,0.5000918895,-0.07620516732
224,4875243333.0,-0.1988586149,0.511200978,-0.05862830916
225,4897029333.0,-0.2155831135,0.4830460133,-0.0653003294
226,4918791333.0,-0.1937441102,0.4745849827,-0.07285914841
227,4940550333.0,-0.2207704526,0.5070223384,-0.04744612135
228,4962302333.0,-0.2083597374,0.4925498218,-0.06181559443
229,4984068333.0,-0.2099014471,0.4857199451,-0.06381002031
230,5005828333.0,-0.2192521682,0.4925246057,-0.05448268351
231,5027589333.0,-0.2029826744,0.4856747388,-0.0640334342
232,5049346333.0,-0.1914939006,0.4889001726,-0.03599307042
233,5071105333.0,-0.2232224277,0.4801059237,-0.04469261725
234,5092894333.0,-0.1995120961,0.4858710956,-0.06023385865
235,5114653333.0,-0.1968088735,0.4782679245,-0.05857044
236,5136413333.0,-0.2000345265,0.4764666897,-0.04272652754
237,5158173333.0,-0.2119698814,0.4917887336,-0.06750227661
238,5179930333.0,-0.2080006818,0.4892890489,-0.0466094122
239,5201689333.0,-0.2026402286,0.4886984071,-0.06670068273
240,5223448333.0,-0.2045251151,0.4713794659,-0.04611251308
241,5245207333.0,-0.2109249109,0.4896693372,-0.05912242172
242,5266984333.0,-0.1980062371,0.479189263,-0.03030974126
243,5288749333.0,-0.1969993465,0.4897035069,-0.06503603525
244,5310515333.0,-0.1960176173,0.490005479,-0.04848386509
245,5332274333.0,-0.1879017733,0.4759180016,-0.05143096228
246,5354012333.0,-0.2073012817,0.4703049304,-0.04737602786
247,5375792333.0,-0.178994527,0.4832887459,-0.05383098392
248,5397543333.0,-0.1932199804,0.4742285218,-0.05665401964
249,5419310333.0,-0.1959365968,0.4810945417,-0.03620814746
250,5441069333.0,-0.203345622,0.4664544293,-0.03742632119
251,5462838333.0,-0.2100728437,0.4645023729,-0.03682488024
252,5484618333.0,-0.1863119154,0.4916834472,-0.04178243518
253,5506377333.0,-0.1849375639,0.4784344605,-0.04140300571
254,5528145333.0,-0.2060103627,0.4764733775,-0.02932581703
255,5549895333.0,-0.2233789686,0.4830277408,-0.03414941135
256,5571655333.0,-0.1988979557,0.4880254291,-0.0200761774
257,5593414333.0,-0.1976533211,0.4733902138,-0.04877944641
258,5615172333.0,-0.2106840239,0.4872993876,-0.04297038841
259,5636931333.0,-0.1886453199,0.4822531309,-0.05529091946
260,5658696333.0,-0.2051547323,0.4815317307,-0.04918099024
261,5680480333.0,-0.2192680288,0.4946474008,-0.04566998392
262,5702239333.0,-0.1946054234,0.4901949288,-0.04157417381
263,5723998333.0,-0.1785459359,0.5031064581,-0.01094957597
264,5745757333.0,-0.1846803595,0.4986880461,-0.05607482552
265,5767516333.0,-0.1976589856,0.4885866522,-0.04058785816
266,5789269333.0,-0.2095661641,0.4919889642,-0.04993337614
267,5811035333.0,-0.1984319875,0.5046623656,-0.04824752337
268,5832794333.0,-0.1949912482,0.5041657543,-0.03343921219
269,5854575333.0,-0.1978585949,0.5147571449,-0.04950377025
270,5876341333.0,-0.2214824607,0.511249583,-0.05868431909
271,5898100333.0,-0.2115708089,0.49134694,-0.0279501522
272,5919860333.0,-0.2078062984,0.488647317,-0.06095561062
273,5941618333.0,-0.2019427654,0.4918804984,-0.06184352403
274,5963370333.0,-0.1947751023,0.5091971737,-0.03676965832
275,5985138333.0,-0.2154774068,0.5186355665,-0.05124465537
276,6006896333.0,-0.1745122525,0.5079184607,-0.04019100581
277,6028655333.0,-0.1853209037,0.4797287417,-0.04622275593
278,6050419333.0,-0.2064679987,0.4897237529,-0.05423562495
279,6072203333.0,-0.217498972,0.4874830633,-0.04588952403
280,6093962333.0,-0.1942344358,0.5003835559,-0.0636213197
281,6115721333.0,-0.204199681,0.5094545608,-0.05648645123
282,6137480333.0,-0.201697767,0.5211376997,-0.06762653908
283,6159251333.0,-0.2010106827,0.5056528839,-0.07353217664
