,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
608,11933348870.0,0.152233429,-0.1544787598,-9.825118561
609,11952964870.0,0.1549278259,-0.1511856079,-9.849068756
610,11972573870.0,0.126486969,-0.1541793823,-9.828411713
611,11992206870.0,0.1472937012,-0.1660047913,-9.844877472
612,12011827880.0,0.1416055298,-0.1273851013,-9.846374359
613,12031451870.0,0.1399589539,-0.1619631958,-9.835596771
614,12051074870.0,0.1523831177,-0.1519340515,-9.854008484
615,12070697870.0,0.1481918335,-0.1646575928,-9.841135254
616,12090288870.0,0.1428030396,-0.1466949463,-9.854756927
617,12109912870.0,0.1447489929,-0.1567240906,-9.832902374
618,12129535870.0,0.1354682922,-0.129181366,-9.83694397
619,12149158870.0,0.1504371643,-0.1538800049,-9.864486694
620,12168749870.0,0.1483415222,-0.144150238,-9.846973114
621,12188366880.0,0.1257385254,-0.1565744019,-9.851314087
622,12207995880.0,0.1408570862,-0.1510359192,-9.832602997
623,12227618880.0,0.1419049072,-0.1616638184,-9.852062531
624,12247240880.0,0.1462458801,-0.1526824951,-9.831704865
625,12266833880.0,0.1514849854,-0.1526824951,-9.833650818
626,12286461870.0,0.1389111328,-0.1417552185,-9.852212219
627,12306079880.0,0.1402583313,-0.1332229614,-9.834998016
628,12325702880.0,0.1381626892,-0.1440005493,-9.809550934
629,12345294870.0,0.1537303162,-0.1456471252,-9.833650818
630,12364917870.0,0.1519340515,-0.1456471252,-9.842931519
631,12384539870.0,0.1281335449,-0.1657054138,-9.833650818
632,12404162870.0,0.1469943237,-0.1480421448,-9.832303619
633,12423783880.0,0.1456471252,-0.1444496155,-9.826016693
634,12443377870.0,0.1454974365,-0.1487905884,-9.846074982
635,12463013870.0,0.1541793823,-0.1420545959,-9.829309845
636,12482604880.0,0.1496887207,-0.1462458801,-9.829160156
637,12502216880.0,0.1643582153,-0.146844635,-9.830507355
638,12521837870.0,0.1583706665,-0.1628613281,-9.818083191
639,12541476880.0,0.130229187,-0.1582209778,-9.854307861
640,12561084880.0,0.154329071,-0.1697470093,-9.828561401
641,12580695870.0,0.1311273193,-0.1610650635,-9.796228638
642,12600299880.0,0.1454974365,-0.1426533508,-9.837093658
643,12619922880.0,0.1445993042,-0.1332229614,-9.865833893
644,12639543880.0,0.146844635,-0.1546284485,-9.838440857
645,12659167880.0,0.1523831177,-0.1592687988,-9.831854553
646,12678760870.0,0.1432521057,-0.1463955688,-9.824968872
647,12698382870.0,0.1254391479,-0.1722917175,-9.852511597
648,12718005870.0,0.1402583313,-0.1317260742,-9.847571869
649,12737628870.0,0.1417552185,-0.1411564636,-9.84397934
650,12757220870.0,0.1778302002,-0.1621128845,-9.826765137
651,12776843870.0,0.1654060364,-0.1501377869,-9.839937744
652,12796466870.0,0.1478924561,-0.146844635,-9.847721558
653,12816088870.0,0.1610650635,-0.1318757629,-9.836494904
654,12835711870.0,0.1481918335,-0.1492396545,-9.834249573
655,12855333870.0,0.1612147522,-0.1583706665,-9.836345215
656,12874956870.0,0.1372645569,-0.157023468,-9.832004242
657,12894576870.0,0.1437011719,-0.1514849854,-9.842183075
658,12914171870.0,0.1480421448,-0.1360670471,-9.827663269
659,12933778870.0,0.1459465027,-0.1516346741,-9.835147705
660,12953429880.0,0.1666035461,-0.15328125,-9.842632141
661,12973061000.0,0.1294807434,-0.1556762695,-9.817484436
662,12992682000.0,0.1510359192,-0.1589694214,-9.851164398
663,13012276000.0,0.1437011719,-0.1483415222,-9.848170624
664,13031887000.0,0.1493893433,-0.155975647,-9.829309845
665,13051521000.0,0.1480421448,-0.1609153748,-9.842332764
666,13071144000.0,0.1519340515,-0.1579216003,-9.832453308
667,13090766000.0,0.1510359192,-0.1475930786,-9.818831635
668,13110358000.0,0.1486408997,-0.1440005493,-9.837692413
669,13129996000.0,0.1336720276,-0.1460961914,-9.838141479
670,13149604000.0,0.1450483704,-0.1459465027,-9.829160156
671,13169222000.0,0.1519340515,-0.144150238,-9.820927277
672,13188850000.0,0.1493893433,-0.1577719116,-9.845775604
673,13208443000.0,0.1341210938,-0.1469943237,-9.840835876
674,13228079000.0,0.1474433899,-0.1332229614,-9.826465759
675,13247688000.0,0.1676513672,-0.1550775146,-9.855804749
676,13267310000.0,0.1308279419,-0.1504371643,-9.844877472
677,13286933000.0,0.1535806274,-0.1484912109,-9.835297394
678,13306556000.0,0.146844635,-0.1492396545,-9.831854553
679,13326179000.0,0.1435514832,-0.1381626892,-9.832004242
680,13345772000.0,0.1583706665,-0.1796264648,-9.849667511
681,13365395000.0,0.1053808594,-0.1477427673,-9.841284943
682,13385017000.0,-1.833237762,-0.4510121155,-9.915380859
683,13404640000.0,3.467539215,0.4504133606,-9.787696381
684,13424262000.0,2.715952148,-0.522563324,-9.761201477
685,13443855000.0,-0.2040257263,-0.5111869812,-9.859247589
686,13463494000.0,-4.143383789,0.4498146057,-9.978699188
687,13483101000.0,0.02993774414,-0.3508703613,-10.22029678
688,13502724000.0,-0.2151026917,-0.3342549133,-10.07240433
689,13522354000.0,-0.4317022705,-1.058299255,-11.03475311
690,13541969000.0,-0.3631448364,-1.62412262,-10.1206041
691,13561592000.0,0.6319857788,0.4165837097,-10.81396225
692,13581214000.0,0.1389111328,0.2119592285,-12.98325119
693,13600806000.0,-0.3911366272,0.214354248,-14.42146042
694,13620445000.0,-3.719465332,-0.02305206299,-14.44645844
695,13640053000.0,-7.145989838,-1.845661926,-12.38868759
696,13659675000.0,-10.48434769,-1.409618683,-10.68927155
697,13679281000.0,-7.762258301,-2.992127838,-11.86328018
698,13698891000.0,-8.046367493,-1.810784454,-12.57654694
699,13718513000.0,-9.133257294,-1.444047089,-12.12508575
700,13738136000.0,-11.82136734,-0.4891827393,-8.925489349
701,13757759000.0,-13.77555359,-1.011147308,-7.094646606
702,13777361000.0,-14.33000061,-1.352886658,-7.817792816
703,13797004000.0,-11.87181244,-0.7247927856,-8.646768951
704,13816597000.0,-10.30621811,-0.4796026611,-5.973178711
705,13836220000.0,-10.43285477,-0.2836601257,-2.387984161
706,13855842000.0,-10.27328659,-0.2392025757,-0.5149291992
707,13875449000.0,-7.906857605,0.5450166321,0.4632865906
708,13895088000.0,-5.642516327,0.494122467,1.793420563
709,13914711000.0,-4.833299103,0.2478845215,3.551364899
710,13934331000.0,-5.273084564,0.9740245056,4.619992676
711,13953956000.0,-4.43931839,1.724863129,4.371509399
712,13973548000.0,-3.755091248,1.655407562,5.08402771
713,13993171000.0,-2.938988342,1.086740112,5.880072327
714,14012794000.0,-2.718945923,1.059945831,5.963149567
715,14032416000.0,-2.768941956,1.795067139,6.177354126
716,14052039000.0,-2.405797119,2.370470581,5.851032715
717,14071662000.0,-1.782642975,2.117646332,6.390510864
718,14091285000.0,-1.003213806,2.193837891,6.521488495
719,14110907000.0,-1.203048248,3.100951538,6.723867645
720,14130501000.0,-1.30932724,3.599414978,6.434818726
721,14150123000.0,-1.567989349,3.292403412,6.535259857
722,14169746000.0,-1.939516754,3.886517944,6.881938934
723,14189368000.0,-1.896855469,4.387526093,7.030579834
724,14208992000.0,-1.280886383,3.836072845,7.519612885
725,14228614000.0,-0.6322851562,3.448379059,7.913593597
726,14248238000.0,-0.2204914856,3.077899475,8.240813141
727,14267830000.0,0.01691482544,3.094215546,8.118218079
728,14287452000.0,0.2903961182,3.47517334,8.00220932
