,Time (s),X (µT),Y (µT),Z (µT)
21,457009000.0,-13.58074856,-24.90304184,38.61997986
22,478762000.0,-13.58284092,-24.89014626,38.62755203
23,500518000.0,-13.58413601,-24.86937523,38.64047623
24,522283000.0,-13.58552265,-24.84948921,38.652771
25,544073000.0,-13.58716965,-24.83199692,38.66343689
26,565807000.0,-13.58794212,-24.81748581,38.67248917
27,587573000.0,-13.58726978,-24.80314064,38.68192673
28,609350000.0,-13.58791161,-24.78709793,38.69197845
29,631103000.0,-13.58887959,-24.77178383,38.70144653
30,652868000.0,-13.58245087,-24.77487946,38.70172119
31,674627000.0,-13.58749294,-24.7425518,38.72062683
32,696398000.0,-13.58632374,-24.73139763,38.72816467
33,718145000.0,-13.58472729,-24.72007179,38.73594666
34,739934000.0,-13.58603668,-24.70936584,38.74232483
35,761693000.0,-13.58901691,-24.69509125,38.75037766
36,783457000.0,-13.5829258,-24.69592476,38.75197983
37,805211000.0,-13.58072758,-24.6834507,38.76069641
38,826980000.0,-13.579422,-24.66643524,38.7719841
39,848729000.0,-13.58258152,-24.65192795,38.78010559
40,870488000.0,-13.58116531,-24.63753319,38.78975296
41,892258000.0,-13.57519817,-24.63799667,38.79154587
42,914037000.0,-13.58155346,-24.60968971,38.80728531
43,935796000.0,-13.57852745,-24.5934391,38.81864166
44,957550000.0,-13.56907845,-24.59342003,38.82195663
45,979309000.0,-13.56737995,-24.58190155,38.82984543
46,1001073000.0,-13.56545925,-24.56964111,38.83827209
47,1022833000.0,-13.56473923,-24.55704498,38.84649658
48,1044591000.0,-13.56132603,-24.56131935,38.84498215
49,1066350000.0,-13.56523991,-24.53046989,38.86310577
50,1088140000.0,-13.56434441,-24.52027893,38.86985397
51,1109899000.0,-13.56008625,-24.51271057,38.87610626
52,1131658000.0,-13.55447102,-24.50473595,38.88308716
53,1153417000.0,-13.54434872,-24.51164246,38.88227081
54,1175177000.0,-13.54972935,-24.48335075,38.89821625
55,1196935000.0,-13.54532623,-24.47346687,38.9059639
56,1218694000.0,-13.5395813,-24.46800804,38.91139984
57,1240453000.0,-13.5342865,-24.46390533,38.91581726
