,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
28,609316000.0,-0.1052444731,0.2368731729,-0.008455463838
29,631073000.0,-0.09858284991,0.2391277679,-0.008714701629
30,652832000.0,-0.1225981686,0.2663460086,0.001744351766
31,674591000.0,-0.1052765505,0.2845653844,-0.007183790365
32,696350000.0,-0.08566978578,0.3019175998,-0.02108340598
33,718109000.0,-0.1056204673,0.2837866997,-0.01159506518
34,739868000.0,-0.1234699519,0.2811917967,-0.008697500308
35,761639000.0,-0.1144523576,0.3140446702,-0.009714867866
36,783387000.0,-0.1331890567,0.3259791663,0.0113730343
37,805145000.0,-0.1374214267,0.3239485379,0.002028381979
38,826904000.0,-0.1174713299,0.3026111161,0.003223637084
39,848694000.0,-0.1257007012,0.3196268974,0.02390888793
40,870433000.0,-0.1256045328,0.3011897859,-0.003191792599
41,892212000.0,-0.1424355695,0.3314770839,0.01729558539
42,913970000.0,-0.1094787708,0.2935987478,-0.01296759628
43,935729000.0,-0.1265844713,0.2928890055,0.01555775521
44,957478000.0,-0.1177272644,0.2807510629,0.01316089015
45,979248000.0,-0.1015976926,0.270701234,-0.005731401382
46,1001005000.0,-0.09071620697,0.2583127565,0.003045147971
47,1022766000.0,-0.10246975,0.2617973681,-0.008324214403
48,1044525000.0,-0.1283499284,0.2685472294,-0.003011579014
49,1066284000.0,-0.1361166936,0.3195541361,0.006145629217
50,1088043000.0,-0.1339934235,0.3189854578,-0.0001764277945
51,1109806000.0,-0.1184814821,0.2887903083,0.006653990371
52,1131561000.0,-0.1059279212,0.2931799958,0.00417775764
53,1153322000.0,-0.1235346367,0.3224228897,-0.01832226852
54,1175105000.0,-0.1409328899,0.345143781,0.0001382485437
55,1196838000.0,-0.1630600969,0.3648544161,-0.01823410461
56,1218627000.0,-0.1714606272,0.3773610257,-0.01450261715
57,1240386000.0,-0.176951784,0.409211796,-0.01455448264
58,1262143000.0,-0.1370193941,0.3335415165,0.01311702575
59,1283905000.0,-0.1495235734,0.3182262334,0.008561291589
60,1305664000.0,-0.1550138896,0.3519207405,0.01119027227
61,1327424000.0,-0.149260266,0.3604015787,-0.01121639173
62,1349186000.0,-0.1632161993,0.3541298917,-0.02018246882
63,1370928000.0,-0.1184341196,0.3114693372,-0.006640821574
64,1392700000.0,-0.1208264622,0.2961937969,-0.01529109591
65,1414459000.0,-0.09934907271,0.2744432145,-0.01559956965
66,1436218000.0,-0.09778484202,0.2987802031,-0.01060077586
67,1457995000.0,-0.1087830253,0.3143463135,0.003332214853
68,1479736000.0,-0.1519522875,0.3434919061,-0.01213079919
69,1501490000.0,-0.147487043,0.3529956415,-0.03105672763
70,1523254000.0,-0.1548842276,0.3596969892,0.001897037185
71,1545013000.0,-0.1479888529,0.3673130972,-0.01212450087
72,1566772000.0,-0.1398525985,0.3614788185,-0.01973800734
73,1588562000.0,-0.1559745141,0.3653355323,-0.01660276685
74,1610321000.0,-0.1531442972,0.3881408793,-0.01256957676
75,1632060000.0,-0.1738097278,0.4220125205,-0.007538317785
76,1653829000.0,-0.1994835544,0.4450454704,-0.01529589474
77,1675599000.0,-0.187041721,0.457954003,-0.02350776437
78,1697358000.0,-0.2208847657,0.4471771825,-0.0320928314
79,1719117000.0,-0.1941773158,0.4912658829,-0.03498713691
80,1740875000.0,-0.1917657962,0.4473210241,-0.01368862192
81,1762648000.0,-0.1727697091,0.408519303,-0.01366301979
82,1784393000.0,-0.1848119219,0.4397978502,-0.03573322107
83,1806147000.0,-0.1436752249,0.3841335266,-0.03237363023
84,1827911000.0,-0.1296303682,0.3315052236,-0.01933123299
85,1849663000.0,-0.1096859541,0.3323368073,-0.01462455215
86,1871430000.0,-0.1403999892,0.3206948182,-0.02424223404
87,1893188000.0,-0.1428403795,0.3224648435,-0.03705887394
88,1914947000.0,-0.137184651,0.2771403158,-0.01701531646
89,1936737000.0,-0.1227467335,0.2831062117,-0.03082076507
90,1958496000.0,-0.1119782363,0.2564072951,-0.01806456962
91,1980259000.0,-0.1121533238,0.2653265648,-0.01441856685
92,2002015000.0,-0.1123413575,0.259757238,-0.02070542231
93,2023773000.0,-0.1110522292,0.2711301273,-0.01085433831
94,2045513000.0,-0.1286503292,0.2990698413,-0.01018340457
95,2067291000.0,-0.1270299012,0.2764503444,-0.02095205148
96,2089051000.0,-0.1091667031,0.2881556113,-0.01774747694
97,2110809000.0,-0.1481203696,0.3027239126,-0.02418466638
98,2132568000.0,-0.1051383278,0.3399742577,-0.03261848924
99,2154850875.0,-0.1036234239,0.3012926238,-0.02190177406
100,2176603875.0,-0.1306638361,0.3150928933,-0.04493069943
101,2198362875.0,-0.1524225316,0.3342779002,-0.01098947637
102,2220121875.0,-0.1709679445,0.3363397381,-0.008390856102
103,2241909875.0,-0.1760638112,0.3796225094,-0.04128168055
104,2263662875.0,-0.1548355313,0.3725985781,-0.03422124759
105,2285429875.0,-0.1256129382,0.3353971669,-0.01770653273
