,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
14,280283000.0,0.1437011719,-0.09565109253,-9.882748718
15,299906000.0,0.1175056458,-0.08756790161,-9.878856812
16,319499000.0,0.1020877075,-0.07723937988,-9.888137512
17,339122000.0,0.1251397705,-0.09160949707,-9.876312103
18,358732000.0,0.1823208618,-0.1086740112,-9.877210236
19,378336000.0,0.1820214844,-0.1471440125,-9.853858795
20,397959000.0,0.1926493835,-0.1368154907,-9.852361908
21,417551000.0,0.1501377869,-0.129181366,-9.858199768
22,437168000.0,0.1101708984,-0.07319778442,-9.864337006
23,456766000.0,0.1170565796,-0.07768844604,-9.86149292
24,476383000.0,0.121098175,-0.1249900818,-9.846973114
25,495976000.0,0.1523831177,-0.1398092651,-9.850116577
26,515604000.0,0.2116598511,-0.1459465027,-9.858948212
27,535189000.0,0.1784289551,-0.1133143616,-9.833052063
28,554819000.0,0.1657054138,-0.08996292114,-9.826016693
29,574411000.0,0.1285826111,-0.09684860229,-9.841434631
30,594033000.0,0.1095721436,-0.08876541138,-9.83110611
31,613657000.0,0.1213975525,-0.1222956848,-9.830507355
32,633244000.0,0.1462458801,-0.1290316772,-9.835596771
33,652871000.0,0.2023791504,-0.1480421448,-9.827812958
34,672463000.0,0.2014810181,-0.1362167358,-9.832752686
35,692087000.0,0.1862127686,-0.08128097534,-9.833052063
36,711680000.0,0.1538800049,-0.09535171509,-9.839638367
37,731301000.0,0.1158590698,-0.1074765015,-9.812245331
38,750895000.0,0.1297801208,-0.1398092651,-9.809401245
39,770507000.0,0.1420545959,-0.1369651794,-9.824220428
40,790137000.0,0.1818717957,-0.1417552185,-9.801916809
41,809733000.0,0.1996847534,-0.09565109253,-9.801467743
42,829347000.0,0.1862127686,-0.09250762939,-9.816885681
43,848947000.0,0.1637594604,-0.1101708984,-9.809401245
44,868570000.0,0.1215472412,-0.1372645569,-9.805958405
45,888163000.0,0.1047821045,-0.1188528442,-9.800719299
46,907784000.0,0.14040802,-0.1363664246,-9.817484436
47,927378000.0,0.1757345581,-0.1222956848,-9.810149689
48,947001000.0,0.1862127686,-0.08696914673,-9.789642334
49,966592000.0,0.1884580994,-0.09071136475,-9.782906342
50,986216000.0,0.1716929626,-0.09580078125,-9.80296463
51,1005808000.0,0.1143621826,-0.1202000427,-9.802515564
52,1025431000.0,0.1079255676,-0.1327738953,-9.806856537
53,1045054000.0,0.1196012878,-0.1507365417,-9.789642334
54,1064645000.0,0.1678010559,-0.1103205872,-9.777816925
55,1084268000.0,0.1752854919,-0.09654922485,-9.795031128
56,1103861000.0,0.1886077881,-0.09580078125,-9.785600739
57,1123484000.0,0.1721420288,-0.1266366577,-9.782307587
58,1143076000.0,0.1435514832,-0.1290316772,-9.788145447
59,1162698000.0,0.1101708984,-0.1309776306,-9.783505096
60,1182321000.0,0.1196012878,-0.1206491089,-9.791588287
61,1201914000.0,0.170944519,-0.09714797974,-9.774523773
62,1221515000.0,0.1718426514,-0.1101708984,-9.79832428
63,1241129000.0,0.1974394226,-0.1089733887,-9.793983307
64,1260752000.0,0.1833686829,-0.121098175,-9.789941711
65,1280341000.0,0.1526824951,-0.1332229614,-9.796528015
66,1299979000.0,0.1254391479,-0.1345701599,-9.784403229
67,1319566000.0,0.1257385254,-0.1225950623,-9.789792023
68,1339177000.0,0.1423539734,-0.09684860229,-9.793683929
69,1358805000.0,0.163460083,-0.09026229858,-9.783505096
70,1378401000.0,0.2061213684,-0.1052311707,-9.770332489
71,1398020000.0,0.1868115234,-0.1529818726,-9.800719299
72,1417625000.0,0.1697470093,-0.1525328064,-9.771679688
73,1437234000.0,0.1249900818,-0.1254391479,-9.774823151
74,1456858000.0,0.1089733887,-0.1148112488,-9.782906342
75,1476459000.0,0.12753479,-0.1010398865,-9.783654785
76,1496073000.0,0.1675016785,-0.1182540894,-9.793983307
77,1515665000.0,0.2017803955,-0.1158590698,-9.77721817
78,1535287000.0,0.1974394226,-0.1383123779,-9.781110077
79,1554879000.0,0.1484912109,-0.137713623,-9.775421906
80,1574510000.0,0.1353186035,-0.1209484863,-9.772428131
81,1594095000.0,0.1246907043,-0.1068777466,-9.77602066
82,1613717000.0,0.1351689148,-0.1059796143,-9.786349182
83,1633340000.0,0.1420545959,-0.110919342,-9.794582062
84,1652933000.0,0.1718426514,-0.1353186035,-9.775571594
85,1672535000.0,0.1718426514,-0.1591191101,-9.798473969
86,1692148000.0,0.1585203552,-0.136665802,-9.761800232
87,1711771000.0,0.1453477478,-0.1175056458,-9.784403229
88,1731363000.0,0.1236428833,-0.1038839722,-9.792187042
89,1750999000.0,0.1184037781,-0.1004411316,-9.787097626
90,1770596000.0,0.1540296936,-0.1481918335,-9.791438599
91,1790207000.0,0.1826202393,-0.1432521057,-9.767937469
92,1809824000.0,0.1781295776,-0.1408570862,-9.79592926
93,1829415000.0,0.1669029236,-0.120050354,-9.788295135
94,1849039000.0,0.1474433899,-0.1311273193,-9.793085175
95,1868631000.0,0.1187031555,-0.1249900818,-9.787397003
96,1888253000.0,0.1188528442,-0.1103205872,-9.801018677
97,1907847000.0,0.146844635,-0.1212478638,-9.805209961
98,1927468000.0,0.1648072815,-0.1389111328,-9.78664856
99,1947062000.0,0.1809736633,-0.1398092651,-9.826465759
100,1966683000.0,0.1654060364,-0.12753479,-9.803264008
101,1986276000.0,0.143102417,-0.09669891357,-9.807305603
102,2005899000.0,0.1258882141,-0.09684860229,-9.785151672
103,2025491000.0,0.1193019104,-0.1131646729,-9.823771362
104,2045114000.0,0.1528321838,-0.1481918335,-9.819131012
105,2064722000.0,0.1691482544,-0.1751358032,-9.806557159
106,2084330000.0,2.242187347,-0.1086740112,-9.781110077
107,2103952000.0,1.741628265,0.4430786133,-9.793534241
108,2123545000.0,-1.360969849,-1.160985718,-9.855056305
109,2143168000.0,-1.582658844,0.6487509155,-9.855205994
110,2162789000.0,1.842069397,-0.2195933533,-9.839039612
111,2182382000.0,-1.16891922,-0.05538482666,-10.26280838
112,2202005000.0,0.4773573303,-0.4565505981,-12.38524475
113,2221598000.0,-0.3240760803,1.097368011,-12.98265244
114,2241207000.0,5.487289124,-1.080752563,-12.17687805
115,2260813000.0,5.341641998,-1.091081085,-13.64427658
116,2280445000.0,6.003565521,0.2665956116,-18.75824203
117,2300041000.0,9.605525208,-6.031557312,-20.73218719
118,2319657000.0,11.93064011,-10.33870056,-13.5312616
119,2339243000.0,10.52027298,-9.382489014,-9.496252441
120,2358865000.0,14.15516418,-10.83791245,-9.885892181
121,2378488000.0,18.04647217,-10.45426025,-11.86672302
122,2398081000.0,18.27938782,-10.60125458,-15.32797531
123,2417681000.0,16.17686005,-12.26354782,-10.93131821
124,2437295000.0,8.627608795,-10.72819061,-6.485263824
125,2456919000.0,4.024231567,-8.065527649,-1.65570694
126,2476542000.0,2.962190094,-7.16095871,0.6283932495
127,2496133000.0,3.285966797,-4.545447693,2.784958649
128,2515734000.0,2.873424683,-2.436483307,1.954934692
129,2535349000.0,1.301992493,-0.6291416931,1.409768372
130,2554972000.0,-0.1351689148,1.08584198,1.63579834
131,2574564000.0,-0.2369572449,1.695224762,3.169059906
132,2594187000.0,0.8095166016,1.795067139,3.263663177
133,2613792000.0,0.8548722839,2.373314667,3.181633759
134,2633402000.0,0.577199707,2.78016861,2.762954407
135,2653025000.0,1.213526459,4.064647522,1.805245972
136,2672617000.0,1.491199036,6.030808868,1.527872772
137,2692240000.0,1.052910461,6.754553833,0.6330335999
138,2711860000.0,0.6188131714,6.731202393,2.596799927
139,2731462000.0,0.673150177,5.485941925,4.685406647
140,2751084000.0,1.312321014,4.288132782,6.120921478
141,2770678000.0,1.227297821,4.001927948,5.320535889
142,2790293000.0,1.726809082,4.32345932,6.204148407
143,2809899000.0,0.3679348755,4.207151184,6.618187408
144,2829508000.0,-0.02200424194,3.270548859,7.669002228
145,2849131000.0,0.7821235657,2.888094177,9.443562012
146,2868723000.0,1.631008301,2.866539001,8.294252014
147,2888345000.0,2.785407715,4.031117249,9.832902374
148,2908442583.0,1.576222229,3.38970108,9.480235748
149,2928057583.0,0.03218307495,4.55158493,8.932375031
150,2947679583.0,1.261426849,3.887266388,8.597671051
151,2967270583.0,1.334175568,4.047882385,7.94023819
152,2986889583.0,0.4954696655,3.910318451,7.912545776
153,3006482583.0,0.8167016602,3.505111084,9.005872192
154,3026110583.0,1.186582489,3.400778046,9.52918396
155,3045702583.0,1.430126038,3.853586426,9.133107605
156,3065314583.0,1.880389709,4.1233255,8.644373932
157,3084917583.0,1.658251648,3.754941559,9.072184296
158,3104540583.0,1.09991272,3.254232788,9.446555786
159,3124132583.0,1.453028412,2.949616241,9.608219604
160,3143754583.0,1.73758667,3.575015717,9.694440308
161,3163362583.0,1.565893707,4.082310791,9.154812469
162,3182970583.0,1.524280243,3.774251404,9.044641571
163,3202583583.0,1.407073975,4.191882935,7.933651886
164,3222185583.0,1.833686829,2.96847702,8.909173279
165,3241778583.0,2.24892334,2.682571564,10.12344818
166,3261399583.0,1.539997559,2.293231201,10.66127975
