,Time (s),X (µT),Y (µT),Z (µT)
192,4178132500.0,-11.10297298,-25.33524323,36.83649826
193,4199886500.0,-11.04358768,-25.45336533,36.77287292
194,4221644500.0,-11.01128769,-25.53955078,36.72276306
195,4243403500.0,-11.00322628,-25.54262352,36.72303772
196,4265159500.0,-11.02315521,-25.47714424,36.76253128
197,4286922500.0,-11.04520798,-25.40979004,36.80250168
198,4308711500.0,-11.06541729,-25.33961105,36.84479904
199,4330470500.0,-11.00349426,-25.46236038,36.77865982
200,4352229500.0,-11.02105522,-25.41327095,36.80734634
201,4373988500.0,-10.98558044,-25.51251602,36.74924088
202,4395747500.0,-10.97978973,-25.51524353,36.74908447
203,4417506500.0,-11.00164318,-25.44824219,36.78898621
204,4439265500.0,-11.02194023,-25.38022804,36.82987213
205,4461029500.0,-11.00161362,-25.40006638,36.82227325
206,4482778500.0,-10.97048855,-25.45700073,36.7922287
207,4504542500.0,-10.96866798,-25.45418358,36.79472351
208,4526298500.0,-10.99127865,-25.3854084,36.83546448
209,4548073500.0,-11.01765156,-25.29986,36.88640594
210,4569819500.0,-11.04093552,-25.23141098,36.92630768
211,4591609500.0,-11.06403732,-25.16213989,36.96663666
212,4613368500.0,-11.01300621,-25.27304459,36.90616989
213,4635127500.0,-10.93587399,-25.44704819,36.80941772
214,4656873500.0,-10.88775635,-25.54220581,36.75773239
215,4678645500.0,-10.90977478,-25.47485733,36.79792023
216,4700405500.0,-10.93091393,-25.409235,36.83699799
217,4722163500.0,-10.85960388,-25.54652596,36.76306152
218,4743922500.0,-10.81058979,-25.62747192,36.721138
219,4765683500.0,-10.77628136,-25.68735313,36.68937302
220,4787440500.0,-10.75280666,-25.72247696,36.67165375
221,4809199500.0,-10.77147198,-25.65310287,36.71473694
222,4830958500.0,-10.79403019,-25.58431244,36.75608826
223,4852730500.0,-10.81437778,-25.5174675,36.79655457
224,4874507500.0,-10.76713848,-25.60111237,36.75228119
225,4896266500.0,-10.75874424,-25.59895897,36.75624466
226,4918013500.0,-10.78503895,-25.51567841,36.80641174
227,4939784500.0,-10.77455997,-25.5191555,36.80706406
228,4961543500.0,-10.79633904,-25.45325661,36.84629059
229,4983302500.0,-10.82031631,-25.38525963,36.88614273
