,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
104,2041389000.0,0.1414558411,-0.1091230774,-9.825567627
105,2060986000.0,0.1469943237,-0.1128652954,-9.811496887
106,2080603000.0,0.1350192261,-0.06092330933,-9.823022919
107,2100216000.0,0.1489402771,-0.0687071228,-9.817484436
108,2119829000.0,0.1402583313,-0.113613739,-9.822424164
109,2139452000.0,0.1456471252,-0.122744751,-9.79832428
110,2159044000.0,0.1628613281,-0.1185534668,-9.821975098
111,2178666000.0,0.1496887207,-0.09250762939,-9.823471985
112,2198287000.0,0.1531315613,-0.08083190918,-9.820627899
113,2217882000.0,0.1408570862,-0.08143066406,-9.826615448
114,2237505000.0,0.1269360352,-0.1002914429,-9.790540466
115,2257096000.0,0.1133143616,-0.08367599487,-9.835596771
116,2276715000.0,0.1288819885,-0.1004411316,-9.807155914
117,2296316000.0,0.1510359192,-0.100740509,-9.826615448
118,2315935000.0,0.1679507446,-0.1050814819,-9.830956421
119,2335557000.0,0.1809736633,-0.09415420532,-9.828411713
120,2355181000.0,0.1550775146,-0.0679586792,-9.850266266
121,2374773000.0,0.1435514832,-0.07768844604,-9.819430389
122,2394395000.0,0.1308279419,-0.1068777466,-9.817634125
123,2414019000.0,0.1434017944,-0.1231938171,-9.80880249
124,2433602000.0,0.1360670471,-0.08786727905,-9.830357666
125,2453233000.0,0.1425036621,-0.06915618896,-9.827812958
126,2472826000.0,0.1613644409,-0.0758921814,-9.840237122
127,2492448000.0,0.1444496155,-0.0845741272,-9.830956421
128,2512072000.0,0.1312770081,-0.1160087585,-9.826914825
129,2531674000.0,0.1514849854,-0.1080752563,-9.852960663
130,2551286000.0,0.1260379028,-0.1013392639,-9.845027161
131,2570909000.0,0.1465452576,-0.09101074219,-9.824370117
132,2590501000.0,0.1573228455,-0.09624984741,-9.837991791
133,2610125000.0,0.1510359192,-0.1148112488,-9.8299086
134,2629748000.0,0.1601669312,-0.1056802368,-9.821226654
135,2649339000.0,0.1342707825,-0.1206491089,-9.82287323
136,2668963000.0,0.1399589539,-0.1197509766,-9.82407074
137,2688585000.0,0.1145118713,-0.1257385254,-9.827663269
138,2708178000.0,0.1281335449,-0.1106199646,-9.819729767
139,2727800000.0,0.1389111328,-0.07035369873,-9.871072998
140,2747423000.0,0.1447489929,-0.07274871826,-9.81823288
141,2767016000.0,0.1610650635,-0.08307723999,-9.807155914
142,2786629000.0,0.1460961914,-0.1068777466,-9.803713074
143,2806231000.0,0.1469943237,-0.1011895752,-9.830058289
144,2825853000.0,0.1095721436,-0.0860710144,-9.82407074
145,2845465000.0,0.1254391479,-0.1184037781,-9.798174591
146,2865068000.0,0.1269360352,-0.1004411316,-9.836794281
147,2884690000.0,0.159717865,-0.1139131165,-9.816436615
148,2904288000.0,0.1666035461,-0.09535171509,-9.840686188
149,2923907000.0,1.376836853,-0.1652563477,-9.784403229
150,2943516000.0,3.255729675,-0.2227368164,-9.701475677
151,2963129000.0,-2.44666214,-0.4885839844,-9.861792297
152,2982744000.0,-0.8117619324,0.710123291,-10.57266403
153,3002367000.0,-0.1953437805,0.4167333984,-10.0753981
154,3021989000.0,-0.08217910767,0.005987548828,-10.0688118
155,3041589000.0,0.5034031677,-0.09475296021,-9.942773895
156,3061204000.0,0.2152523804,-0.4288581848,-10.09575577
157,3080828000.0,0.856967926,-0.5291496277,-9.999655609
158,3100419000.0,1.366208954,0.06915618896,-12.08841202
159,3120042000.0,2.837200012,-0.3625460815,-13.23053696
160,3139660000.0,3.596421204,0.2674937439,-14.05247772
161,3159258000.0,4.516258392,0.1808239746,-13.10000839
162,3178881000.0,5.777535553,0.4212240601,-11.18683685
163,3198473000.0,6.382427673,-0.1014889526,-9.821076965
164,3218096000.0,5.979016571,-0.5147795105,-9.602082367
165,3237708000.0,7.019652557,-0.5056484985,-10.55859329
166,3257311000.0,9.827363892,0.1959425354,-11.55701706
167,3276934000.0,9.175170135,-1.186732178,-11.24566452
168,3296557000.0,9.956545258,-2.002236328,-8.853339386
169,3316148000.0,9.271419983,-1.79491745,-6.881938934
170,3335772000.0,8.090974731,-1.982327728,-4.629572754
171,3355394000.0,8.702453156,-0.6078858948,-3.050207062
172,3375017000.0,10.06806335,-0.2136058044,-2.712658997
173,3394629000.0,9.662855988,-0.1395098877,-1.604812775
174,3414232000.0,8.096513214,-1.151705017,1.656754761
175,3433848000.0,8.764124908,-0.4785548401,2.211800537
176,3453461000.0,8.901239777,-0.7173083496,3.006647644
177,3473069000.0,8.34978653,-0.53004776,3.10888504
178,3492693000.0,7.924520874,-0.1815724182,3.500470734
179,3512284000.0,7.502698059,0.6620732117,4.398153992
180,3531914000.0,6.533313904,0.8102650452,6.147715759
181,3551544250.0,6.024671631,-0.001197509766,7.632627869
182,3571166250.0,6.483916626,-1.344204712,8.849148102
183,3590766250.0,6.437662811,-2.15417038,9.154064026
184,3610381250.0,5.487588501,-0.305514679,9.104666748
185,3630005250.0,3.856430511,0.8994795227,7.466922455
186,3649596250.0,1.504820709,2.230661316,10.76531342
187,3669220250.0,3.674259338,-0.2152523804,10.69286407
188,3688845250.0,-0.4462220764,1.413959656,7.392676849
189,3708435250.0,0.9794132996,0.8340655518,8.163424072
190,3728058250.0,1.289867706,0.9915380859,7.479047241
191,3747681250.0,2.192341003,0.4159849548,6.265520782
192,3767273250.0,1.201251984,1.858385468,5.436844025
193,3786883250.0,-0.9178912354,3.246149597,6.873855743
194,3806517250.0,-2.606829071,5.219945068,11.6998201
195,3826108250.0,-3.824397125,3.467090149,7.576943665
196,3845732250.0,0.2411485291,0.9301657104,7.628735962
197,3865326250.0,-0.7029382324,1.875449982,9.620344391
198,3884938250.0,-0.5381309509,2.216590576,9.238189087
199,3904567250.0,-0.2679428101,2.244732056,8.920250244
200,3924164250.0,-1.335822144,2.044897614,9.548942871
201,3943785250.0,-2.590363312,1.9880159,8.966653748
202,3963378250.0,-2.311792603,2.568957825,8.103847961
203,3982993250.0,-1.993105316,3.190166016,8.007747803
204,4002623250.0,-2.219284973,3.501668243,7.554190979
205,4022246250.0,-2.158211975,3.042123871,7.409891052
206,4041839250.0,-1.524130554,2.152374115,8.227191467
207,4061461250.0,-1.088835754,1.919458466,9.18519928
208,4081085250.0,-2.135608978,2.590812378,8.642727356
209,4100708250.0,-1.844913483,2.723735962,8.324339447
210,4120300250.0,-1.467398529,2.815944214,7.405699768
211,4139923250.0,-1.54104538,3.922293549,7.044051819
212,4159546250.0,-2.589914246,4.015998688,5.986950073
213,4179138250.0,-3.631298676,4.891228638,6.58525589
214,4198761250.0,-3.309916992,4.658312988,7.690856781
215,4218384250.0,-3.026705933,4.636458435,7.920928345
216,4238005250.0,-2.580483856,4.692591705,7.514673157
217,4257598250.0,-2.271226959,4.677473145,7.771239624
218,4277222250.0,-2.286944275,4.745431824,8.617130585
219,4296844250.0,-2.110461273,4.270619202,8.361911316
220,4316437250.0,-2.412832489,4.911885681,8.685238953
221,4336055250.0,-2.340682526,4.736749878,8.777447205
222,4355682250.0,-2.304308167,4.837640076,8.894204407
223,4375305250.0,-2.528841248,4.901557159,8.666378174
224,4394903250.0,-2.658172302,4.729265442,8.165070648
225,4414520250.0,-2.739453278,4.840184784,8.304730225
226,4434140250.0,-2.818638611,4.597389679,8.387657776
227,4453734250.0,-2.859803009,4.498894501,8.462801514
228,4473358250.0,-2.565514984,4.339775391,8.723259888
229,4492981250.0,-2.530487823,4.269421692,8.73463623
230,4512604250.0,-2.439477081,4.28139679,8.512647858
231,4532193250.0,-2.321372681,4.182302856,8.428672485
232,4551818250.0,-2.232158203,4.074526978,7.978408813
233,4571442250.0,-2.633174286,4.089795227,8.163274384
234,4591034250.0,-2.824177094,3.924239502,8.404123535
235,4610657250.0,-2.844235382,3.818110199,8.392896881
236,4630269250.0,-2.61745697,4.017196198,7.975415039
237,4649872250.0,-2.439926147,4.078119507,7.862699432
238,4669493250.0,-2.857258301,4.126768341,7.887697449
239,4689117250.0,-2.980003052,3.895499268,8.133636017
240,4708710250.0,-3.169958038,3.880680084,8.174800415
