,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
81,1762563000.0,-0.1377106263,0.3602676774,-0.006046208849
82,1784332000.0,-0.1363920792,0.3702655391,-0.01769998088
83,1806091000.0,-0.13761433,0.3705670362,-0.0223867572
84,1827862000.0,-0.1421855279,0.3422518578,-0.02033050159
85,1849609000.0,-0.1457630189,0.3566906067,-0.02331047109
86,1871379000.0,-0.1267608654,0.3778097995,-0.01470003263
87,1893127000.0,-0.1326918881,0.3703544899,-0.009179446209
88,1914911000.0,-0.1174756788,0.3445973587,-0.0323873552
89,1936645000.0,-0.1341232225,0.3360482544,-0.03180332114
90,1958404000.0,-0.1515696238,0.3335836164,-0.02203623718
91,1980195000.0,-0.1613837915,0.395162691,-0.03075016451
92,2001928000.0,-0.1829149207,0.4138843426,-0.01773706159
93,2023692000.0,-0.1532750099,0.4148219436,-0.0343306362
94,2045472000.0,-0.1647545104,0.4176935112,-0.02176597704
95,2067230000.0,-0.1335245042,0.3897878207,-0.05632073291
96,2088989000.0,-0.1675576838,0.3833735713,-0.02233560777
97,2110749000.0,-0.1708467792,0.3975251854,-0.01767272623
98,2132499000.0,-0.1737397622,0.4500852222,-0.04178698048
99,2154261000.0,-0.1804364321,0.4516387908,-0.03466193122
100,2176025000.0,-0.1470883725,0.3927062391,-0.04111360964
101,2197784000.0,-0.154283079,0.3605284632,-0.03438500617
102,2219538000.0,-0.1480966701,0.3767304765,-0.02811642554
103,2241302000.0,-0.1518870271,0.3734050554,-0.04592114467
104,2263061000.0,-0.1520142132,0.395328021,-0.03471792288
105,2284820000.0,-0.1439526296,0.3804663357,-0.0424641246
106,2306579000.0,-0.1624729451,0.3609402534,-0.04426951182
107,2328338000.0,-0.1539901884,0.3644283368,-0.05342568508
108,2350097000.0,-0.1498737759,0.3575995198,-0.03161766062
109,2371856000.0,-0.1524019841,0.4127850661,-0.05042347788
110,2393615000.0,-0.1830880165,0.4288449189,-0.05713115243
111,2415391000.0,-0.181419276,0.4103501027,-0.0328107096
112,2437133000.0,-0.1651890864,0.4009913417,-0.05039690503
113,2458893000.0,-0.16637693,0.3952593162,-0.04736184836
114,2480677000.0,-0.1455878491,0.3891303013,-0.04520693469
115,2502441000.0,-0.1556940304,0.4576788549,-0.06005104179
116,2524200000.0,-0.1661986995,0.4508278916,-0.03437327748
117,2545959000.0,-0.1736607334,0.3989149224,-0.03395427651
118,2567718000.0,-0.1609210392,0.386355834,-0.04937012939
119,2589477000.0,-0.1562382418,0.4137574946,-0.02750232857
120,2611218000.0,-0.1506869318,0.4248614302,-0.03642919505
121,2632996000.0,-0.151038322,0.4512745093,-0.06362411083
122,2654748000.0,-0.1419069355,0.3755437841,-0.06644633342
123,2676513000.0,-0.1001630051,0.342743499,-0.06685186066
124,2698273000.0,0.2886300398,0.4044593984,-0.05290890999
125,2720043000.0,-1.041408477,0.3907351062,-0.05825153834
126,2741790000.0,0.003864331749,0.3552846437,-0.05155844071
127,2763541000.0,0.3196386649,0.4342789192,-0.0382125707
128,2785309000.0,-0.1811625467,0.4265721428,-0.03598072503
