,Time (s),X (µT),Y (µT),Z (µT)
301,6549989333.0,-11.96021461,-23.65778351,43.04453278
302,6571748333.0,-11.95388317,-23.66352081,43.0431366
303,6593507333.0,-11.93739605,-23.69041824,43.03291321
304,6615264333.0,-11.93465805,-23.67793083,43.0405426
305,6637040333.0,-11.92631531,-23.68470192,43.03913116
306,6658784333.0,-11.93276024,-23.65072441,43.05603027
307,6680573333.0,-11.91820431,-23.66022301,43.05484009
308,6702332333.0,-11.90644646,-23.670681,43.05234146
309,6724092333.0,-11.89611816,-23.67823219,43.05105209
310,6745850333.0,-11.8841877,-23.68448448,43.05089951
311,6767601333.0,-11.88784599,-23.65523338,43.06596756
312,6789368333.0,-11.87365627,-23.66532707,43.06433868
313,6811139333.0,-11.85966778,-23.67800522,43.06123352
314,6832887333.0,-11.84395599,-23.70813942,43.04897308
315,6854645333.0,-11.83257198,-23.71611404,43.04771042
316,6876404333.0,-11.82427216,-23.72253609,43.04645538
317,6898178333.0,-11.82273579,-23.70981598,43.05388641
318,6919916333.0,-11.81262112,-23.71730042,43.05254364
319,6941682333.0,-11.80335808,-23.72160339,43.05270004
320,6963441333.0,-11.79607105,-23.72575951,43.05240631
321,6985200333.0,-11.78682232,-23.73144341,43.05181122
322,7006976333.0,-11.77942753,-23.73375893,43.05255508
323,7028744333.0,-11.77028656,-23.73989296,43.05167007
324,7050502333.0,-11.77910519,-23.70274734,43.06972885
325,7072266333.0,-11.77999115,-23.68872833,43.07719421
326,7094025333.0,-11.76710033,-23.70423126,43.07218933
327,7115783333.0,-11.76256275,-23.70018768,43.07565308
328,7137543333.0,-11.74857998,-23.71343231,43.07218552
329,7159302333.0,-11.73429012,-23.72302055,43.07079315
330,7181061333.0,-11.72244072,-23.73352814,43.06823349
331,7202818333.0,-11.70306587,-23.76351929,43.05696487
332,7224580333.0,-11.69177628,-23.77458954,43.05392075
333,7246357333.0,-11.6673708,-23.79073715,43.0516243
334,7268098333.0,-11.54725266,-23.86097908,43.04513168
335,7289857333.0,-11.61514568,-23.76623344,43.07926559
336,7311635333.0,-11.68748283,-23.66743279,43.11408615
337,7333375333.0,-11.75728703,-23.58836365,43.13843536
338,7355164333.0,-11.86933899,-23.4866066,43.16326523
339,7376910333.0,-12.23903275,-23.3991127,43.10749435
340,7398682333.0,-12.8316679,-23.23376083,43.02452469
341,7420434333.0,-12.81025505,-22.60898781,43.36243057
342,7442200333.0,-12.89252663,-22.32178879,43.48666382
343,7463959333.0,-14.31816769,-21.84276962,43.28339386
344,7485718333.0,-17.67926216,-21.22617531,42.33747482
345,7507484333.0,-23.08626556,-19.90568733,40.32811356
346,7529230333.0,-27.31746292,-18.41833115,38.34175873
347,7550996333.0,-29.32645416,-17.78658676,37.13711548
348,7572755333.0,-33.49108124,-18.08013535,33.2719841
349,7594514333.0,-36.89068604,-18.80714417,28.99892426
350,7616292333.0,-41.48970032,-19.46539688,21.33710861
351,7638030333.0,-45.10281372,-20.43183136,10.19046307
352,7659816333.0,-45.39933395,-21.78220177,4.472689629
353,7681580333.0,-45.14842987,-22.68464661,1.610904694
354,7703321333.0,-44.78268433,-23.12108421,-3.936450005
355,7725098333.0,-43.19975662,-23.32956505,-12.04497528
356,7746857333.0,-40.78422165,-23.77317619,-18.08459473
357,7768621333.0,-37.83338928,-23.82652283,-23.59026337
358,7790375333.0,-35.45209885,-23.75094223,-27.10369873
359,7812138333.0,-33.05896378,-24.48873138,-29.37644958
360,7833893333.0,-30.94518089,-25.26540184,-30.97780609
361,7855653333.0,-27.89170265,-25.94279861,-33.23542023
362,7877412333.0,-24.60826111,-26.13025475,-35.59792328
363,7899171333.0,-20.66317749,-26.08885765,-38.05224991
364,7920930333.0,-15.74793911,-26.32846832,-40.17938614
365,7942689333.0,-10.57359219,-27.33331299,-41.19051361
366,7964448333.0,-5.772993088,-29.2412014,-40.83128357
367,7986236333.0,-2.492617607,-31.30562592,-39.61456299
368,8007974333.0,-1.517111778,-32.15410614,-38.9792366
369,8029755333.0,-0.406208992,-31.46378708,-39.56556702
370,8051514333.0,0.7922391891,-30.03539276,-40.65484619
371,8073273333.0,2.538845062,-28.40585899,-41.7400322
372,8095033333.0,4.366548538,-26.95506668,-42.54323196
373,8116782333.0,5.84943676,-26.00789642,-42.95279312
374,8138550333.0,7.297188759,-25.46019554,-43.05924606
375,8160310333.0,8.951275826,-25.1148262,-42.94984436
376,8182069333.0,10.03894901,-24.99694633,-42.77780914
377,8203842333.0,10.52969265,-25.13263512,-42.57986832
378,8225587333.0,11.18770218,-25.65187836,-42.09970856
379,8247359333.0,12.40013695,-26.51976395,-41.21295547
380,8269105333.0,14.52567577,-27.83903885,-39.61769485
381,8290864333.0,15.98020363,-29.62579918,-37.7162323
382,8312625333.0,16.37110138,-31.58039093,-35.91984177
383,8334412333.0,16.26765251,-33.16625214,-34.50988388
384,8356171333.0,16.12086868,-33.88907623,-33.87059784
385,8377913333.0,16.37982559,-33.89850998,-33.73664856
386,8399689333.0,16.81851768,-33.42306137,-33.99419785
387,8421448333.0,17.67210007,-32.8968811,-34.07434845
388,8443207333.0,18.85988045,-32.85778809,-33.46998596
389,8464967333.0,20.04910469,-33.35743332,-32.26273727
390,8486726333.0,20.88355064,-33.79006958,-31.26784134
391,8508474333.0,21.65326309,-33.7514534,-30.7822113
392,8530244333.0,22.46674538,-33.30717468,-30.68300247
393,8552004333.0,22.88823128,-32.79386139,-30.92346382
394,8573762333.0,22.82347107,-32.57256317,-31.20394516
395,8595521333.0,22.5628624,-32.58588791,-31.37907028
396,8617280333.0,22.77090073,-32.62205124,-31.19065285
397,8639069333.0,23.01706696,-32.34141159,-31.30202675
398,8660828333.0,23.10680962,-31.99332047,-31.59227371
399,8682587333.0,23.2884903,-31.86060333,-31.59299469
400,8704332333.0,23.55977821,-31.90384293,-31.34725952
401,8726105333.0,24.03983688,-31.98170471,-30.9002552
402,8747864333.0,24.22146034,-32.0863266,-30.64894295
403,8769624333.0,24.54062271,-32.07746124,-30.4033432
404,8791382333.0,25.03444099,-31.89519501,-30.19175911
405,8813157333.0,25.81927109,-31.70973587,-29.72250366
406,8834901333.0,26.44424057,-31.75323868,-29.12048912
407,8856660333.0,26.67850876,-32.00034332,-28.63222504
408,8878420333.0,26.72647476,-32.27613449,-28.27571106
409,8900196333.0,26.85576439,-32.53310394,-27.85558701
410,8921937333.0,26.96382904,-32.7808609,-27.45789719
411,8943726333.0,26.98179626,-33.06571198,-27.09631729
412,8965485333.0,27.02509117,-33.17140579,-26.92342949
413,8987244333.0,27.31864929,-33.13990021,-26.66472626
414,9008990333.0,27.61676407,-33.15096664,-26.34192085
415,9030762333.0,27.82167625,-33.3120575,-25.91968346
416,9052519375.0,27.92458344,-33.63909912,-25.3810482
417,9074278375.0,28.01999474,-33.88251495,-24.94843292
418,9096037375.0,28.2177887,-34.09727097,-24.42747879
419,9117797375.0,28.41827583,-34.2763443,-23.93956566
420,9139556375.0,28.51041222,-34.57759094,-23.39049911
421,9161315375.0,28.67737198,-34.83496857,-22.796978
422,9183074375.0,28.87512398,-34.80522156,-22.59187317
423,9204840375.0,29.05199242,-34.58237457,-22.70705414
424,9226617375.0,29.08171844,-34.44025803,-22.88430595
425,9248379375.0,29.16295624,-34.44544983,-22.77283478
426,9270135375.0,29.30381203,-34.71484375,-22.17510796
427,9291899375.0,29.32363129,-34.98081589,-21.72639656
428,9313658375.0,29.2066288,-35.19591141,-21.53577232
429,9335417375.0,29.18882751,-35.43318939,-21.16766548
430,9357177375.0,29.27741241,-35.51261139,-20.91068649
431,9378927375.0,29.40039253,-35.47835922,-20.79596329
432,9400687375.0,29.47976685,-35.58490753,-20.49943352
433,9422453375.0,29.40161514,-35.67462921,-20.45568275
434,9444214375.0,29.40345764,-35.86203766,-20.12261581
435,9465972375.0,29.41588593,-36.04434204,-19.77574921
436,9487732375.0,29.37506485,-36.05159378,-19.82314873
437,9509505375.0,29.32796097,-36.2178421,-19.58845711
438,9531249375.0,29.39798737,-36.16769409,-19.57614136
