,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
32,696319000.0,0.09203254431,0.03701309115,-0.01663691364
33,718087000.0,0.09189613909,0.03572765365,-0.01420006901
34,739832000.0,0.09045080841,0.03937621787,-0.0131165022
35,761596000.0,0.09265316278,0.03806395084,-0.01302294061
36,783356000.0,0.09134571999,0.03678985685,-0.0166456867
37,805114000.0,0.08982433379,0.03668284789,-0.01065805834
38,826868000.0,0.08856134117,0.03786117956,-0.01674681716
39,848626000.0,0.09456144273,0.03905880079,-0.01057920326
40,870392000.0,0.0932642296,0.03656001016,-0.01176325325
41,892150000.0,0.08932828903,0.03525420651,-0.009431040846
42,913909000.0,0.09036003798,0.03765546903,-0.009455594234
43,935668000.0,0.0939245522,0.03634132072,-0.01173636317
44,957427000.0,0.0900259614,0.03499944136,-0.01060899906
45,979186000.0,0.09213238955,0.0335939154,-0.008106304333
46,1000977000.0,0.09449222684,0.03353495151,-0.01285918988
47,1022710000.0,0.08934409171,0.03470563143,-0.01182214916
48,1044494000.0,0.08819680661,0.03472587466,-0.01547094621
49,1066253000.0,0.09291097522,0.03588858992,-0.01174869388
50,1088012000.0,0.08902778476,0.03578582034,-0.01305949874
51,1109771000.0,0.09009928256,0.0369243212,-0.01667071879
52,1131524000.0,0.09675505012,0.03454027325,-0.01335731335
53,1153289000.0,0.09052910656,0.035761334,-0.009942874312
54,1175049000.0,0.08807208389,0.03452286869,-0.01118852012
55,1196807000.0,0.09175056964,0.03327493742,-0.01346754748
56,1218553000.0,0.09530872107,0.03446622938,-0.01098387036
57,1240325000.0,0.09161944687,0.03570433334,-0.0111151645
58,1262084000.0,0.08580035716,0.03584085405,0.1924353242
59,1283843000.0,0.08367200941,0.03756505623,0.5587850213
60,1305602000.0,0.08527507633,0.03286293149,0.2648120821
61,1327360000.0,0.08865083754,0.03548681363,0.003270515474
62,1349119000.0,0.09133309871,0.03924680501,-0.007588788401
63,1370893000.0,0.09647672623,0.04176972434,-0.01835115254
