,Time (s),X (µT),Y (µT),Z (µT)
0,0.0,-17.38932991,-24.85517883,41.72875977
1,21788000.0,-17.39608765,-24.81724167,41.74851608
2,43547000.0,-17.40727425,-24.78018761,41.76586151
3,65301000.0,-17.41746712,-24.74201202,41.78423691
4,87065000.0,-17.43016243,-24.70116806,41.80311203
5,108824000.0,-17.44184303,-24.65466499,41.82567978
6,130593000.0,-17.45336533,-24.61138725,41.84636307
7,152349000.0,-17.46178055,-24.57360077,41.86504745
8,174101000.0,-17.47156906,-24.53899384,41.88126373
9,195891000.0,-17.48006439,-24.50498962,41.89762497
10,217650000.0,-17.48694801,-24.46884537,41.91587067
11,239409000.0,-17.49545097,-24.43146896,41.93412399
12,261165000.0,-17.50316429,-24.39661407,41.95118713
13,282927000.0,-17.50685692,-24.36199379,41.96977234
14,304687000.0,-17.51392555,-24.33414268,41.98297119
15,326445000.0,-17.519701,-24.30673599,41.99644089
16,348204000.0,-17.52223015,-24.29782677,42.0005455
17,369994000.0,-17.52659035,-24.26832581,42.01576996
18,391753000.0,-17.53864098,-24.21925926,42.03904724
19,413512000.0,-17.54111099,-24.19136238,42.05407715
20,435271000.0,-17.54637337,-24.16978836,42.06428528
21,457025000.0,-17.54909134,-24.14524841,42.0772438
22,478789000.0,-17.54669189,-24.13905716,42.08179474
23,500548000.0,-17.55002975,-24.12088013,42.09082794
24,522333000.0,-17.55154991,-24.09937286,42.10251236
25,544098000.0,-17.5565834,-24.0727005,42.11566925
26,565857000.0,-17.55255318,-24.05812454,42.1256752
27,587616000.0,-17.56093407,-24.02884483,42.13889313
28,609374000.0,-17.55926704,-24.01327515,42.1484642
29,631123000.0,-17.55308533,-24.00864983,42.15367126
30,652888000.0,-17.55519104,-23.98823547,42.16441345
31,674651000.0,-17.55836487,-23.96614647,42.17565536
32,696434000.0,-17.55991364,-23.95240402,42.18281555
33,718200000.0,-17.55504036,-23.95821381,42.18154144
34,739958000.0,-17.5554409,-23.94599533,42.18831635
35,761706000.0,-17.56085205,-23.91565323,42.20326996
36,783476000.0,-17.56601524,-23.89683723,42.21178436
37,805235000.0,-17.57130241,-23.87936211,42.21946716
38,826994000.0,-17.56499672,-23.87996864,42.22174835
39,848764000.0,-17.55962753,-23.86088753,42.23476791
40,870513000.0,-17.55599022,-23.84486961,42.245327
41,892284000.0,-17.55216026,-23.84967995,42.24419785
42,914061000.0,-17.55006981,-23.83969879,42.25070572
43,935821000.0,-17.54838943,-23.82892227,42.25748062
44,957579000.0,-17.54748726,-23.81919289,42.26334381
45,979338000.0,-17.54335403,-23.81336212,42.26834869
