,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
84,1828077000.0,-0.1554904925,0.4766215313,-0.04438915133
85,1849836000.0,-0.1373920901,0.4765933185,-0.05984096687
86,1871627000.0,-0.1598159703,0.4488175093,-0.06666329709
87,1893385000.0,-0.1759009845,0.4347107726,-0.0369678401
88,1915144000.0,-0.1809279454,0.470655471,-0.04520883047
89,1936903000.0,-0.194963876,0.4960236892,-0.03363013977
90,1958662000.0,-0.1732058932,0.4805879901,-0.06088913966
91,1980421000.0,-0.2001204258,0.450833008,-0.04835264535
92,2002183000.0,-0.1996414292,0.4359305749,-0.04216956197
93,2023939000.0,-0.2056265661,0.4657371221,-0.05577317314
94,2045728000.0,-0.2172664538,0.474456417,-0.04868756746
95,2067487000.0,-0.1804990887,0.4642020087,-0.06925190514
96,2089246000.0,-0.206061873,0.4532804332,-0.06340910688
97,2111006000.0,-0.18631303,0.4644962333,-0.04517505366
98,2132765000.0,-0.2037556215,0.4502194889,-0.05794935149
99,2154524000.0,-0.2031955679,0.4716444544,-0.05988991446
100,2176283000.0,-0.1945496921,0.4712071924,-0.07406985553
101,2198041000.0,-0.1830697622,0.4549574146,-0.05451419452
102,2219831000.0,-0.1912048289,0.4441992322,-0.05854754449
103,2241581000.0,-0.1902710834,0.4727408074,-0.07072915393
104,2263344000.0,-0.2058276372,0.4821983133,-0.05012193971
105,2285103000.0,-0.1942956854,0.4827885897,-0.05371232199
106,2306873000.0,-0.199569545,0.5166653472,-0.07077875476
107,2329163125.0,-0.2017686828,0.4811774259,-0.0566760746
108,2350922125.0,-0.2011532634,0.4744765899,-0.04322448647
109,2372712125.0,-0.1909822145,0.4273658657,-0.06517734144
110,2394471125.0,-0.1641246191,0.4372599759,-0.07954853671
111,2416231125.0,-0.1603506616,0.4864521626,-0.07133959868
112,2437990125.0,-0.2092165555,0.4943150963,-0.06996577709
113,2459748125.0,-0.2163856987,0.4953932497,-0.05118783688
114,2481507125.0,-0.2221484403,0.4903552887,-0.06212785859
115,2503285125.0,-0.2060691455,0.475299549,-0.06585011385
116,2525025125.0,-0.1920942635,0.4584390295,-0.05199170569
117,2546815125.0,-0.1848982779,0.4089733393,-0.09385097237
118,2568574125.0,-0.1982258,0.479711127,-0.0621566744
119,2590333125.0,-0.2162169882,0.5033292735,-0.06455812587
120,2612092125.0,-0.2010798077,0.5201028156,-0.08674137941
121,2633861125.0,-0.1956372559,0.4438529308,-0.07168347434
122,2655610125.0,-0.1993801866,0.4494093937,-0.04072636865
123,2677369125.0,-0.2055974213,0.457089748,-0.07877507798
124,2699144125.0,-0.2000288986,0.4699019476,-0.06142944066
125,2720918125.0,-0.1942601087,0.4917503978,-0.06482252965
126,2742676125.0,-0.199388464,0.4871225825,-0.05342678143
127,2764447125.0,-0.1913738683,0.4541456018,-0.0684912235
128,2786195125.0,-0.2069284121,0.4727439503,-0.07052509981
129,2807954125.0,-0.1944600287,0.4604456843,-0.07438416164
130,2829713125.0,-0.196627153,0.4876576758,-0.07420339131
131,2851472125.0,-0.2016601439,0.4833672082,-0.0859628866
132,2873244125.0,-0.1747604485,0.4870872433,-0.07245153353
133,2895016125.0,-0.181500534,0.4709369414,-0.08610142906
134,2916779125.0,-0.2162963276,0.4621253701,-0.07099787917
135,2938538125.0,-0.2540433206,0.480114256,-0.07091373408
136,2960297125.0,-0.2221804173,0.4992406445,-0.04867363008
137,2982056125.0,-0.2042868959,0.4953255682,-0.06078569876
138,3003832125.0,-0.2114156385,0.4652816971,-0.07148118352
139,3025605125.0,-0.1892405482,0.4869469833,-0.06650879356
140,3047364125.0,-0.2126221749,0.4927333148,-0.05117857269
141,3069123125.0,-0.1960606492,0.4957142253,-0.05170246038
142,3090893125.0,-0.2081595616,0.4756260429,-0.06187725515
143,3112641125.0,-0.1998409472,0.4743799281,-0.05082868536
144,3134407125.0,-0.2006867286,0.4861073231,-0.0560331367
145,3156159125.0,-0.2115373519,0.5144881364,-0.04461065574
146,3177918125.0,-0.1962064824,0.5029645535,-0.06072702561
147,3199691125.0,-0.1940943584,0.4688012458,-0.05178241191
148,3221467125.0,-0.1885709141,0.4601262436,-0.05856312641
149,3243226125.0,-0.1969480738,0.4786172957,-0.06136900877
150,3264985125.0,-0.2223203667,0.5022701601,-0.04436295763
151,3286745125.0,-0.1859350624,0.5170769912,-0.05512924395
152,3308504125.0,-0.2127191838,0.489894053,-0.003405150589
153,3330262125.0,-2.874281592,1.211015957,-0.1119749106
154,3352052125.0,-4.531668729,1.634140216,-0.1310354267
155,3373811125.0,1.429627855,-1.352778338,0.007078119643
156,3395546125.0,3.80056329,1.626811169,0.2622713763
157,3417329125.0,0.12474713,2.993309268,0.03439281312
158,3439088125.0,0.2013385653,0.2281616255,-0.1863766916
159,3460847125.0,-0.06844671157,-0.7654447485,-0.9377922338
160,3482606125.0,1.572486004,0.1390416902,-0.02707946296
161,3504379125.0,-1.98285924,2.984146389,-5.610078898
162,3526132125.0,3.407582743,2.7740992,-3.294948705
163,3547913125.0,5.969241781,2.11178406,-2.890719285
164,3569672125.0,7.71933623,-0.1505929286,-5.662080526
165,3591418125.0,5.839661635,-0.2307240399,-6.645034899
166,3613190125.0,3.698549257,-0.1053605494,-8.316051604
167,3634971125.0,4.520057621,-1.381632155,-9.379122187
168,3656708125.0,4.070436558,-1.120381702,-9.014136647
169,3678498125.0,4.748771169,-1.581149531,-10.81773838
170,3700239125.0,7.420944044,-2.270985031,-10.23594159
171,3722016125.0,7.708481458,-4.676490228,-9.20922315
172,3743775125.0,5.698292917,-5.665902851,-9.049087794
173,3765540125.0,2.422163476,-5.185851708,-9.985566158
174,3787293125.0,-2.257923667,-2.041742017,-9.307291481
175,3809052125.0,-2.272302408,-1.701219474,-9.577878402
176,3830843125.0,-1.424289055,-1.853269739,-9.101739632
177,3852601125.0,0.3554110166,-2.376294115,-9.244307029
178,3874343125.0,0.349614489,-2.873832526,-9.18254289
179,3896128125.0,-1.370544957,-3.057779791,-2.084080098
180,3917879125.0,-6.683472156,-0.7097866376,-1.162583543
181,3939637125.0,-0.01645963683,-6.732472993,-0.5308733138
182,3961396125.0,-0.9143190251,-1.955191093,-4.804804744
183,3983155125.0,2.940024469,-0.08217791995,-3.21094702
184,4004947125.0,4.440511514,-1.160308318,-4.925089279
185,4026704125.0,1.991555512,-1.695363633,-6.188435184
186,4048464125.0,-1.123801812,1.032358083,-4.956921521
187,4070222125.0,-0.346753483,1.520474436,-3.228888032
188,4091989125.0,0.7293332217,0.8164659443,-2.71575919
189,4113741125.0,0.7597708297,1.209142143,-3.134444974
190,4135525125.0,0.459438209,1.638745483,-3.206095293
191,4157288125.0,0.02269774228,1.621044207,-2.252108172
192,4179047125.0,-0.09479632096,1.424402491,-1.384063134
193,4200791125.0,-0.8207847708,1.374384238,-1.424102236
194,4222565125.0,-0.7766176812,1.44264595,-1.237406049
195,4244324125.0,-0.1988198589,1.551708654,-0.3274541264
196,4266083125.0,0.1897104816,1.24362047,-0.02112932032
197,4287854125.0,-0.3482405395,0.9321877507,-0.5376300273
198,4309633125.0,-0.8731810125,0.4082902018,-0.2106229205
199,4331391125.0,-0.4929271134,0.1841398575,0.3349384528
200,4353150125.0,-0.1247786958,0.1250855102,-0.2801707998
201,4374909125.0,1.449347443,0.04047757419,1.299986021
202,4396658125.0,0.7725765974,0.2972684055,-0.2731811296
203,4418427125.0,0.5904407634,1.100812825,0.7998731542
204,4440186125.0,-1.027221743,0.134388476,-1.191538297
205,4461977125.0,-0.8944881932,-0.7192135186,-1.749279786
206,4483736125.0,-0.2164656228,-0.2368561063,-0.6974836573
207,4505494125.0,0.03732567828,-0.6185856416,-0.8460250812
208,4527253125.0,1.794539281,-0.2122554448,-0.807357371
209,4549013125.0,2.773770294,0.6695072155,-0.1344123125
210,4570771125.0,0.1383983685,0.4895504926,-0.2379576121
211,4592524125.0,-0.7974448787,-0.01988227825,-0.5766954943
212,4614289125.0,-0.3531845796,-0.02561842421,-0.8368743349
213,4636079125.0,-0.007010430128,-0.03874064965,-0.4013112575
214,4657839125.0,-0.02446992599,-0.03093926255,0.392836961
215,4679597125.0,-0.2536805192,-0.09024770795,0.02006284758
216,4701356125.0,-0.2159860049,-0.1213593263,-0.1078861446
217,4723115125.0,-0.3433850848,0.000797885552,0.1014645953
218,4744875125.0,-0.1489788596,0.1185195804,-0.002894694087
219,4766634125.0,0.21494436,0.5502555911,-3.106582114
220,4788398125.0,0.06029601272,0.1615325849,0.6262754611
221,4810175125.0,0.2845675222,-0.005282440287,0.4851966558
